match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goodHighClaim,stat_goalAssist,stat_errorLeadToAShot,player_sofascoreId,stat_goals
11373440,home,Queens Park Rangers,Jordan Archer,,,jordan-archer,J. Archer,G,31,186.0,38,M,181583,EUR,734572800,G,13,13,False,15.0,5.0,13.0,3.0,3.0,4.0,2.0,11.0,1.0,1.0,1.0,1.0,45.0,17.0,6.6,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Osman Kakay,,,osman-kakay,O. Kakay,D,29,180.0,214,M,830485,EUR,872467200,D,2,2,False,31.0,27.0,9.0,6.0,14.0,16.0,13.0,16.0,,1.0,4.0,,77.0,41.0,7.0,6.0,0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Sam Field,,,sam-field,S. Field,M,26,191.0,79,M,839819,EUR,894585600,D,8,8,False,36.0,32.0,3.0,3.0,18.0,18.0,14.0,18.0,2.0,4.0,6.0,1.0,90.0,54.0,7.2,7.0,0,,2.0,6.0,1.0,3.0,2.0,,,1.0,,True,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Joseph Gubbins,,,joseph-gubbins,J. Gubbins,D,15,183.0,15,M,1014104,EUR,996796800,D,28,28,False,28.0,23.0,5.0,1.0,13.0,14.0,10.0,14.0,,,1.0,,90.0,35.0,6.3,6.0,0,,,3.0,1.0,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Albert Adomah,,,albert-adomah,A. Adomah,F,37,185.0,142,M,33102,EUR,566352000,M,37,37,False,19.0,12.0,2.0,,5.0,6.0,7.0,17.0,1.0,7.0,3.0,,85.0,45.0,7.2,15.0,0,4.0,1.0,3.0,,2.0,2.0,2.0,1.0,,,,1.0,5.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Stephen Duke-McKenna,,,stephen-duke-mckenna,S. Duke-McKenna,M,11,170.0,57,M,914881,EUR,966470400,M,24,24,False,26.0,22.0,3.0,,9.0,10.0,14.0,24.0,,4.0,3.0,2.0,90.0,45.0,6.7,15.0,1,8.0,,3.0,,,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Andre Dozzell,Andre,Dozzell,andre-dozzell,A. Dozzell,M,21,178.0,129,M,826133,EUR,925603200,M,17,17,False,19.0,18.0,2.0,1.0,11.0,11.0,7.0,8.0,,,3.0,,62.0,21.0,6.5,1.0,0,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Ziyad Larkeche,,,ziyad-larkeche,Z. Larkeche,D,21,182.0,194,M,954064,EUR,1032393600,M,21,21,False,14.0,13.0,,,5.0,5.0,8.0,11.0,2.0,6.0,5.0,1.0,77.0,46.0,6.5,13.0,0,2.0,1.0,7.0,1.0,4.0,,1.0,1.0,1.0,,,,6.0,2.0,,5.0,,,,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Taylor Richards,,,richards-taylor,T. Richards,M,32,180.0,80,M,904848,EUR,975888000,F,18,18,False,17.0,14.0,1.0,1.0,2.0,3.0,12.0,14.0,1.0,3.0,8.0,,90.0,33.0,6.3,12.0,1,,1.0,9.0,,1.0,,1.0,1.0,,,,3.0,6.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,
11373440,home,Queens Park Rangers,Lyndon Dykes,,,lyndon-dykes,L. Dykes,F,99,188.0,514,M,846204,EUR,813024000,F,9,9,False,14.0,7.0,,,1.0,1.0,6.0,13.0,5.0,6.0,2.0,1.0,64.0,22.0,6.5,11.0,1,,2.0,6.0,1.0,1.0,,,,3.0,,,,1.0,,,3.0,,,,1.0,1.0,1.0,,,,,,,,,,
