match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_wonTackle,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,captain,stat_shotOffTarget,stat_bigChanceMissed,stat_totalOffside
11399382,home,NEC Nijmegen,Jasper Cillessen,,,jasper-cillessen,J. Cillessen,G,22,185.0,1498,M,123865,EUR,609206400,G,1,1,False,28.0,22.0,12.0,6.0,21.0,23.0,1.0,5.0,1.0,1.0,2.0,11.0,3.0,1.0,2.0,1.0,1.0,90.0,43.0,6.6,6.0,0.0,0.0,0.00135941,0,-1.4199,,,,,,,,,,,,,,,,,,,,,,,,
11399382,home,NEC Nijmegen,Bart van Rooij,,,bart-van-rooij,B. v. Rooij,D,28,174.0,343,M,946506,EUR,990835200,D,28,28,False,48.0,40.0,2.0,,27.0,31.0,14.0,19.0,2.0,7.0,4.0,6.0,,,,,,90.0,70.0,6.7,13.0,0.0,0.0,0.206276,0,,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,
11399382,home,NEC Nijmegen,Calvin Verdonk,,,calvin-verdonk,C. Verdonk,D,24,174.0,14345,M,361780,EUR,862012800,D,24,24,False,76.0,64.0,11.0,5.0,40.0,43.0,24.0,33.0,2.0,5.0,1.0,5.0,,,,,,90.0,84.0,6.3,12.0,0.0,0.0,0.0224937,0,,,,,4.0,4.0,,,,,2.0,,1.0,,c.verdonk,1.0,,,,,,,,,
11399382,home,NEC Nijmegen,Bram Nuytinck,,,bram-nuytinck,B. Nuytinck,D,17,190.0,135,M,70930,EUR,641779200,D,17,17,False,65.0,54.0,10.0,3.0,38.0,44.0,16.0,21.0,3.0,3.0,4.0,9.0,,,,,,90.0,70.0,5.8,11.0,0.0,0.0,0.00712736,0,,,,,6.0,8.0,1.0,,,,,,,,,,1.0,,,,,,,,
11399382,home,NEC Nijmegen,Youri Baas,,,youri-baas,Y. Baas,D,15,182.0,1216,M,1000228,EUR,1047859200,D,5,5,False,47.0,31.0,4.0,3.0,20.0,28.0,11.0,20.0,2.0,10.0,1.0,7.0,,,,,,90.0,82.0,7.0,23.0,0.35,0.1574,0.00881241,1,,,1.0,,2.0,8.0,4.0,1.0,1.0,,6.0,2.0,2.0,1.0,,4.0,,2.0,1.0,1.0,2.0,,,,
11399382,home,NEC Nijmegen,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,4,181.0,102,M,893748,EUR,887760000,M,6,6,False,36.0,30.0,5.0,3.0,15.0,16.0,15.0,21.0,,3.0,,4.0,,,,,,64.0,42.0,6.6,8.0,0.0266,0.3176,0.00997295,1,,,1.0,,,5.0,4.0,,,,3.0,,,,,2.0,,1.0,1.0,,,,,,
11399382,home,NEC Nijmegen,Lasse Schöne,,,lasse-schone,L. Schöne,M,,178.0,570,M,10077,EUR,517536000,M,20,20,False,57.0,51.0,1.0,1.0,33.0,33.0,19.0,26.0,1.0,4.0,1.0,10.0,,,,,,90.0,68.0,7.1,8.0,0.0,0.0,0.148795,0,,1.0,2.0,1.0,,3.0,1.0,1.0,1.0,,2.0,1.0,,3.0,,1.0,2.0,,,,1.0,True,,,
11399382,home,NEC Nijmegen,Sontje Hansen,,,sontje-hansen,S. Hansen,M,27,172.0,611,M,1199057,EUR,1021680000,M,10,10,False,14.0,11.0,1.0,,2.0,3.0,9.0,12.0,,5.0,,3.0,,,,,,54.0,27.0,7.5,9.0,0.1209,0.4725,0.0746919,1,,,1.0,,,,,4.0,4.0,,1.0,5.0,,1.0,,,,,1.0,1.0,,,,,
11399382,home,NEC Nijmegen,Magnus Mattsson,,,magnus-mattsson,M. Mattsson,M,8,174.0,794,M,896117,EUR,919900800,M,8,8,False,28.0,21.0,2.0,1.0,7.0,10.0,14.0,18.0,,5.0,1.0,3.0,,,,,,90.0,46.0,6.3,17.0,0.0,0.0,0.0527505,0,,1.0,,,3.0,11.0,3.0,3.0,2.0,,2.0,6.0,1.0,1.0,,1.0,1.0,3.0,,,,,,,
11399382,home,NEC Nijmegen,Lars Olden Larsen,,,lars-olden-larsen,L. O. Larsen,M,7,175.0,133,M,877456,EUR,905990400,M,14,14,False,36.0,25.0,4.0,1.0,9.0,12.0,16.0,26.0,,5.0,,5.0,,,,,,90.0,53.0,6.1,19.0,0.184,0.3369,0.0215519,3,,,2.0,,3.0,11.0,3.0,2.0,,,5.0,1.0,,1.0,,1.0,,3.0,1.0,,,,2.0,,
