match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_totalCross,stat_challengeLost,stat_unsuccessfulTouch,stat_hitWoodwork,stat_lastManTackle,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId
11408488,home,Portimonense SAD,Kosuke Nakamura,kosuke-nakamura,K. Nakamura,G,23,185,357,M,155775,EUR,793843200,G,32,32,False,22.0,16.0,14.0,8.0,10.0,11.0,6.0,11.0,2.0,8.0,1.0,2.0,4.0,1.0,1.0,1.0,90.0,34.0,8.0,6.0,0.00077861,0,0.8706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408488,home,Portimonense SAD,Igor Formiga,igor-formiga,Igor Formiga,D,32,175,266,M,1009030,EUR,915753600,D,33,33,False,34.0,23.0,4.0,,13.0,18.0,10.0,16.0,1.0,4.0,,,,,,,90.0,70.0,7.6,15.0,0.00458974,0,,,,4.0,4.0,8.0,11.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,
11408488,home,Portimonense SAD,Pedrão,pedrao,Pedrão,D,44,194,152,M,931811,EUR,862617600,D,44,44,False,50.0,38.0,11.0,4.0,25.0,30.0,13.0,21.0,7.0,1.0,,,,,,,69.0,65.0,6.3,14.0,0.0101198,0,,,,,1.0,2.0,2.0,,1.0,1.0,,,2.0,,,,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,,
11408488,home,Portimonense SAD,Alemão,alemao,Alemão,D,43,194,174,M,1199402,EUR,1036540800,D,43,43,False,40.0,36.0,3.0,2.0,26.0,27.0,10.0,13.0,7.0,2.0,,,,,,,90.0,59.0,7.7,6.0,0.0057463,0,,Alemão,,1.0,2.0,4.0,6.0,,1.0,,,2.0,3.0,4.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,
11408488,home,Portimonense SAD,Filipe Relvas,filipe-relvas,F. Relvas,D,44,192,529,M,1131931,EUR,937785600,D,22,22,False,36.0,32.0,2.0,2.0,20.0,22.0,12.0,16.0,6.0,4.0,,,,,,,90.0,59.0,7.3,11.0,0.021457,0,,,,2.0,,4.0,,,,,,1.0,2.0,,,,1.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,,
11408488,home,Portimonense SAD,Lucas Ventura,lucas-ventura,Lucas Ventura,M,25,180,163,M,879934,EUR,895536000,M,25,25,False,25.0,22.0,4.0,1.0,13.0,15.0,9.0,10.0,1.0,5.0,,,,,,,90.0,44.0,7.1,5.0,0.00586437,2,,,,1.0,1.0,4.0,7.0,,1.0,,,1.0,1.0,4.0,3.0,2.0,1.0,,,1.0,1.0,,,,2.0,0.0785,,,,,,,,
11408488,home,Portimonense SAD,Dener,dener,Dener,M,8,185,73,M,243167,EUR,700444800,M,13,13,False,32.0,26.0,4.0,3.0,14.0,15.0,12.0,17.0,1.0,5.0,,,,,,,90.0,51.0,7.4,11.0,0.269397,1,,,,1.0,,8.0,6.0,1.0,1.0,,,,3.0,6.0,3.0,,4.0,,,1.0,2.0,,,2.0,,0.2207,1.0,1.0,1.0,0.6076,,,,
11408488,home,Portimonense SAD,Sylvester Jasper,jasper-sylvester,S. Jasper,M,27,180,184,M,1013994,EUR,1000339200,M,7,7,False,17.0,15.0,,,6.0,7.0,10.0,13.0,,8.0,,,,,,,75.0,30.0,7.0,8.0,0.353678,3,,,,3.0,,3.0,1.0,,,,,,1.0,,,1.0,1.0,,3.0,,3.0,1.0,,2.0,2.0,0.286,1.0,1.0,,,1.0,1.0,,
11408488,home,Portimonense SAD,Carlinhos,carlinhos,Carlinhos,M,11,179,118,M,244787,EUR,772243200,M,11,11,False,38.0,27.0,5.0,3.0,10.0,12.0,17.0,28.0,1.0,6.0,,,,,,,90.0,54.0,7.8,16.0,0.102292,4,,,,,,4.0,6.0,1.0,5.0,4.0,,,,1.0,1.0,1.0,2.0,,2.0,,1.0,,,2.0,2.0,0.2181,,,1.0,0.0707,,1.0,,
11408488,home,Portimonense SAD,Hélio Varela,varela-helio,H. Varela,F,29,176,603,M,1094395,EUR,1020384000,M,77,77,False,20.0,18.0,,,8.0,8.0,10.0,13.0,1.0,6.0,,,,,,,89.0,39.0,6.4,12.0,0.304482,0,,,,3.0,,11.0,2.0,4.0,2.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,1.0,4.0,,,1.0,,,,,,,,,,
11408488,home,Portimonense SAD,Hildeberto Pereira,hildeberto-pereira,H. Pereira,F,14,175,109,M,352880,EUR,825724800,F,10,10,False,14.0,11.0,,,3.0,5.0,8.0,10.0,,2.0,,,,,,,57.0,28.0,6.6,8.0,0.0445704,2,,,,4.0,2.0,7.0,5.0,2.0,2.0,1.0,,,,,,2.0,,,1.0,,1.0,,,1.0,1.0,0.6345,,1.0,1.0,0.8459,,,3.0,
11408488,home,Portimonense SAD,Midana Cassamá,midana-cassama,M. Cassamá,F,19,185,18,M,1520746,EUR,1029628800,F,85,85,True,5.0,2.0,,,1.0,1.0,1.0,4.0,1.0,,,,,,,,32.0,8.0,6.4,4.0,0.00055462,0,,,,2.0,,4.0,1.0,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,2.0,
