match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_onTargetScoringAttempt,stat_fouls,player_sofascoreId,stat_totalContest,stat_bigChanceCreated,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,stat_accurateCross,stat_shotOffTarget
10390051,home,Nice,Kasper Schmeichel,kasper-schmeichel,K. Schmeichel,G,1,189,3913,M,1076,EUR,531532800,G,1,1,False,31.0,22.0,17.0,9.0,19.0,23.0,3.0,8.0,1.0,1.0,10.0,4.0,2.0,2.0,1.0,90.0,44.0,7.5,9.0,0.0,0.0,0.000536346,0,0.7022,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390051,home,Nice,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189,2607,M,945217,EUR,946512000,D,25,25,False,56.0,49.0,9.0,5.0,35.0,36.0,14.0,21.0,2.0,1.0,7.0,,,,,90.0,64.0,7.2,9.0,0.0,0.0,0.0190218,0,,1.0,3.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
10390051,home,Nice,Dante,dante,Dante,D,4,188,1257,M,3577,EUR,435283200,D,4,4,False,39.0,36.0,5.0,2.0,34.0,34.0,2.0,5.0,1.0,1.0,3.0,,,,,90.0,47.0,7.0,4.0,0.0,0.0,0.000742116,0,,,3.0,,2.0,1.0,1.0,,,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10390051,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,804472,EUR,852595200,D,8,8,False,48.0,45.0,2.0,2.0,33.0,35.0,12.0,13.0,2.0,1.0,3.0,,,,,90.0,55.0,7.1,3.0,0.0296,0.0,0.134736,1,,,3.0,,,,,1.0,,,,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,
10390051,home,Nice,Jordan Lotomba,jordan-lotomba,J. Lotomba,D,30,177,509,M,796279,EUR,907027200,M,23,23,False,31.0,27.0,2.0,1.0,17.0,19.0,10.0,14.0,2.0,,6.0,,,,,90.0,49.0,7.1,7.0,0.0185,0.2164,0.00522476,1,,2.0,3.0,,1.0,,2.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,
10390051,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,985923,EUR,938044800,M,28,28,False,40.0,34.0,1.0,1.0,23.0,25.0,11.0,17.0,4.0,2.0,4.0,,,,,90.0,54.0,7.0,10.0,0.0,0.0,0.0687976,0,,2.0,4.0,,,1.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,2.0,,,hicham_boudaoui,1.0,,,,,,
10390051,home,Nice,Khéphren Thuram,khephren-thuram,K. Thuram,M,19,191,11655,M,904832,EUR,985564800,M,19,19,False,38.0,32.0,3.0,2.0,23.0,25.0,9.0,13.0,7.0,2.0,7.0,,,,,89.0,50.0,7.3,9.0,0.0177,0.0,0.195045,1,,,4.0,2.0,1.0,,,1.0,,,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,2.0,k_thuram,,1.0,,,,,
10390051,home,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,906075,EUR,973468800,M,26,26,False,27.0,20.0,2.0,,10.0,15.0,10.0,12.0,2.0,,4.0,,,,,90.0,46.0,6.8,12.0,0.0,0.0,0.0220508,0,,,3.0,1.0,2.0,,,2.0,,,,1.0,2.0,2.0,2.0,,,1.0,,,,1.0,,,,,,
10390051,home,Nice,Nicolas Pépé,nicolas-pepe,N. Pépé,F,19,183,12582,M,593526,EUR,801705600,F,29,29,False,29.0,23.0,2.0,1.0,14.0,16.0,9.0,13.0,10.0,,2.0,,,,,90.0,61.0,6.2,19.0,0.3755,0.4836,0.0462535,2,,,12.0,8.0,,,4.0,,,,,,2.0,2.0,3.0,,,,2.0,1.0,nicolas_pepe19,7.0,,6.0,2.0,2.0,,
10390051,home,Nice,Gaëtan Laborde,gaetan-laborde,G. Laborde,F,9,181,848,M,149730,EUR,767923200,F,24,24,False,17.0,13.0,1.0,1.0,5.0,8.0,8.0,9.0,7.0,,2.0,,,,,81.0,25.0,7.5,7.0,0.1278,0.5943,0.059152,1,,,5.0,,,,2.0,3.0,,,,1.0,2.0,1.0,2.0,3.0,,,1.0,4.0,,,2.0,,,,,
