match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,captain,stat_challengeLost,stat_totalContest,stat_errorLeadToAGoal,stat_fouls,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,stat_ownGoals,stat_crossNotClaimed,stat_goodHighClaim,stat_punches,stat_lastManTackle
14025236,home,Brentford,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,1,1,False,37.0,25.0,24.0,12.0,0.0,18.0,20.0,7.0,17.0,1.0,1.0,1.0,10.0,1.0,3.0,9.0,2.0,2.0,90.0,55.0,8.0,12.0,0.00169284,30.086973792495,6.0,9.03,8.19,0.2317,0,0.1825,0.14,0.0,0.17,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025236,home,Brentford,Michael Kayode,,,michael-kayode,M. Kayode,D,33,179,2419,M,,1137431,EUR,1089417600,D,33,33,False,28.0,22.0,3.0,1.0,0.0,16.0,21.0,6.0,7.0,4.0,10.0,2.0,7.0,2.0,,,,,90.0,58.0,7.7,14.0,0.00393711,61.051231431804,9.0,15.96,11.025,,1,,0.04,0.17,0.17,,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,0.0196,16.449370687051,1.0,1.0,-0.29,,,,,,,,,,,,,,,,,,,,
14025236,home,Brentford,Kristoffer Ajer,,,kristoffer-ajer,K. Ajer,D,20,196,1144,M,,576384,EUR,892771200,D,20,20,False,22.0,17.0,3.0,2.0,0.0,11.0,13.0,6.0,9.0,3.0,3.0,,3.0,,,,,,90.0,48.0,7.2,6.0,0.00629353,52.127870086441,9.0,31.08,12.6,,1,,-0.03,0.07,0.91,,,4.0,4.0,,,,19.0,,2.0,,,1.0,0.2145,,,,-0.52,1.0,,,,,,,,,,,,,,,,,,,
14025236,home,Brentford,Nathan Collins,,,nathan-collins,N. Collins,D,22,193,1556,M,,958916,EUR,988588800,D,22,22,False,42.0,33.0,11.0,5.0,0.0,26.0,27.0,7.0,15.0,3.0,4.0,1.0,1.0,1.0,,,,,90.0,61.0,7.2,9.0,0.00203051,87.339152353939,12.0,35.07,21.105,,0,,0.02,0.03,0.4,,,,1.0,,,,10.0,,4.0,,,,,22.012690907747,1.0,,,,True,1.0,,,,,,,,,,,,,,,,,
14025236,home,Brentford,Rico Henry,,,rico-henry,R. Henry,D,3,175,712,M,,599128,EUR,868320000,D,3,3,False,17.0,14.0,3.0,2.0,0.0,9.0,11.0,5.0,6.0,,,,,,,,,,77.0,33.0,5.7,8.0,0.0218386,32.851108497382,4.0,1.995,8.4,,0,,0.16,0.0,-0.51,,1.0,,6.0,1.0,,,3.0,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,
14025236,home,Brentford,Yehor Yarmolyuk,,,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2555,M,,1031258,EUR,1078099200,M,18,18,False,59.0,49.0,6.0,4.0,1.0,23.0,26.0,26.0,33.0,1.0,3.0,1.0,6.0,,,,,,89.0,74.0,8.0,15.0,0.245348,125.60863196092,16.0,64.575,28.665,,2,,0.58,0.16,0.43,,2.0,,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,0.138,28.723737935721,1.0,2.0,0.01,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
14025236,home,Brentford,Vitaly Janelt,,,vitaly-janelt,V. Janelt,M,27,184,1191,M,,814873,EUR,894758400,M,27,27,False,51.0,46.0,3.0,2.0,0.0,26.0,27.0,20.0,24.0,,2.0,2.0,8.0,,,,,,90.0,68.0,7.3,9.0,0.257038,73.654356858489,9.0,46.41,13.86,,1,,0.49,0.13,-0.03,,2.0,,3.0,1.0,,,5.0,,,,,2.0,0.0256,14.151195567866,1.0,1.0,-0.01,,,2.0,2.0,,,2.0,2.0,1.0,1.0,0.267,,,,,,,,,
14025236,home,Brentford,Keane Lewis-Potter,,,keane-lewis-potter,K. Lewis-Potter,D,23,170,1089,M,,972421,EUR,982800000,M,23,23,False,27.0,22.0,3.0,2.0,0.0,7.0,7.0,15.0,20.0,,3.0,,2.0,1.0,,,,,89.0,37.0,6.5,10.0,0.0175905,140.45543896543,13.0,50.715,16.905,,0,,-0.1,0.28,-0.07,,1.0,1.0,5.0,3.0,,,,,,1.0,1.0,1.0,,49.082427147117,3.0,2.0,,,,1.0,1.0,,,,1.0,,,,2.0,,,,,,,,
14025236,home,Brentford,Mathias Jensen,,,mathias-jensen,M. Jensen,M,8,180,1047,M,,799251,EUR,820454400,M,8,8,False,31.0,24.0,2.0,2.0,0.0,8.0,9.0,16.0,22.0,1.0,7.0,,4.0,1.0,,,,,77.0,49.0,6.7,13.0,0.0269414,72.02996511816,9.0,18.48,12.18,,1,,-0.11,0.2,-0.16,,,3.0,7.0,,,1.0,1.0,,,3.0,2.0,5.0,0.0227,11.968312328812,1.0,,-0.03,,,3.0,2.0,,1.0,,2.0,,,,,,,,,,,,
14025236,home,Brentford,Kevin Schade,,,kevin-schade,K. Schade,M,7,183,3191,M,,1006387,EUR,1006819200,M,7,7,False,22.0,15.0,,,0.0,2.0,4.0,13.0,18.0,6.0,9.0,1.0,4.0,,,,,,90.0,50.0,10.0,19.0,0.0298485,114.33355266189,11.0,69.615,22.68,,6,,-0.09,0.6,0.13,,,3.0,10.0,2.0,,1.0,3.0,,,1.0,1.0,7.0,2.935,68.957547688863,3.0,,1.0,,,,5.0,,2.0,,2.0,5.0,,2.8943,,1.0,3.0,,,,,,
