match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_lastManTackle,stat_wonTackle,stat_fouls,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated
14035915,home,KV Mechelen,Nacho Miras,nacho-miras,N. Miras,G,13,187.0,111,M,1010556,EUR,869270400,G,13,13,False,26.0,15.0,17.0,6.0,0.0,12.0,13.0,3.0,13.0,1.0,6.0,1.0,2.0,3.0,1.0,90.0,36.0,7.5,11.0,0.00081819,0.6828,0,0.6795,0.03,0.09,-0.1,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035915,home,KV Mechelen,Redouane Halhal,redouane-halhal,R. Halhal,D,2,187.0,649,M,1143667,EUR,1046822400,D,2,2,False,59.0,56.0,3.0,2.0,0.0,27.0,27.0,29.0,32.0,8.0,2.0,,,,,90.0,79.0,6.9,5.0,0.0170894,,1,,0.07,-0.41,0.32,,Redouane Halal,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1297,1.0,-0.18,,,,,,,,,,,,,,,,,
14035915,home,KV Mechelen,Mory Konate,mory-konate,M. Konate,M,8,191.0,1273,M,889927,EUR,753321600,D,8,8,False,46.0,40.0,3.0,,0.0,32.0,34.0,8.0,12.0,4.0,3.0,,,,,90.0,59.0,7.1,6.0,0.00212584,,0,,-0.02,0.08,0.85,,,,,2.0,1.0,5.0,5.0,,,4.0,2.0,,2.0,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
14035915,home,KV Mechelen,José Marsà,jose-marsa,J. Martinez,D,3,181.0,217,M,962625,EUR,1015200000,D,3,3,False,43.0,32.0,13.0,4.0,0.0,17.0,18.0,15.0,25.0,4.0,1.0,,,,,90.0,57.0,6.6,13.0,0.0482031,,1,,0.3,0.17,-0.16,,,,2.0,1.0,,2.0,1.0,1.0,,3.0,,,,0.1272,2.0,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,
14035915,home,KV Mechelen,Thérence Koudou,koudou-therence,T. Koudou,D,7,178.0,221,M,1392080,EUR,1102896000,M,7,7,False,37.0,32.0,5.0,2.0,0.0,10.0,11.0,22.0,26.0,2.0,5.0,,,,,90.0,60.0,8.1,14.0,0.0211548,,3,,0.29,0.19,-0.04,,,,5.0,1.0,1.0,4.0,7.0,1.0,,1.0,1.0,,1.0,0.2647,,0.54,,,1.0,1.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,0.4811,,,,,
14035915,home,KV Mechelen,Fredrik Hammar,fredrik-hammar,F. Hammar,M,6,181.0,204,M,946959,EUR,983145600,M,6,6,False,47.0,35.0,8.0,5.0,0.0,14.0,17.0,21.0,30.0,1.0,7.0,,,,,90.0,63.0,7.0,13.0,0.0315927,,0,,0.21,0.08,-0.01,,,,,2.0,2.0,3.0,6.0,,2.0,2.0,4.0,1.0,,,1.0,,,,4.0,1.0,,,,,,1.0,,,True,,,,
14035915,home,KV Mechelen,Mathis Servais,mathis-servais,M. Servais,M,17,182.0,258,M,1093876,EUR,1101168000,M,17,17,False,43.0,40.0,7.0,6.0,0.0,17.0,18.0,23.0,25.0,2.0,2.0,,,,,89.0,67.0,7.7,11.0,0.204891,,2,,0.38,0.3,0.16,,Mathis,Servais,7.0,1.0,2.0,4.0,7.0,,,1.0,3.0,,2.0,0.0866,1.0,-0.25,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,0.0238,,2.0,1.0,,
14035915,home,KV Mechelen,Moncef Zekri,moncef-zekri,M. Zekri,D,23,171.0,1104,M,1931586,EUR,1221868800,M,23,23,False,29.0,26.0,2.0,,0.0,13.0,16.0,13.0,13.0,4.0,3.0,,,,,73.0,62.0,7.2,11.0,0.0220499,,1,,-0.01,0.19,0.27,,Moncef Zekri,,3.0,,,4.0,7.0,1.0,,1.0,3.0,,2.0,0.0788,,-0.25,1.0,,2.0,1.0,4.0,2.0,,,,1.0,,,,,,,
14035915,home,KV Mechelen,Bilal Bafdili,bafdili-bilal,B. Bafdili,M,11,180.0,191,M,1445119,EUR,1091491200,F,11,11,False,17.0,15.0,,,0.0,3.0,4.0,12.0,13.0,1.0,1.0,,,,,45.0,26.0,6.4,8.0,0.0148188,,0,,0.02,0.13,-0.06,,,,,,,4.0,2.0,,,,,,1.0,,,,1.0,,,1.0,2.0,1.0,,,,3.0,,,,,1.0,,
14035915,home,KV Mechelen,Lion Lauberbach,lion-lauberbach,L. Lauberbach,F,29,197.0,268,M,886171,EUR,887500800,F,20,20,False,13.0,12.0,,,1.0,3.0,4.0,9.0,9.0,,3.0,,,,,86.0,29.0,6.9,9.0,0.0229486,,3,,0.16,-0.52,0.14,,,,,3.0,2.0,8.0,4.0,2.0,,,,,2.0,0.7153,2.0,0.11,,,,,6.0,1.0,1.0,,,3.0,,0.385,,,,1.0,
