match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_keyPass,stat_totalCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_ownGoals,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_dispossessed,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
12450216,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188.0,21320,M,996953,EUR,1005004800,G,30,30,False,26.0,21.0,7.0,2.0,0.0,20.0,22.0,1.0,4.0,1.0,2.0,5.0,1.0,3.0,1.0,90.0,35.0,6.7,5.0,0.00019646,0,-0.9579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450216,home,Lille,Thomas Meunier,,,thomas-meunier,T. Meunier,D,12,190.0,2781,M,128587,EUR,684633600,D,12,12,False,56.0,47.0,5.0,4.0,0.0,24.0,26.0,23.0,30.0,2.0,1.0,2.0,,,,90.0,70.0,7.5,12.0,0.236485,1,,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.1327,0.6191,,,,,,,,,,,,,,,,,,,
12450216,home,Lille,Bafodé Diakité,,,bafode-diakite,B. Diakité,D,18,182.0,1863,M,962408,EUR,978739200,D,18,18,False,78.0,70.0,9.0,3.0,0.0,50.0,52.0,20.0,26.0,7.0,9.0,5.0,1.0,,,90.0,95.0,7.3,8.0,0.207409,1,,1.0,,,,,3.0,3.0,,1.0,0.1256,,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
12450216,home,Lille,Alexsandro Ribeiro,Alexsandro Ribeiro,,alexsandro-ribeiro,A. Ribeiro,D,4,192.0,4572,M,1049775,EUR,934156800,D,4,4,False,88.0,82.0,6.0,3.0,0.0,62.0,64.0,20.0,25.0,5.0,6.0,7.0,,,,90.0,100.0,6.8,8.0,0.0155758,0,,2.0,,,,,1.0,,1.0,,,,3.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
12450216,home,Lille,Ismaily,,,ismaily,Ismaily,D,,177.0,339,M,78352,EUR,632016000,D,31,31,False,51.0,47.0,3.0,2.0,0.0,24.0,24.0,23.0,27.0,7.0,4.0,4.0,,,,86.0,73.0,7.7,6.0,0.0123997,2,,3.0,2.0,2.0,,,6.0,5.0,2.0,,0.1332,0.188,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,
12450216,home,Lille,Hakon Arnar Haraldsson,,,haraldsson-hakon-arnar,H. A. Haraldsson,M,10,180.0,2141,M,1138804,EUR,1049932800,M,7,7,False,40.0,29.0,2.0,,0.0,9.0,12.0,22.0,35.0,4.0,,7.0,3.0,,,86.0,56.0,7.6,17.0,0.264911,1,,2.0,,,,,,,,1.0,0.1219,,,1.0,,,4.0,7.0,,2.0,1.0,,2.0,3.0,1.0,1.0,,,,,
12450216,home,Lille,Benjamin André,,,benjamin-andre,B. André,M,21,180.0,759,M,51665,EUR,649641600,M,21,21,False,62.0,53.0,3.0,2.0,0.0,31.0,34.0,22.0,28.0,13.0,2.0,10.0,3.0,,,90.0,87.0,7.8,11.0,0.0322349,0,,7.0,3.0,,,,8.0,7.0,2.0,,,,1.0,,,4.0,1.0,,4.0,1.0,1.0,,,,,,True,,,,
12450216,home,Lille,André Gomes,,,andre-gomes,A. Gomes,M,26,188.0,1679,M,235460,EUR,743990400,M,26,26,False,55.0,49.0,5.0,3.0,0.0,25.0,25.0,24.0,32.0,2.0,1.0,6.0,,,,80.0,68.0,6.7,13.0,0.0107987,1,,4.0,,,,,1.0,,2.0,1.0,0.0308,,,,1.0,,,2.0,,1.0,1.0,,,,,,,3.0,,,
12450216,home,Lille,Matías Fernández,Matias Fernandez,,fernandez-matias,M. Fernandez,F,7,183.0,1612,M,1149144,EUR,1107388800,M,19,19,False,17.0,15.0,2.0,1.0,1.0,5.0,5.0,10.0,15.0,1.0,,3.0,,,,71.0,31.0,7.4,9.0,0.0659298,2,,1.0,,1.0,,,1.0,,4.0,1.0,0.0649,0.0281,,,1.0,1.0,1.0,3.0,,,,,,1.0,,,,,,,
12450216,home,Lille,Jonathan David,,,jonathan-david,J. David,F,30,180.0,21023,M,935564,EUR,947808000,F,9,9,False,28.0,28.0,1.0,1.0,1.0,10.0,10.0,18.0,18.0,4.0,1.0,2.0,2.0,,,90.0,44.0,8.4,5.0,0.0880699,5,,6.0,1.0,3.0,2.0,,1.0,,1.0,1.0,1.0978,2.1111,,2.0,,,2.0,,,3.0,1.0,,,1.0,2.0,,,2.0,jodavid,,
12450216,home,Lille,Chuba Akpom,,,chuba-akpom,C. Akpom,F,29,186.0,1675,M,190867,EUR,813196800,F,24,24,False,8.0,6.0,,,0.0,3.0,3.0,3.0,5.0,6.0,,2.0,3.0,,,80.0,18.0,6.7,4.0,0.00947468,2,,3.0,2.0,2.0,,,2.0,,,,0.3312,0.5732,1.0,1.0,,,,,,,,,,,,,,1.0,,,
12450216,home,Lille,Osame Sahraoui,,,osame-sahraoui,O. Sahraoui,M,11,170.0,7380,M,965357,EUR,992217600,F,11,11,True,11.0,10.0,2.0,2.0,0.0,2.0,2.0,8.0,9.0,1.0,1.0,4.0,,,,19.0,18.0,7.3,5.0,0.368369,0,,3.0,,,,,,,1.0,,,,,,,,2.0,,,4.0,1.0,,,2.0,,,,,osamesahraoui,,
