match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialWon,stat_ownGoals,stat_fouls,stat_totalCross,stat_interceptionWon,stat_onTargetScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,stat_expectedGoalsOnTarget,captain,stat_wonContest,stat_bigChanceMissed,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_lastManTackle
14573121,home,BK Häcken,Etrit Berisha,etrit-berisha,E. Berisha,G,99,194.0,464,M,35656,EUR,605491200,G,99,99,False,24.0,20.0,4.0,0.0,20.0,22.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,3.0,3.0,1.0,1.0,90.0,36.0,7.1,4.0,7.821e-05,79.249477559236,10.0,9.765,10.185,0.4077,0,-0.5222,0.01,0.01,0.22,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573121,home,BK Häcken,Julius Lindberg,lindberg-julius,J. Lindberg,D,11,182.0,45,M,1021083,EUR,915408000,D,11,11,False,44.0,37.0,4.0,0.0,13.0,15.0,29.0,2.0,6.0,2.0,,4.0,1.0,,,,,,78.0,64.0,6.3,12.0,0.0266251,201.35476843219,24.0,149.625,20.58,,3,,0.13,0.14,-0.18,,2.0,24.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0635,1.0,-0.19,,,,,,,,,,,,,,,,,,,
14573121,home,BK Häcken,Marius Lode,marius-lode,M. Lode,D,5,185.0,76,M,228348,EUR,731808000,D,4,4,False,80.0,71.0,10.0,0.0,33.0,35.0,45.0,,,4.0,7.0,4.0,,,,,,,78.0,89.0,7.3,9.0,0.0277485,211.61799746167,32.0,129.045,9.765,,0,,0.39,0.12,-0.11,,5.0,38.0,,,,,,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
14573121,home,BK Häcken,Filip Helander,filip-helander,F. Helander,D,22,192.0,179,M,168749,EUR,735436800,D,22,22,False,71.0,66.0,2.0,0.0,47.0,48.0,23.0,2.0,3.0,6.0,9.0,2.0,,,,,,,90.0,87.0,6.6,6.0,0.0130723,204.66843104532,23.0,103.635,22.47,,1,,0.23,0.14,-0.63,,,19.0,,,,1.0,,1.0,1.0,,,0.0305,,-0.19,,,5.0,1.0,1.0,,,,,,,,,,,,,,
14573121,home,BK Häcken,Adam Lundqvist,adam-lundqvist,A. Lundqvist,D,21,174.0,35,M,283219,EUR,764121600,D,21,21,False,57.0,53.0,5.0,0.0,25.0,26.0,31.0,,1.0,3.0,,6.0,,,,,,,90.0,78.0,6.8,12.0,0.0196886,143.29186156551,22.0,27.825,21.63,,0,,0.12,0.01,-0.14,,4.0,28.0,,,,,,2.0,1.0,4.0,,,,,,,1.0,,1.0,4.0,2.0,,,,,,,,,,,,
14573121,home,BK Häcken,Silas Andersen,silas-andersen,S. Andersen,M,8,185.0,528,M,1083407,EUR,1087084800,M,8,8,False,74.0,65.0,2.0,1.0,34.0,36.0,38.0,4.0,8.0,3.0,1.0,7.0,2.0,,,,,,90.0,88.0,7.3,10.0,0.0582814,215.04602476299,33.0,67.935,14.385,,1,,0.11,0.04,0.15,,1.0,31.0,1.0,,,,,1.0,1.0,,1.0,0.0216,2.0,-0.07,Silas Andersen,,,,3.0,1.0,1.0,1.0,1.0,1.0,0.0114,,,,,,,,
14573121,home,BK Häcken,Simon Gustafson,simon-gustafson,S. Gustafson,M,14,185.0,171,M,319307,EUR,789782400,M,14,14,False,54.0,39.0,4.0,0.0,12.0,13.0,41.0,3.0,10.0,9.0,3.0,4.0,1.0,,,,,,90.0,79.0,6.7,21.0,0.159575,202.10421849121,25.0,55.965,25.305,,2,,0.23,0.33,-0.09,,1.0,27.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,,0.1695,5.0,-0.53,,,4.0,,3.0,1.0,4.0,,,,,True,3.0,,,,,,
14573121,home,BK Häcken,Adrian Svanback,svanback-adrian,A. Svanbäck,F,20,179.0,262,M,1382909,EUR,1086652800,M,20,20,False,17.0,13.0,,0.0,5.0,5.0,12.0,,5.0,3.0,,,1.0,,,,,,78.0,26.0,6.4,6.0,0.034167,97.457922404488,11.0,50.505,25.62,,2,,-0.06,0.26,-0.2,,,8.0,3.0,,2.0,,1.0,,,2.0,,0.1581,,-0.56,Adrian Svanbäck,,,,2.0,,,1.0,,,0.1871,,2.0,1.0,,,,,
14573121,home,BK Häcken,Mikkel Rygaard,mikkel-rygaard,M. Rygaard,M,10,176.0,87,M,801073,EUR,662083200,M,10,10,False,82.0,70.0,8.0,0.0,35.0,36.0,46.0,,3.0,4.0,2.0,9.0,2.0,,,,,,90.0,99.0,7.8,18.0,0.520977,234.52009747065,32.0,72.87,35.28,,1,,0.75,0.34,-0.08,,5.0,35.0,2.0,,,,1.0,2.0,1.0,2.0,,0.1294,4.0,-0.3,,,,,1.0,6.0,,,,,,,,,2.0,1.0,,,
14573121,home,BK Häcken,Amor Layouni,amor-layouni,A. Layouni,F,24,191.0,1828,M,338695,EUR,718070400,M,24,24,False,29.0,25.0,2.0,0.0,5.0,5.0,24.0,,5.0,,,2.0,,,,,,,90.0,51.0,5.7,15.0,0.023547,160.15289713756,19.0,108.045,15.96,,3,,0.0,-0.53,-0.05,,1.0,20.0,,2.0,3.0,2.0,,,,2.0,,0.1883,,-0.56,,,,,,4.0,1.0,1.0,,,0.0443,,,1.0,,,,,
