match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_totalOffside,stat_interceptionWon,stat_outfielderBlock,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,player_sofascoreId,stat_bigChanceMissed,stat_goodHighClaim,stat_hitWoodwork,stat_clearanceOffLine
14062205,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,324,M,187185,EUR,798768000,G,1,1,False,True,47.0,32.0,31.0,16.0,0.0,21.0,23.0,11.0,24.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,2.0,2.0,90.0,54.0,7.3,16.0,0.0101938,64.813525548999,11.0,30.421262892576,0.0,0.6993,0,-0.2023,0.22,0.02,-0.04,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062205,home,1. FC Köln,Jan Thielmann,,,thielmann-jan,J. Thielmann,M,29,178,397,M,1010726,EUR,1022371200,D,29,29,False,,22.0,15.0,6.0,1.0,0.0,6.0,7.0,9.0,15.0,,4.0,2.0,5.0,,,,,,89.0,43.0,7.0,14.0,0.0405187,145.75940019056,13.0,77.565615949488,3.0,,1,,0.11,0.14,-0.43,,3.0,1.0,1.0,7.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0366,0.6673,20.428472419067,64.009063730718,0.54,,,,,,,,,,,,,,,
14062205,home,1. FC Köln,Sebastian Sebulonsen,,,sebastian-sebulonsen,S. Sebulonsen,M,28,187,234,M,1020206,EUR,948931200,D,28,28,False,,18.0,13.0,3.0,,0.0,6.0,7.0,7.0,11.0,1.0,6.0,1.0,5.0,,,,,,90.0,42.0,6.0,17.0,0.168676,126.46653231842,10.0,64.710510416586,2.0,,1,,-0.01,0.07,-0.59,,2.0,,,5.0,3.0,,2.0,,,,3.0,2.0,,0.1008,,22.968474805705,61.766218402108,-0.31,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,
14062205,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,936,M,988639,EUR,1020038400,D,6,6,False,,44.0,36.0,3.0,1.0,0.0,25.0,28.0,11.0,16.0,3.0,6.0,9.0,3.0,,,,,,90.0,61.0,5.9,9.0,0.00932801,90.481321365149,14.0,11.545838209078,0.0,,0,,-0.21,0.04,-0.3,,,,8.0,12.0,3.0,1.0,,,,,2.0,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,
14062205,home,1. FC Köln,Cenk Özkaçar,,,cenk-ozkacar,C. Özkaçar,D,39,190,731,M,953097,EUR,970790400,D,39,39,False,,52.0,39.0,8.0,3.0,0.0,21.0,24.0,18.0,28.0,2.0,3.0,7.0,3.0,,,,,,90.0,65.0,6.6,15.0,0.0108577,181.51378655228,18.0,56.622528607958,0.0,,0,,0.06,0.11,0.16,,1.0,,1.0,3.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,2.0,,,,,,,,
14062205,home,1. FC Köln,Kristoffer Lund,,,kristoffer-lund,K. Lund,D,32,184,391,M,963043,EUR,1021334400,D,32,32,False,,23.0,20.0,3.0,3.0,0.0,8.0,10.0,12.0,13.0,,2.0,7.0,6.0,,,,,,78.0,51.0,7.2,11.0,0.467155,68.707232131786,12.0,34.153901833714,1.0,,1,,0.77,0.1,-0.23,,7.0,3.0,,1.0,1.0,,,,,,1.0,1.0,,0.0616,,21.501377036102,23.193527114262,-0.34,,1.0,,2.0,,,,1.0,1.0,2.0,,,,,
14062205,home,1. FC Köln,Ísak Bergmann Jóhannesson,,,isak-bergmann-johannesson,Í. B. Jóhannesson,M,18,180,939,M,1112327,EUR,1048377600,M,18,18,False,,18.0,14.0,1.0,,1.0,8.0,9.0,6.0,9.0,1.0,5.0,1.0,2.0,,,,,,68.0,31.0,6.8,4.0,0.00552265,23.465780486917,2.0,-18.819806901279,0.0,,0,,-0.12,-0.08,-0.01,,,,1.0,5.0,3.0,,,,,,2.0,2.0,1.0,,,,,,,1.0,,,,1.0,2.0,,,1.0,,,,,
14062205,home,1. FC Köln,Tom Krauß,,,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,5,5,False,,40.0,31.0,3.0,1.0,0.0,14.0,17.0,17.0,23.0,1.0,9.0,3.0,10.0,,,,,,90.0,58.0,7.7,12.0,0.251165,71.024854989475,9.0,7.2696768775983,1.0,,0,,0.48,0.18,-0.02,,2.0,,1.0,3.0,1.0,,1.0,1.0,,,5.0,2.0,1.0,,,11.647709602851,14.773666978784,,,4.0,,,,1.0,,1.0,,1.0,,,,,
14062205,home,1. FC Köln,Jakub Kamiński,,,jakub-kaminski,J. Kamiński,M,16,178,5205,M,801263,EUR,1023235200,M,16,16,False,,32.0,22.0,1.0,,0.0,7.0,8.0,15.0,24.0,2.0,7.0,,2.0,,,,,,90.0,55.0,7.3,18.0,0.134734,129.73580858569,8.0,82.180574971987,4.0,,0,,0.16,0.16,0.4,,6.0,2.0,1.0,4.0,1.0,,,,,,3.0,2.0,2.0,,,32.67088393556,87.494171701236,,,3.0,,3.0,,1.0,2.0,,,2.0,jakub.kaminskii,,,,
14062205,home,1. FC Köln,Ragnar Ache,,,ragnar-ache,R. Ache,F,9,182,1324,M,877544,EUR,901584000,F,9,9,False,,15.0,7.0,,,0.0,,1.0,7.0,14.0,9.0,12.0,2.0,4.0,,,,,,89.0,36.0,6.8,14.0,0.0351739,45.331271444195,5.0,42.603261589203,1.0,,4,,0.14,0.26,0.26,,,,7.0,11.0,,1.0,4.0,2.0,1.0,,,1.0,1.0,0.5388,,27.217000827719,27.511032332503,-0.75,1.0,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,
