match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_totalClearance,captain,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_bigChanceCreated,stat_blockedScoringAttempt
10437973,away,FC Porto,Pepê,pepe,Pepê,F,11,175.0,5029,M,882664,EUR,856742400,M,11,11,False,26.0,18.0,,,5.0,6.0,14.0,21.0,7.0,1.0,,,,,,89.0,40.0,7.3,12.0,0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,5.0,,2.0,,,,,,,,,pepe,,1.0,,,
10437973,away,FC Porto,Otávio,otavio,Otávio,M,25,171.0,6972,M,244801,EUR,792288000,M,25,25,False,39.0,31.0,6.0,3.0,14.0,15.0,18.0,26.0,5.0,8.0,,,,,,63.0,53.0,6.8,13.0,0,2.0,1.0,,6.0,2.0,,4.0,2.0,,,2.0,,2.0,1.0,2.0,1.0,,,,,,,,,otavio,,,,,
10437973,away,FC Porto,Wenderson Galeno,wenderson-galeno,W. Galeno,M,13,178.0,4340,M,845754,EUR,877478400,M,13,13,False,17.0,15.0,,,6.0,6.0,9.0,11.0,10.0,4.0,,,,,,89.0,41.0,7.9,8.0,5,,,,2.0,,,,,2.0,,2.0,1.0,4.0,5.0,2.0,1.0,,,3.0,1.0,,3.0,,,w_galeno90,1.0,,1.0,,
10437973,away,FC Porto,Mehdi Taremi,mehdi-taremi,M. Taremi,F,99,187.0,20235,M,812533,EUR,711417600,F,9,9,False,7.0,5.0,1.0,,,,5.0,8.0,3.0,1.0,,,,,,45.0,18.0,6.3,7.0,0,1.0,,,5.0,3.0,1.0,,,,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,2.0,mehditaremi9,,,,,
10437973,away,FC Porto,Evanilson,evanilson,Evanilson,F,9,181.0,7635,M,998490,EUR,939168000,F,30,30,True,16.0,13.0,,,9.0,11.0,4.0,5.0,3.0,4.0,,,,,,45.0,26.0,6.8,8.0,0,,,1.0,4.0,,,4.0,1.0,,1.0,1.0,1.0,2.0,1.0,,2.0,,,,,,,,,evanilsonlima99,,1.0,,,
10437973,away,FC Porto,André Franco,andre-franco,A. Franco,M,10,177.0,622,M,851286,EUR,892339200,F,20,20,True,10.0,9.0,1.0,1.0,6.0,6.0,3.0,4.0,1.0,1.0,,,,,,27.0,16.0,6.6,5.0,1,,,,3.0,,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0
10437973,away,FC Porto,Zaidu Sanusi,zaidu-sanusi,Z. Sanusi,D,12,182.0,2630,M,987510,EUR,866160000,D,12,12,True,11.0,7.0,2.0,1.0,6.0,8.0,1.0,3.0,4.0,2.0,,,,,,13.0,17.0,7.0,4.0,0,,,,,,,,,,,2.0,1.0,,,,,,,2.0,2.0,,,,,,,,,,
10437973,away,FC Porto,Fábio Cardoso,fabio-cardoso,F. Cardoso,D,15,187.0,510,M,252815,EUR,766713600,D,2,2,True,1.0,,1.0,,,,,1.0,,,,,,,,1.0,2.0,,1.0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
10437973,away,FC Porto,Gonçalo Borges,goncalo-borges,G. Borges,F,11,184.0,1083,M,979221,EUR,985824000,F,70,70,True,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,4.0,,1.0,0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
10437973,away,FC Porto,Cláudio Ramos,claudio-ramos,C. Ramos,G,14,183.0,1032,M,116372,EUR,690249600,G,14,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437973,away,FC Porto,Rodrigo Conceição,rodrigo-conceicao,R. Conceição,D,27,173.0,250,M,945121,EUR,946771200,D,17,17,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437973,away,FC Porto,Danny Namaso,danny-namaso,D. Namaso,F,19,182.0,4899,M,867440,EUR,967420800,F,19,19,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437973,away,FC Porto,Toni Martínez,toni-martinez,T. Martínez,F,11,180.0,1253,M,831253,EUR,867628800,F,29,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
