match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_totalClearance,stat_interceptionWon,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_fouls,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle
12436486,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190.0,3777,M,lukasz.fabianski,15479,EUR,482630400,G,1,1,False,22.0,11.0,16.0,5.0,0.0,8.0,10.0,3.0,12.0,9.0,2.0,4.0,4.0,90.0,35.0,7.6,11.0,0.00032947,0,0.5332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436486,home,West Ham United,Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183.0,18282,M,awbissaka,863653,EUR,880502400,D,29,29,False,35.0,27.0,4.0,,0.0,11.0,14.0,16.0,22.0,3.0,,,,67.0,53.0,6.8,11.0,0.0118182,0,,,,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436486,home,West Ham United,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189.0,2607,M,,945217,EUR,946512000,D,25,25,False,48.0,42.0,5.0,4.0,0.0,31.0,35.0,11.0,13.0,1.0,,,,90.0,64.0,7.0,8.0,0.00342438,0,,,,,5.0,,2.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12436486,home,West Ham United,Max Kilman,max-kilman,M. Kilman,D,3,192.0,1250,M,,894474,EUR,864345600,D,26,26,False,49.0,34.0,10.0,3.0,0.0,17.0,24.0,17.0,25.0,6.0,,,,90.0,61.0,7.0,15.0,0.0086059,0,,,,,10.0,,2.0,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12436486,home,West Ham United,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176.0,2398,M,,155997,EUR,775872000,D,33,33,False,41.0,32.0,2.0,1.0,0.0,5.0,7.0,28.0,37.0,5.0,,,,90.0,72.0,7.3,17.0,0.0226657,1,,,,3.0,2.0,,,1.0,3.0,6.0,1.0,,,5.0,2.0,,,2.0,1.0,1.0,1.0,2.0,0.0354,,,,,,,,,,,,,
12436486,home,West Ham United,Guido Rodríguez,guido-rodriguez,G. Rodríguez,M,2,185.0,3908,M,guiido_rodriguez,609752,EUR,766108800,M,24,24,False,40.0,33.0,3.0,2.0,0.0,17.0,19.0,16.0,21.0,,,,,67.0,49.0,7.0,7.0,0.010448,1,,,,,1.0,,,,2.0,1.0,,,3.0,,,,1.0,,,,,,0.0232,2.0,1.0,0.0138,,,,,,,,,,
12436486,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174.0,9125,M,jarrodbowen,552884,EUR,851040000,M,20,20,False,25.0,18.0,1.0,1.0,0.0,2.0,5.0,16.0,22.0,4.0,,,,90.0,56.0,7.3,17.0,0.190336,3,,,,2.0,1.0,2.0,3.0,,10.0,8.0,,9.0,,2.0,,,2.0,,1.0,,1.0,2.0,0.0956,2.0,1.0,0.0614,True,4.0,1.0,1.0,1.0,,,,,
12436486,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192.0,3256,M,,799041,EUR,793843200,M,28,28,False,51.0,45.0,4.0,3.0,0.0,21.0,23.0,24.0,28.0,2.0,,,,90.0,57.0,6.9,7.0,0.112377,0,,,,,2.0,,4.0,4.0,7.0,7.0,,,,2.0,1.0,,1.0,,,,,1.0,,3.0,,,,,,,,,,,,
12436486,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180.0,63569,M,Paqueta,839981,EUR,872640000,M,10,10,False,62.0,50.0,6.0,4.0,0.0,18.0,23.0,32.0,41.0,8.0,,,,90.0,86.0,7.2,19.0,0.279714,1,,,,2.0,3.0,,3.0,1.0,11.0,3.0,2.0,2.0,,,,,1.0,3.0,3.0,,1.0,2.0,0.0079,2.0,,,,1.0,1.0,,,,,,,
12436486,home,West Ham United,Crysencio Summerville,crysencio-summerville,C. Summerville,M,7,174.0,5285,M,csummerville7,917005,EUR,1004400000,M,7,7,False,23.0,17.0,2.0,1.0,0.0,6.0,7.0,12.0,20.0,3.0,,,,83.0,41.0,7.2,13.0,0.164203,1,,,,4.0,,,1.0,,5.0,4.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,0.2775,,1.0,0.4242,,1.0,,,,1.0,1.0,,,
