match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wasFouled,stat_fouls,player_sofascoreId,stat_interceptionWon,stat_lastManTackle,stat_wonTackle,stat_accurateCross,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_dispossessed,stat_totalContest,stat_keyPass,stat_wonContest,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,captain,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
12624431,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2722,M,188107,EUR,815097600,G,1,1,False,12.0,11.0,3.0,2.0,0.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,4.0,1.0,90.0,22.0,7.2,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624431,home,Al-Ittihad,Saad Al-Mousa,saad-al-mousa,S. Al-Mousa,D,6,182.0,373,M,1134250,EUR,1039478400,D,6,6,False,53.0,50.0,5.0,2.0,0.0,31.0,32.0,22.0,1.0,1.0,4.0,3.0,4.0,,,,,90.0,66.0,6.7,4.0,0,Saad Al-Mousa,,19.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12624431,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187.0,4062,M,99545,EUR,684374400,D,2,2,False,60.0,56.0,7.0,4.0,0.0,35.0,35.0,25.0,1.0,,1.0,2.0,2.0,4.0,,,,90.0,66.0,7.2,4.0,0,,,21.0,,,1.0,2.0,,,DaniloP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12624431,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,15,15,False,50.0,46.0,1.0,,0.0,19.0,21.0,31.0,3.0,1.0,4.0,7.0,5.0,3.0,,,,90.0,67.0,7.1,5.0,1,,,29.0,2.0,1.0,,5.0,1.0,,,,,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12624431,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800,M,13,13,False,39.0,33.0,,,0.0,13.0,14.0,27.0,,,11.0,1.0,3.0,3.0,,,,90.0,65.0,6.1,16.0,0,,,20.0,2.0,3.0,,1.0,,,,1.0,,1.0,,,,4.0,4.0,1.0,,,,,,,,,,,,
12624431,home,Al-Ittihad,Awad Al-Nashri,awad-al-nashri,A. Al-Nashri,M,14,176.0,241,M,1048371,EUR,1016150400,M,14,14,False,47.0,40.0,4.0,2.0,0.0,19.0,21.0,26.0,,,7.0,6.0,,7.0,,,,75.0,57.0,6.7,9.0,0,Awad Al Nashri,,21.0,,3.0,,5.0,,2.0,,1.0,,3.0,,,,2.0,1.0,,1.0,,,,,,,,,,,
12624431,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175.0,14747,M,846081,EUR,899164800,M,10,10,False,49.0,44.0,3.0,2.0,0.0,18.0,19.0,30.0,,,1.0,4.0,,5.0,,,,43.0,59.0,7.0,9.0,1,,,26.0,,,,3.0,1.0,,houssem_aouar,,,1.0,,,3.0,,1.0,,,1.0,,,,,,,,,,
12624431,home,Al-Ittihad,Mario Mitaj,mitaj-mario,M. Mitaj,D,12,180.0,1741,M,1006089,EUR,1060128000,M,12,12,False,24.0,22.0,,,0.0,12.0,12.0,12.0,,,1.0,,,2.0,,,,45.0,35.0,6.5,4.0,0,,,10.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
12624431,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170.0,7562,M,855817,EUR,931305600,F,19,19,False,31.0,27.0,,,0.0,7.0,7.0,29.0,,,5.0,4.0,1.0,3.0,,,,74.0,50.0,7.0,15.0,3,,,20.0,5.0,1.0,,,1.0,,moussadiaby,,,,,1.0,1.0,,7.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,
12624431,home,Al-Ittihad,Karim Benzema,karim-benzema,K. Benzema,F,90,184.0,194410,M,3306,EUR,566870400,F,9,9,False,36.0,29.0,2.0,1.0,0.0,4.0,4.0,35.0,1.0,,2.0,3.0,,5.0,,,,90.0,51.0,7.8,15.0,0,,,26.0,3.0,,,1.0,,,KBenz9,,,1.0,1.0,,2.0,,3.0,3.0,2.0,,,,,True,2.0,2.0,,,,
