match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_fouls,player_firstName,player_lastName,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,stat_shotOffTarget,stat_clearanceOffLine,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed
10389922,home,Clermont Foot,Mory Diaw,mory-diaw,M. Diaw,G,99,197,3450,M,580226,EUR,740707200,G,99,99,False,30.0,12.0,25.0,8.0,5.0,6.0,7.0,24.0,1.0,11.0,2.0,2.0,3.0,1.0,1.0,90.0,38.0,7.7,18.0,0.0,0.0,0.0165051,2.0,0,0.6692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389922,home,Clermont Foot,Mateusz Wieteska,mateusz-wieteska,M. Wieteska,D,4,187,1515,M,286087,EUR,855619200,D,4,4,False,25.0,22.0,3.0,1.0,15.0,16.0,7.0,10.0,2.0,5.0,,,,,,90.0,43.0,7.1,8.0,0.0,0.0,0.025182,,0,,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10389922,home,Clermont Foot,Alidu Seidu,alidu-seidu,A. Seidu,D,36,173,2225,M,1049515,EUR,960076800,D,36,36,False,17.0,15.0,1.0,1.0,14.0,15.0,1.0,2.0,3.0,6.0,,,,,,90.0,28.0,7.1,2.0,0.0,0.0,0.0003042,,0,,,1.0,,3.0,2.0,,,2.0,1.0,2.0,Alidu Seidu,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10389922,home,Clermont Foot,Maximiliano Caufriez,maximiliano-caufriez,M. Caufriez,D,5,189,161,M,800349,EUR,856051200,D,5,5,False,15.0,12.0,4.0,3.0,10.0,11.0,2.0,4.0,2.0,2.0,,,,,,90.0,26.0,7.4,3.0,0.0,0.0,0.0025662,,0,,,2.0,,3.0,3.0,,,2.0,3.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,
10389922,home,Clermont Foot,Jérémie Bela,jeremie-bela,J. Bela,M,,173,189,M,282917,EUR,734227200,M,91,91,False,20.0,15.0,1.0,1.0,7.0,9.0,8.0,16.0,2.0,5.0,,,,,,77.0,42.0,6.7,14.0,0.0301,0.0,0.00592917,,1,,5.0,,,4.0,3.0,3.0,,2.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10389922,home,Clermont Foot,Johan Gastien,johan-gastien,J. Gastien,M,25,179,44,M,216222,EUR,570067200,M,25,25,False,42.0,36.0,6.0,5.0,19.0,20.0,17.0,25.0,2.0,7.0,,,,,,90.0,60.0,7.2,10.0,0.0,0.0,0.0258334,,0,,3.0,,,5.0,6.0,,,3.0,3.0,2.0,,,1.0,3.0,3.0,,,True,2.0,1.0,,,,,,,,,,
10389922,home,Clermont Foot,Maxime Gonalons,maxime-gonalons,M. Gonalons,M,,186,154,M,82555,EUR,605491200,M,12,12,False,22.0,19.0,,,10.0,12.0,9.0,10.0,1.0,3.0,,,,,,77.0,35.0,7.6,6.0,0.3667,0.9465,0.00562743,,1,,,,2.0,1.0,7.0,2.0,1.0,1.0,3.0,,,,,3.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,
10389922,home,Clermont Foot,Neto Borges,neto-borges,N. Borges,D,21,183,239,M,920008,EUR,842572800,M,3,3,False,13.0,8.0,3.0,1.0,1.0,4.0,8.0,10.0,7.0,3.0,,,,,,90.0,43.0,6.9,10.0,0.0389,0.0,0.0200853,,1,,1.0,,1.0,3.0,5.0,2.0,1.0,1.0,3.0,1.0,,,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,
10389922,home,Clermont Foot,Jodel Dossou,jodel-dossou,J. Dossou,F,,180,1113,M,333165,EUR,700790400,F,20,20,False,20.0,15.0,2.0,1.0,4.0,7.0,11.0,17.0,,4.0,,,,,,88.0,46.0,7.8,16.0,0.1937,0.2652,0.00784691,1.0,3,,4.0,,,4.0,9.0,5.0,5.0,,2.0,,Jodel,Dossou,1.0,1.0,2.0,1.0,3.0,,,4.0,1.0,,,1.0,1.0,1.0,,,,
10389922,home,Clermont Foot,Jim Allevinah,jim-allevinah,J. Allevinah,M,18,172,920,M,988632,EUR,793843200,F,11,11,False,8.0,7.0,,,3.0,3.0,4.0,5.0,,1.0,,,,,,72.0,17.0,6.3,5.0,0.0902,0.0,0.0047364,,1,,,1.0,,7.0,2.0,1.0,,,,2.0,,,,,2.0,1.0,2.0,,2.0,1.0,,,,,,,,,,
