match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_penaltyConceded,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_errorLeadToAGoal,player_sofascoreId,stat_blockedScoringAttempt,stat_penaltyMiss,stat_penaltyWon,stat_totalOffside
13199638,home,Valencia,Hugo Duro,,,hugo-duro,H. Duro,F,9,180,2868,M,909119,EUR,942192000,F,9,9,False,20.0,16.0,,,0.0,10.0,10.0,6.0,10.0,,,,,,,,,,90.0,28.0,7.3,7.0,0.0022045,2,,,1.0,7.0,3.0,,,1.0,2.0,,,,1.0,1.0,0.9787,1.0794,,5.0,1.0,1.0,,3.0,,1.0,,,,,1.0,,,,,,
13199638,home,Valencia,Sergi Canós,,,sergi-canos,S. Canós,M,7,173,366,M,790833,EUR,854841600,M,7,7,True,4.0,2.0,,,0.0,2.0,2.0,,2.0,1.0,,,,,,,,,23.0,11.0,6.0,5.0,0.00018518,0,,,,4.0,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
13199638,home,Valencia,Hugo Guillamón,,,hugo-guillamon,H. Guillamón,M,6,178,876,M,855830,EUR,949276800,D,6,6,True,15.0,14.0,2.0,2.0,0.0,6.0,7.0,8.0,8.0,,1.0,,,,,,,,22.0,20.0,4.9,3.0,0.00340128,0,,,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,
13199638,home,Valencia,Jesús Vázquez,,,jesus-vazquez,J. Vázquez,D,21,182,419,M,996929,EUR,1041465600,D,21,21,True,6.0,6.0,,,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,13.0,7.0,6.2,,0.00144759,0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13199638,home,Valencia,Dani Gómez,,,dani-gomez,D. Gómez,F,9,177,229,M,888930,EUR,901756800,F,17,17,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,,,13.0,2.0,6.3,1.0,0.00060782,0,,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
13199638,home,Valencia,Jaume Doménech,,,jaume-domenech,J. Doménech,G,,186,177,M,235386,EUR,657763200,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199638,home,Valencia,Vicent Abril,Vicent Abril,,vicent-abril,V. Abril,G,28,187,49,M,1464650,EUR,1108425600,G,35,35,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199638,home,Valencia,Rubén Iranzo,,,ruben-iranzo,R. Iranzo,D,26,182,56,M,1167704,EUR,1047600000,D,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199638,home,Valencia,Maximiliano Caufriez,,,maximiliano-caufriez,M. Caufriez,D,5,189,161,M,800349,EUR,856051200,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199638,home,Valencia,Iker Cordoba,,,iker-cordoba,I. Córdoba,D,24,190,86,M,1563953,EUR,1131667200,D,38,38,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
