match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goalAssist,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_dispossessed,stat_goals,stat_bigChanceCreated,captain,stat_totalOffside,stat_errorLeadToAGoal,stat_hitWoodwork
11391301,home,AS Monaco,Radosław Majecki,radoslaw-majecki,R. Majecki,G,1,191,1544,M,849114,EUR,942710400,G,1,1,False,29.0,24.0,12.0,7.0,19.0,19.0,5.0,10.0,1.0,9.0,1.0,3.0,7.0,1.0,90.0,46.0,8.9,5.0,0.00095483,0,2.2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Vanderson,vanderson,Vanderson,D,2,173,6111,M,1090694,EUR,993081600,D,2,2,False,48.0,38.0,3.0,2.0,13.0,17.0,25.0,33.0,3.0,5.0,,,,,90.0,76.0,7.2,15.0,0.100703,1,,Vanderson,,2.0,3.0,1.0,10.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,0.0158,3.0,,,,,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Wilfried Singo,wilfried-singo,W. Singo,D,90,190,12125,M,978285,EUR,977702400,D,99,99,False,50.0,40.0,12.0,5.0,29.0,34.0,11.0,16.0,3.0,9.0,,,,,90.0,67.0,7.5,11.0,0.00631482,2,,,,,3.0,3.0,4.0,9.0,,,4.0,2.0,1.0,2.0,1.0,0.1194,,stephane_singo,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11391301,home,AS Monaco,Thilo Kehrer,thilo-kehrer,T. Kehrer,D,5,186,1925,M,281277,EUR,843264000,D,5,5,False,46.0,40.0,3.0,2.0,25.0,28.0,15.0,18.0,3.0,2.0,,,,,64.0,52.0,6.1,6.0,0.00644436,1,,,,,1.0,3.0,4.0,3.0,1.0,,,,,,2.0,0.0667,,,,,,,1.0,0.0411,,,,,,,,,,,,
11391301,home,AS Monaco,Ismail Jakobs,ismail-jakobs,I. Jakobs,D,4,184,7001,M,897291,EUR,934848000,D,14,14,False,34.0,22.0,5.0,,6.0,10.0,18.0,28.0,1.0,4.0,,,,,68.0,49.0,7.2,15.0,0.141048,1,,,,4.0,,3.0,1.0,5.0,,1.0,1.0,,,1.0,1.0,0.0706,1.0,ismaijakobs,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,
11391301,home,AS Monaco,Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185,6182,M,945062,EUR,915926400,M,19,19,False,45.0,31.0,9.0,4.0,10.0,11.0,21.0,36.0,2.0,3.0,,,,,90.0,57.0,6.8,17.0,0.031186,1,,,,2.0,2.0,,4.0,3.0,,,,,1.0,1.0,2.0,0.6355,,YFofana19_,1.0,,1.0,,,,,,2.0,2.0,1.0,,,,,,,
11391301,home,AS Monaco,Denis Zakaria,denis-zakaria,D. Zakaria,M,6,191,3221,M,770677,EUR,848448000,M,6,6,False,45.0,41.0,1.0,,28.0,31.0,13.0,14.0,2.0,6.0,,,,,90.0,53.0,6.7,5.0,0.0201035,0,,,,,,,4.0,1.0,2.0,,,,,,1.0,,,,,,4.0,,,,,,1.0,1.0,,1.0,,,,,,
11391301,home,AS Monaco,Maghnes Akliouche,maghnes-akliouche,M. Akliouche,M,11,183,5917,M,1130939,EUR,1014595200,M,21,21,False,41.0,32.0,1.0,1.0,2.0,5.0,31.0,38.0,1.0,5.0,,,,,87.0,60.0,7.8,12.0,0.0654648,1,,,,2.0,1.0,,5.0,8.0,2.0,,3.0,,1.0,5.0,1.0,0.1827,1.0,,,,,,1.0,0.41,,1.0,1.0,,,,1.0,,,,,
11391301,home,AS Monaco,Takumi Minamino,takumi-minamino,T. Minamino,M,18,174,8866,M,155818,EUR,790214400,M,18,18,False,28.0,24.0,,,5.0,6.0,19.0,22.0,,2.0,,,,,90.0,39.0,7.5,8.0,0.258412,1,,,,,,1.0,,5.0,,1.0,1.0,1.0,4.0,1.0,,0.0576,1.0,Minamino,,,,,,,,,2.0,2.0,,,,1.0,,,,
11391301,home,AS Monaco,Aleksandr Golovin,aleksandr-golovin,A. Golovin,M,10,180,8439,M,318963,EUR,833414400,M,17,17,False,36.0,35.0,4.0,3.0,16.0,16.0,20.0,27.0,2.0,3.0,,,,,90.0,56.0,7.6,9.0,0.175618,5,,,,7.0,,1.0,2.0,3.0,1.0,2.0,1.0,1.0,,1.0,,0.2442,1.0,alex_golovin17,,,1.0,,3.0,0.6146,,1.0,1.0,,,,,,,,,
11391301,home,AS Monaco,Wissam Ben Yedder,wissam-ben-yedder,W. Ben Yedder,F,35,170,5487,M,119192,EUR,650419200,F,10,10,False,17.0,13.0,1.0,1.0,2.0,4.0,11.0,13.0,,2.0,,,,,73.0,29.0,6.6,9.0,0.0629244,2,,,,,,2.0,4.0,4.0,,,,,3.0,1.0,2.0,0.6121,1.0,wisbenyedder,2.0,,,,,,,,2.0,1.0,1.0,1.0,,,True,,,
11391301,home,AS Monaco,Kassoum Ouattara,ouattara-kassoum,K. Ouattara,D,20,176,696,M,1397558,EUR,1097712000,D,20,20,True,5.0,2.0,3.0,,,1.0,2.0,6.0,,,,,,,22.0,11.0,6.6,6.0,0.00031086,0,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Folarin Balogun,folarin-balogun,F. Balogun,F,9,179,5047,M,934237,EUR,994118400,F,29,29,True,5.0,4.0,,,2.0,3.0,2.0,2.0,,1.0,,,,,17.0,14.0,6.4,6.0,0.00021502,1,,,,,,,4.0,2.0,,,,,2.0,2.0,1.0,0.0666,,balogun,1.0,,,,,,,,2.0,,,1.0,,,,,,
11391301,home,AS Monaco,Krépin Diatta,krepin-diatta,K. Diatta,M,27,173,13115,M,873534,EUR,919900800,M,27,27,True,7.0,6.0,1.0,,1.0,1.0,5.0,6.0,1.0,,,,,,12.0,10.0,6.7,2.0,0.0301771,0,,,,,,,,,,,,,,,,,1.0,krepindiatta,,,1.0,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Philipp Köhn,philipp-kohn,P. Köhn,G,16,191,698,M,868964,EUR,891475200,G,16,16,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Mohammed Salisu,mohammed-salisu,M. Salisu,D,22,188,5721,M,946158,EUR,924307200,D,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,salisu_sarki,,,,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Eliesse Ben Seghir,eliesse-ben-seghir,E. Ben Seghir,M,17,178,21668,M,1394353,EUR,1108512000,M,7,7,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,benseghir44,,,,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Mohamed Camara,camara-mohamed,M. Camara,M,4,175,3786,M,1008849,EUR,947116800,M,4,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,camara_mohamed6,,,,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Soungoutou Magassa,soungoutou-magassa,S. Magassa,M,27,188,1742,M,1170560,EUR,1065571200,M,88,88,True,,,,,,,,,,,,,,,,,,,,0,,Soungoutou Magassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391301,home,AS Monaco,Breel Embolo,breel-embolo,B. Embolo,F,7,185,4494,M,352296,EUR,855878400,F,36,36,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,breelembolo97,,,,,,,,,,,,,,,,,,
11391301,away,Stade Rennais,Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,792,M,27029,EUR,480816000,G,30,30,False,40.0,34.0,14.0,9.0,29.0,32.0,5.0,8.0,,9.0,1.0,1.0,4.0,,90.0,50.0,7.5,6.0,0.00122435,0,0.0657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
11391301,away,Stade Rennais,Alidu Seidu,alidu-seidu,A. Seidu,D,36,173,2225,M,1049515,EUR,960076800,D,36,36,False,28.0,23.0,1.0,,8.0,11.0,15.0,17.0,4.0,2.0,,,,,66.0,39.0,6.7,8.0,0.0123726,1,,Alidu Seidu,,,2.0,1.0,4.0,2.0,2.0,,1.0,1.0,2.0,,,0.2072,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
11391301,away,Stade Rennais,Christopher Wooh,christopher-wooh,C. Wooh,D,3,190,3805,M,930231,EUR,1000771200,D,4,4,False,35.0,28.0,4.0,1.0,23.0,26.0,5.0,9.0,,7.0,,,,,90.0,40.0,6.7,7.0,0.0163512,0,,,,,1.0,,4.0,2.0,1.0,,1.0,1.0,,1.0,2.0,,,chriswooh,,1.0,1.0,,,,,,,,,,,,,,,
