match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_crossNotClaimed,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,captain,stat_accurateLongBalls,stat_aerialLost,stat_duelLost,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_saves
10385697,home,Chelsea,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195,19994,M,edou_mendy,845074,EUR,699408000,G,16,16,False,16.0,15.0,1.0,15.0,16.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,23.0,5.5,1.0,0.0,0.0,2.843e-05,0,-1.7834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385697,home,Chelsea,Trevoh Chalobah,,,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,14,14,False,101.0,85.0,2.0,30.0,31.0,1.0,7.0,4.0,6.0,,,,,,,90.0,127.0,7.4,18.0,0.0,0.0,0.0403529,0,,56.0,72.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10385697,home,Chelsea,Thiago Silva,,,thiago-silva,T. Silva,D,3,181,42659,M,ThiagoSilva,33541,EUR,464659200,D,6,6,False,104.0,98.0,4.0,45.0,48.0,4.0,6.0,3.0,5.0,,,,,,,90.0,112.0,6.8,7.0,0.0,0.0,0.165143,0,,53.0,56.0,,,1.0,1.0,,,1.0,,,1.0,True,2.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,
10385697,home,Chelsea,Benoît Badiashile,,,benoit-badiashile,B. Badiashile,D,5,194,10555,M,badiashile,904827,EUR,985564800,D,4,4,False,97.0,90.0,10.0,46.0,50.0,4.0,6.0,3.0,9.0,,,,,,,90.0,111.0,6.7,11.0,0.0,0.0,0.0106783,0,,44.0,48.0,1.0,,,,,1.0,1.0,1.0,1.0,,,5.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,
10385697,home,Chelsea,Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4167,M,lewishall_10,1136730,EUR,1094601600,D,67,67,False,62.0,57.0,6.0,19.0,20.0,1.0,4.0,1.0,4.0,,,,,,,90.0,88.0,6.9,10.0,0.0639,0.0,0.136767,1,,40.0,46.0,4.0,2.0,1.0,1.0,,,1.0,,1.0,3.0,,5.0,2.0,5.0,2.0,,1.0,2.0,1.0,1.0,,,,,,,,
10385697,home,Chelsea,Mateo Kovačić,,,mateo-kovacic,M. Kovačić,M,8,178,33708,M,Kova8,136710,EUR,768182400,M,8,8,False,27.0,23.0,1.0,5.0,6.0,1.0,2.0,,2.0,,,,,,,45.0,29.0,6.4,5.0,0.0,0.0,0.030811,0,,18.0,21.0,,,,,,,1.0,1.0,,,,1.0,,3.0,,1.0,1.0,1.0,,,,,,,,,,
10385697,home,Chelsea,Enzo Fernández,,,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,5,5,False,109.0,97.0,18.0,30.0,31.0,1.0,3.0,,3.0,,,,,,,90.0,116.0,7.4,15.0,0.0499,0.0,0.428394,1,,67.0,79.0,1.0,,,,,,2.0,,,2.0,,14.0,2.0,4.0,1.0,1.0,1.0,,,,1.0,,,,,,,
10385697,home,Chelsea,Conor Gallagher,,,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,23,23,False,54.0,46.0,1.0,15.0,18.0,,6.0,1.0,7.0,,,,,,,90.0,71.0,6.6,15.0,0.1409,0.2196,0.0449863,3,,31.0,37.0,1.0,,4.0,2.0,,,1.0,1.0,3.0,,,1.0,1.0,10.0,1.0,4.0,2.0,1.0,,1.0,,2.0,,,,,,
10385697,home,Chelsea,Noni Madueke,,,noni-madueke,N. Madueke,M,20,182,40178,M,nonzinoo10,966547,EUR,1015718400,F,31,31,False,27.0,23.0,,11.0,12.0,1.0,9.0,2.0,2.0,,,,,,,73.0,52.0,6.5,13.0,0.0,0.0,0.0638057,0,,12.0,15.0,,,7.0,3.0,,,3.0,2.0,2.0,,,,,10.0,1.0,2.0,3.0,1.0,,,,,1.0,,,,,
10385697,home,Chelsea,João Félix,,,joao-felix,J. Félix,F,79,181,127180,M,JFélix,851671,EUR,942192000,F,11,11,False,21.0,18.0,2.0,7.0,7.0,,3.0,1.0,,,,,,,,73.0,35.0,6.4,8.0,0.295,0.1953,0.0123727,3,,11.0,14.0,,,1.0,,,,,,3.0,,,,2.0,3.0,3.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,
