match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wasFouled,captain,stat_totalClearance,stat_lastManTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_outfielderBlock,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_clearanceOffLine
11958585,home,Blackburn Rovers,Aynsley Pears,,,aynsley-pears,A. Pears,G,1,185.0,54,M,903166,EUR,893289600,G,1,1,False,23.0,20.0,3.0,20.0,22.0,1.0,14.0,1.0,1.0,4.0,1.0,1.0,90.0,38.0,7.1,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11958585,home,Blackburn Rovers,Joe Rankin-Costello,,,joe-rankin-costello,J. Rankin-Costello,D,26,183.0,69,M,905789,EUR,932947200,D,11,11,False,106.0,92.0,8.0,44.0,45.0,63.0,11.0,,,,,,83.0,121.0,7.1,16.0,0,4.0,49.0,2.0,1.0,3.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11958585,home,Blackburn Rovers,Dominic Hyam,,,dominic-hyam,D. Hyam,D,5,183.0,120,M,802719,EUR,819417600,D,5,5,False,103.0,99.0,10.0,77.0,77.0,26.0,10.0,,,,,,90.0,115.0,7.4,6.0,0,9.0,22.0,,,,1.0,2.0,5.0,1.0,,,1.0,3.0,1.0,True,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
11958585,home,Blackburn Rovers,Scott Wharton,,,scott-wharton,S. Wharton,D,16,182.0,40,M,845723,EUR,875836800,D,16,16,False,83.0,76.0,10.0,50.0,55.0,28.0,8.0,,,,,,90.0,91.0,7.0,8.0,0,9.0,26.0,,,3.0,5.0,3.0,6.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
11958585,home,Blackburn Rovers,Tyrhys Dolan,Tyrhys Dolan,,tyrhys-dolan,T. Dolan,M,24,170.0,698,M,1063015,EUR,1009497600,M,10,10,False,46.0,41.0,1.0,10.0,11.0,37.0,3.0,,,,,,65.0,61.0,6.6,13.0,0,,32.0,2.0,1.0,2.0,,8.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,
11958585,home,Blackburn Rovers,Jake Garrett,,,jake-garrett,J. Garrett,M,34,188.0,40,M,1014507,EUR,1047254400,M,30,30,False,44.0,40.0,,11.0,11.0,35.0,4.0,,,,,,65.0,55.0,6.9,7.0,2,,30.0,2.0,1.0,,,4.0,2.0,1.0,,,,2.0,,,,,,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,
11958585,home,Blackburn Rovers,Sondre Tronstad,,,sondre-tronstad,S. Trondstad,M,6,173.0,149,M,228374,EUR,809395200,M,6,6,False,89.0,83.0,6.0,28.0,29.0,60.0,6.0,,,,,,90.0,96.0,8.8,7.0,1,6.0,55.0,,,1.0,,3.0,2.0,1.0,,,1.0,2.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,
11958585,home,Blackburn Rovers,Arnór Sigurðsson,,,arnor-sigurdsson,A. Sigurðsson,M,8,177.0,376,M,841399,EUR,926726400,M,7,7,False,29.0,25.0,,4.0,5.0,26.0,3.0,,,,,,89.0,42.0,7.1,10.0,2,,21.0,2.0,,1.0,2.0,7.0,2.0,1.0,2.0,,,,,,,,,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,
11958585,home,Blackburn Rovers,Andrew Moran,,,moran-andrew,A. Moran,M,23,177.0,506,M,1005706,EUR,1066176000,F,24,24,False,80.0,72.0,1.0,19.0,20.0,63.0,5.0,,,,,,90.0,94.0,8.2,13.0,1,,54.0,3.0,1.0,,,1.0,6.0,,2.0,2.0,,2.0,2.0,,,,1.0,2.0,,1.0,6.0,1.0,,,,,,,,,,
11958585,home,Blackburn Rovers,Sammie Szmodics,,,sammie-szmodics,S. Szmodics,M,19,168.0,1164,M,354782,EUR,811900800,F,8,8,False,72.0,63.0,9.0,14.0,15.0,59.0,2.0,,,,,,90.0,88.0,9.6,13.0,8,7.0,49.0,2.0,,,,3.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,2.0,3.0,5.0,,,2.0,,1.0,1.0,,,
11958585,home,Blackburn Rovers,Sam Gallagher,,,sam-gallagher,S. Gallagher,F,20,193.0,137,M,362704,EUR,811123200,F,9,9,False,12.0,8.0,,,1.0,11.0,,,,,,,65.0,18.0,8.8,5.0,3,,8.0,,,1.0,2.0,1.0,3.0,,1.0,1.0,,,,,,,,1.0,,,3.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,
11958585,home,Blackburn Rovers,Ben Chrisene,,,ben-chrisene,B. Chrisene,D,14,183.0,149,M,992045,EUR,1073865600,D,45,45,True,13.0,11.0,,4.0,5.0,9.0,,,,,,,25.0,16.0,6.8,3.0,0,,7.0,1.0,,,1.0,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
11958585,home,Blackburn Rovers,Yasin Ayari,,,yasin-ayari,Y. Ayari,M,26,172.0,2679,M,1036269,EUR,1065398400,M,44,44,True,25.0,20.0,1.0,7.0,7.0,18.0,2.0,,,,,,25.0,30.0,6.8,8.0,0,1.0,13.0,,,,,2.0,1.0,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
11958585,home,Blackburn Rovers,Semir Telalović,,,semir-telalovic,S. Telalović,F,7,187.0,362,M,1129765,EUR,945907200,F,33,33,True,8.0,6.0,,,,8.0,1.0,,,,,,25.0,14.0,6.8,4.0,1,,6.0,,,,1.0,3.0,3.0,2.0,2.0,2.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,
11958585,home,Blackburn Rovers,Tom Atcheson,,,atcheson-tom,T. Atcheson,D,38,,27,M,1481356,EUR,1158883200,D,31,31,True,15.0,14.0,1.0,9.0,9.0,6.0,,,,,,,8.0,16.0,6.5,2.0,0,,5.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
