match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_bigChanceMissed,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox,stat_hitWoodwork,stat_goalAssist
11452950,home,Al-Hilal,Abdullah Al-Mayouf,abdullah-al-mayouf,A. Al-Mayouf,G,187,197,M,118159,EUR,538358400,G,1,1,False,True,17.0,15.0,3.0,1.0,14.0,15.0,1.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,90.0,23.0,6.5,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452950,home,Al-Hilal,Saud Abdulhamid,abdulhamid-saud,S. Abdulhamid,D,178,8457,M,966849,EUR,932256000,D,66,66,False,,45.0,41.0,2.0,2.0,7.0,8.0,35.0,40.0,1.0,2.0,,4.0,,,,76.0,62.0,7.0,8.0,0,,,23,s.abdulhamed66,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
11452950,home,Al-Hilal,Mohammed Jahfali,mohammed-jahfali,M. Jahfali,D,185,103,M,791561,EUR,656726400,D,70,70,False,,62.0,57.0,,,32.0,33.0,25.0,29.0,5.0,9.0,1.0,6.0,,,,90.0,72.0,7.6,5.0,2,,,70,,,,4.0,5.0,1.0,,3.0,2.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,
11452950,home,Al-Hilal,Ali Albulayhi,ali-albulayhi,A. Albulayhi,D,182,1057,M,1138857,EUR,627609600,D,5,5,False,,62.0,59.0,,,33.0,34.0,26.0,29.0,1.0,2.0,,6.0,,,,90.0,75.0,7.0,5.0,3,,,3,,1.0,,3.0,4.0,,,,,1.0,1.0,,,3.0,,,1.0,1.0,2.0,,,,,,,,
11452950,home,Al-Hilal,Nasser Al-Dawsari,nasser-al-dawsari,N. Al-Dawsari,M,178,1153,M,872607,EUR,914025600,D,16,16,False,,39.0,33.0,1.0,,6.0,7.0,27.0,33.0,,1.0,,3.0,,,,64.0,57.0,6.9,10.0,1,,,16,,1.0,,,2.0,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,
11452950,home,Al-Hilal,Rúben Neves,ruben-neves,R. Neves,M,181,15472,M,280955,EUR,858211200,M,8,8,False,,126.0,112.0,14.0,6.0,24.0,25.0,91.0,109.0,1.0,2.0,,8.0,,,,90.0,141.0,7.4,22.0,1,,,8,rubenneves,8.0,3.0,,2.0,1.0,,,,1.0,1.0,4.0,,1.0,,,,1.0,1.0,,,,,,,,
11452950,home,Al-Hilal,Sergej Milinković-Savić,sergej-milinkovic-savic,S. Milinković-Savić,M,191,13384,M,331447,EUR,793843200,M,22,22,False,,79.0,63.0,8.0,4.0,12.0,13.0,51.0,66.0,1.0,2.0,,4.0,,,,90.0,90.0,7.2,20.0,4,,,22,sms,,,2.0,9.0,1.0,2.0,1.0,,1.0,3.0,,,1.0,3.0,,,,,1.0,,,,,,,
11452950,home,Al-Hilal,Michael,michael,Michael,M,166,9025,M,878084,EUR,826588800,M,96,96,False,,25.0,21.0,,,4.0,4.0,17.0,22.0,,2.0,,2.0,,,,76.0,36.0,7.1,9.0,2,,,96,Michael19,1.0,,,3.0,,3.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,
11452950,home,Al-Hilal,Malcom,malcom,Malcom,M,171,13905,M,551772,EUR,856915200,M,77,77,False,,46.0,43.0,1.0,,2.0,2.0,41.0,44.0,,4.0,,4.0,,,,90.0,61.0,7.0,10.0,1,,,10,malcomoliveira_97,,,1.0,7.0,2.0,4.0,,,2.0,,3.0,,,,,,2.0,,2.0,2.0,1.0,2.0,,,,
11452950,home,Al-Hilal,Salem Al-Dawsari,salem-al-dawsari,S. Al-Dawsari,M,171,11126,M,160893,EUR,682560000,M,29,29,False,,60.0,48.0,1.0,1.0,4.0,4.0,45.0,62.0,,10.0,,6.0,,,,90.0,87.0,8.1,23.0,2,,,29,29salem,6.0,1.0,,4.0,,7.0,2.0,2.0,,,1.0,,2.0,,,1.0,3.0,,2.0,5.0,,,,,,
