match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_goals,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_lastManTackle
10411600,home,Empoli,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7123,M,guglielmovicario,553606,EUR,844646400,G,13,13,False,34.0,22.0,14.0,2.0,21.0,23.0,1.0,11.0,1.0,1.0,9.0,2.0,4.0,5.0,90.0,48.0,8.4,12.0,0.0,0.0,0.00064483,0,0.7823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411600,home,Empoli,Tyronne Ebuehi,tyronne-ebuehi,T. Ebuehi,D,24,187,664,M,,580512,EUR,819072000,D,24,24,False,36.0,31.0,3.0,3.0,17.0,19.0,14.0,18.0,2.0,2.0,3.0,,,,90.0,49.0,7.1,6.0,0.0,0.0,0.00766204,0,,,,1.0,3.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10411600,home,Empoli,Ardian Ismajli,ardian-ismajli,A. Ismajli,D,44,188,1151,M,,840414,EUR,844041600,D,34,34,False,44.0,35.0,8.0,3.0,28.0,31.0,7.0,13.0,3.0,5.0,5.0,,,,90.0,62.0,7.8,9.0,0.2051,0.1209,0.00122341,2,,,,,1.0,2.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10411600,home,Empoli,Sebastian Walukiewicz,sebastian-walukiewicz,S. Walukiewicz,D,6,188,2252,M,,886243,EUR,954892800,D,4,4,False,57.0,53.0,9.0,7.0,42.0,43.0,11.0,14.0,,,2.0,,,,90.0,66.0,7.5,4.0,0.0,0.0,0.00762757,0,,,,,1.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10411600,home,Empoli,Fabiano Parisi,fabiano-parisi,F. Parisi,D,65,178,788,M,,972886,EUR,973728000,D,65,65,False,51.0,35.0,7.0,,25.0,28.0,10.0,24.0,2.0,7.0,8.0,,,,90.0,83.0,7.6,27.0,0.9973,0.9981,0.105434,1,,,,1.0,,5.0,4.0,,,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,,,,,,,,
10411600,home,Empoli,Jean-Daniel Akpa Akpro,jean-daniel-akpa-akpro,J. A. Akpro,M,11,180,386,M,,164511,EUR,718761600,M,11,11,False,22.0,18.0,1.0,,5.0,6.0,13.0,16.0,3.0,8.0,4.0,,,,66.0,37.0,7.0,8.0,0.0,0.0,0.0174525,0,,,,,,1.0,,,,,,1.0,1.0,,,,4.0,3.0,,3.0,1.0,,,,,,,,,
10411600,home,Empoli,Alberto Grassi,alberto-grassi,A. Grassi,M,33,183,263,M,,186845,EUR,794534400,M,5,5,False,44.0,39.0,3.0,1.0,16.0,17.0,23.0,27.0,2.0,8.0,10.0,,,,66.0,60.0,7.8,7.0,0.1066,0.0868,0.0231903,1,,,,,2.0,5.0,2.0,1.0,,1.0,3.0,6.0,5.0,2.0,,,1.0,,,1.0,,1.0,,,,,,,,
10411600,home,Empoli,Filippo Bandinelli,filippo-bandinelli,F. Bandinelli,M,25,180,70,M,,812332,EUR,796435200,M,25,25,False,31.0,23.0,6.0,2.0,16.0,19.0,8.0,13.0,1.0,4.0,6.0,,,,77.0,50.0,6.4,15.0,0.0939,0.0,0.0429483,1,,,,1.0,,5.0,3.0,,,,,1.0,1.0,1.0,,4.0,1.0,1.0,,1.0,1.0,,True,1.0,1.0,,,,,
10411600,home,Empoli,Nedim Bajrami,nedim-bajrami,N. Bajrami,M,14,179,1671,M,,825861,EUR,920160000,M,10,10,False,44.0,35.0,3.0,1.0,14.0,17.0,23.0,31.0,,2.0,8.0,,,,90.0,63.0,7.4,14.0,0.2303,0.1374,0.228417,2,,,,4.0,1.0,3.0,1.0,,,1.0,1.0,,,,,1.0,2.0,1.0,,1.0,1.0,4.0,,2.0,1.0,1.0,,,,
10411600,home,Empoli,Sam Lammers,sam-lammers,S. Lammers,F,10,191,836,M,,804901,EUR,862358400,F,7,7,False,14.0,8.0,,,1.0,3.0,7.0,12.0,1.0,5.0,2.0,,,,45.0,30.0,6.8,13.0,0.0922,0.0,0.013734,1,,,,1.0,1.0,3.0,1.0,,1.0,,,4.0,1.0,,,1.0,1.0,,,4.0,,,,,,,1.0,,,
