match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,player_sofascoreId,stat_totalCross,stat_challengeLost,stat_fouls,stat_totalOffside,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_goals,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_goodHighClaim
12764220,home,Olympique Lyonnais,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3423,M,871290,EUR,881712000,G,23,23,False,40.0,28.0,16.0,4.0,0.0,25.0,27.0,3.0,13.0,5.0,7.0,1.0,2.0,2.0,1.0,1.0,90.0,51.0,7.2,12.0,0.00101437,0,0.5563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764220,home,Olympique Lyonnais,Ainsley Maitland-Niles,,,ainsley-maitland-niles,A. Maitland-Niles,D,98,178,1581,M,352768,EUR,872812800,D,98,98,False,70.0,64.0,2.0,1.0,1.0,34.0,37.0,30.0,33.0,1.0,5.0,,,,,,90.0,84.0,7.7,7.0,0.0672899,2,,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.1265,1.0,,,,,,,,,,,,,,,,,,,
12764220,home,Olympique Lyonnais,Clinton Mata,,,clinton-mata,C. Mata,D,22,180,1322,M,152813,EUR,721094400,D,22,22,False,66.0,59.0,11.0,4.0,0.0,42.0,45.0,17.0,21.0,3.0,4.0,,,,,,90.0,78.0,7.2,10.0,0.034728,0,,1.0,1.0,1.0,3.0,,,3.0,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,
12764220,home,Olympique Lyonnais,Duje Ćaleta-Car,,,duje-caleta-car,D. Ćaleta-Car,D,16,192,2901,M,257091,EUR,842918400,D,55,55,False,63.0,56.0,8.0,4.0,0.0,41.0,45.0,15.0,18.0,6.0,4.0,,,,,,90.0,78.0,7.8,7.0,0.00879736,0,,1.0,5.0,1.0,7.0,,,,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
12764220,home,Olympique Lyonnais,Nicolás Tagliafico,,,nicolas-tagliafico,N. Tagliafico,D,3,172,10913,M,158243,EUR,715219200,D,3,3,False,63.0,53.0,2.0,,0.0,24.0,29.0,29.0,35.0,1.0,5.0,,,,,,90.0,83.0,7.0,13.0,0.0608973,0,,2.0,1.0,5.0,5.0,,,2.0,3.0,1.0,,1.0,,,,,,,tagliafico3,1.0,1.0,2.0,1.0,,,,,,,,,,
12764220,home,Olympique Lyonnais,Corentin Tolisso,,,corentin-tolisso,C. Tolisso,M,8,181,3276,M,343067,EUR,775872000,M,8,8,False,71.0,65.0,6.0,6.0,0.0,29.0,30.0,36.0,42.0,2.0,7.0,,,,,,90.0,93.0,7.2,11.0,0.069297,4,,7.0,2.0,13.0,4.0,,1.0,3.0,1.0,1.0,1.0,1.0,0.6446,,,,,,,1.0,2.0,2.0,,3.0,1.0,3.0,0.4588,,,,,,
12764220,home,Olympique Lyonnais,Nemanja Matić,,,nemanja-matic,N. Matić,M,18,194,3555,M,44241,EUR,586396800,M,31,31,False,65.0,55.0,6.0,5.0,0.0,23.0,25.0,32.0,40.0,,6.0,,,,,,68.0,80.0,7.0,17.0,0.104769,0,,1.0,,6.0,3.0,,,,2.0,2.0,3.0,,,1.0,3.0,1.0,,,Mati,,,1.0,,2.0,,,,,,,,,
12764220,home,Olympique Lyonnais,Ernest Nuamah,Ernest Nuamah,,ernest-nuamah,E. Nuamah,F,37,178,6855,M,1202024,EUR,1067644800,M,37,37,False,25.0,23.0,1.0,1.0,0.0,4.0,4.0,19.0,26.0,,2.0,,,,,,81.0,43.0,7.3,11.0,0.206692,2,,,,4.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.1498,2.0,2.0,,,,nana_nuamah10,5.0,1.0,,,1.0,,1.0,0.0313,,,,,,
12764220,home,Olympique Lyonnais,Rayan Cherki,,,cherki-rayan,R. Cherki,M,10,176,77290,M,979128,EUR,1061078400,M,18,18,False,46.0,40.0,1.0,1.0,0.0,10.0,10.0,31.0,41.0,,3.0,,,,,,68.0,65.0,8.4,13.0,0.402767,2,,,,2.0,4.0,,1.0,,,,1.0,,0.0721,5.0,5.0,4.0,,,rayan_cherki,5.0,1.0,,2.0,,,1.0,0.2768,1.0,1.0,,,,
12764220,home,Olympique Lyonnais,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169,6193,M,1195784,EUR,1112227200,M,11,11,False,27.0,22.0,1.0,1.0,0.0,6.0,7.0,16.0,22.0,,2.0,,,,,,67.0,45.0,6.9,13.0,0.0392739,1,,1.0,,3.0,4.0,,1.0,1.0,,,3.0,4.0,0.1367,,1.0,,,,,2.0,,,,1.0,,,,,,,,,
