match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_challengeLost,stat_wonTackle,stat_totalContest,stat_wonContest,stat_totalOffside,stat_outfielderBlock,stat_savedShotsFromInsideTheBox,stat_errorLeadToAGoal
12765118,home,NK Celje,Matjaž Rozman,matjaz-rozman,M. Rozman,G,22,192.0,18,M,41236,EUR,536630400,G,22,22,False,True,22.0,20.0,2.0,1.0,0.0,20.0,21.0,1.0,1.0,3.0,1.0,1.0,90.0,27.0,6.2,2.0,8.766e-05,0,-1.4025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765118,home,NK Celje,Juanjo Nieto,juanjo-nieto,J. Nieto,D,2,175.0,74,M,868329,EUR,781142400,D,2,2,False,,56.0,51.0,3.0,2.0,0.0,12.0,14.0,47.0,1.0,3.0,,,90.0,75.0,7.6,10.0,0.766834,2,,42.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.4901,8.0,,,,,,,,,,,,,,,,,,,
12765118,home,NK Celje,David Zec,zec-david,D. Zec,D,26,185.0,264,M,887911,EUR,947030400,D,6,6,False,,100.0,93.0,10.0,6.0,0.0,42.0,44.0,56.0,3.0,5.0,,,90.0,115.0,7.7,9.0,0.0328828,1,,51.0,,,5.0,9.0,,,,1.0,4.0,2.0,0.9827,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.9951,,,,,,,,,,,
12765118,home,NK Celje,Klemen Nemanič,klemen-nemanic,K. Nemanič,D,81,194.0,54,M,822439,EUR,847324800,D,81,81,False,,37.0,35.0,1.0,1.0,0.0,19.0,20.0,17.0,3.0,1.0,,,45.0,43.0,6.4,3.0,0.005414,0,,16.0,,,1.0,,,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
12765118,home,NK Celje,Žan Karničnik,zan-karnicnik,Ž. Karničnik,D,23,178.0,419,M,896421,EUR,779846400,D,23,23,False,,52.0,45.0,3.0,2.0,0.0,18.0,22.0,30.0,,8.0,,,90.0,70.0,6.4,9.0,0.138135,2,,27.0,,,5.0,2.0,,,1.0,,,2.0,0.0989,1.0,1.0,2.0,2.0,,,2.0,,,1.0,,,,,,,,,,
12765118,home,NK Celje,Marco Dulca,marco-dulca,M. Dulca,M,88,184.0,78,M,920622,EUR,926380800,M,4,4,False,,24.0,22.0,,,0.0,13.0,13.0,11.0,1.0,3.0,,,45.0,30.0,6.5,2.0,0.00705299,0,,9.0,,,3.0,3.0,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,,,Marco,Dulca,2.0,1.0,,,,,,
12765118,home,NK Celje,Svit Sešlar,svit-seslar,S. Sešlar,M,10,185.0,669,M,946291,EUR,1010534400,M,11,11,False,,77.0,65.0,6.0,4.0,2.0,13.0,13.0,68.0,,5.0,,,90.0,105.0,8.5,25.0,0.610337,4,,53.0,4.0,1.0,7.0,4.0,2.0,1.0,,4.0,1.0,,0.6193,5.0,1.0,1.0,4.0,2.0,,,1.0,0.1206,2.0,,,1.0,1.0,2.0,1.0,,,,
12765118,home,NK Celje,Clement Lhernault,clement-lhernault,C. Lhernault,M,88,176.0,30,M,1513253,EUR,1045094400,M,5,5,False,,26.0,23.0,2.0,2.0,0.0,9.0,9.0,17.0,,3.0,,,45.0,30.0,6.6,5.0,0.00910564,0,,14.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,
12765118,home,NK Celje,Tamar Svetlin,tamar-svetlin,T. Svetlin,M,88,175.0,177,M,959616,EUR,996451200,M,88,88,False,,22.0,19.0,,,0.0,5.0,5.0,18.0,,3.0,,,74.0,34.0,6.5,8.0,0.0669076,2,,14.0,1.0,,4.0,3.0,,,1.0,1.0,2.0,,0.0435,,,,2.0,,,,1.0,,1.0,,,2.0,,,,,,,
12765118,home,NK Celje,Mark Zabukovnik,mark-zabukovnik,M. Zabukovnik,M,19,185.0,63,M,1001902,EUR,977875200,M,19,19,False,,52.0,42.0,2.0,1.0,0.0,6.0,8.0,44.0,,6.0,,,90.0,62.0,7.2,13.0,0.431028,1,,36.0,,,4.0,4.0,1.0,,,1.0,1.0,1.0,0.0415,2.0,,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,,,
