match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_aerialLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_totalCross,stat_dispossessed,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_lastManTackle,stat_hitWoodwork
11352623,home,Sheffield United,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,13,13,False,26.0,12.0,22.0,8.0,5.0,5.0,7.0,21.0,1.0,1.0,1.0,12.0,4.0,6.0,1.0,90.0,37.0,7.1,14.0,0.00085523,0,-1.4628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352623,home,Sheffield United,Mason Holgate,,,mason-holgate,M. Holgate,D,3,187,413,M,781544,EUR,845942400,D,30,30,False,17.0,10.0,5.0,1.0,7.0,9.0,3.0,8.0,4.0,7.0,11.0,2.0,,,,90.0,43.0,6.6,11.0,0.00097089,0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11352623,home,Sheffield United,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1549,M,825899,EUR,922406400,D,15,15,False,17.0,14.0,6.0,4.0,8.0,8.0,6.0,9.0,3.0,7.0,9.0,2.0,,,,90.0,36.0,7.3,5.0,0.00346627,1,,2.0,,4.0,3.0,2.0,,1.0,1.0,1.0,1.0,0.0247,0.0412,1.0,,,,,,,,,,,,,,,,,
11352623,home,Sheffield United,Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,148,M,98454,EUR,746841600,D,19,19,False,26.0,15.0,9.0,3.0,9.0,12.0,6.0,14.0,2.0,5.0,5.0,2.0,,,,90.0,41.0,6.7,12.0,0.0131194,0,,3.0,,1.0,,,2.0,,1.0,,2.0,,,1.0,True,2.0,,,,,,,,,,,,,,,
11352623,home,Sheffield United,Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,805,M,929132,EUR,964656000,M,20,20,False,11.0,9.0,2.0,1.0,3.0,3.0,6.0,8.0,2.0,4.0,1.0,1.0,,,,90.0,23.0,6.7,3.0,0.0104706,2,,2.0,1.0,1.0,,1.0,,2.0,,,,0.0749,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
11352623,home,Sheffield United,Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,21,21,False,16.0,10.0,2.0,1.0,6.0,8.0,4.0,8.0,,3.0,3.0,1.0,,,,85.0,28.0,6.6,7.0,0.00090445,0,,5.0,,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,
11352623,home,Sheffield United,Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180,217,M,1191153,EUR,1073520000,M,24,24,False,20.0,15.0,4.0,2.0,9.0,11.0,6.0,10.0,,4.0,,8.0,,,,85.0,31.0,7.1,7.0,0.0114122,0,,2.0,,2.0,2.0,,1.0,,,,2.0,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,
11352623,home,Sheffield United,Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1011,M,837495,EUR,867110400,M,8,8,False,17.0,9.0,1.0,,5.0,5.0,5.0,15.0,,2.0,,2.0,,,,90.0,29.0,7.1,11.0,0.414201,2,,3.0,2.0,,,,1.0,1.0,,,,0.0632,,2.0,,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,
11352623,home,Sheffield United,Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,72,M,282665,EUR,776044800,M,23,23,False,19.0,13.0,5.0,1.0,8.0,10.0,6.0,13.0,1.0,6.0,3.0,6.0,,,,86.0,38.0,6.9,10.0,0.0176965,0,,5.0,2.0,3.0,2.0,,2.0,,1.0,,,,,,,4.0,,,,,,4.0,,,1.0,,,,,,
11352623,home,Sheffield United,Oliver McBurnie,,,oliver-mcburnie,O. McBurnie,F,9,188,1008,M,367228,EUR,833846400,F,9,9,False,24.0,12.0,,,3.0,3.0,10.0,22.0,8.0,10.0,2.0,3.0,,,,89.0,39.0,8.3,17.0,0.413942,1,,13.0,,2.0,1.0,2.0,,2.0,1.0,1.0,,0.6972,0.2309,2.0,,8.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
