match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_totalCross,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated
11352583,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,19.0,19.0,3.0,3.0,19.0,19.0,6.0,1.0,2.0,2.0,90.0,27.0,7.3,0.00015949,0,0.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352583,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,62.0,57.0,5.0,3.0,19.0,19.0,2.0,,,,68.0,73.0,6.8,0.0176025,2,,,,True,38.0,43.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,0.0316,,,,,,,,,,,,,,,,,,
11352583,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,138.0,131.0,9.0,7.0,40.0,42.0,5.0,,,,90.0,144.0,7.8,0.0451039,0,,,,,91.0,96.0,,3.0,2.0,3.0,,,,2.0,,1.0,7.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
11352583,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21292,M,nathanake,149663,EUR,793065600,D,6,6,False,110.0,108.0,2.0,2.0,44.0,44.0,7.0,,,,90.0,119.0,7.7,0.0282183,3,,,,,64.0,66.0,2.0,3.0,2.0,5.0,,2.0,1.0,4.0,,,2.0,0.2749,,,,2.0,,,,,,,,,,,,,,
11352583,home,Manchester City,Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50085,M,JGvardiol,964994,EUR,1011744000,D,24,24,False,87.0,83.0,1.0,1.0,14.0,15.0,3.0,,,,90.0,103.0,7.5,0.10184,0,,,,,69.0,74.0,,,4.0,1.0,2.0,,,,1.0,1.0,10.0,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
11352583,home,Manchester City,Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,33708,M,Kova8,136710,EUR,768182400,M,8,8,False,99.0,93.0,3.0,3.0,22.0,24.0,2.0,,,,68.0,104.0,7.4,0.062109,0,,,,,71.0,75.0,,1.0,1.0,4.0,,,,1.0,,1.0,6.0,,,,,,,,3.0,2.0,1.0,,,,,,,,,
11352583,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,169.0,157.0,16.0,13.0,39.0,39.0,8.0,,,,90.0,180.0,8.9,0.376643,4,,,,,118.0,130.0,1.0,,2.0,2.0,,2.0,1.0,1.0,,,12.0,0.1926,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.3169,,,,
11352583,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,M,20,20,False,73.0,69.0,1.0,1.0,20.0,20.0,4.0,,,,90.0,87.0,7.3,0.104417,1,,,,,50.0,55.0,,,4.0,4.0,3.0,,,,2.0,,11.0,0.2206,1.0,,,,2.0,2.0,2.0,1.0,3.0,2.0,1.0,,,0.8723,1.0,1.0,,
11352583,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,M,47,47,False,85.0,83.0,6.0,6.0,16.0,16.0,1.0,,,,90.0,101.0,9.3,0.930116,3,,,,,68.0,71.0,,,3.0,2.0,,,2.0,,1.0,,7.0,0.1616,,,,,2.0,5.0,,,6.0,2.0,1.0,,,0.2113,1.0,,2.0,2.0
11352583,home,Manchester City,Jack Grealish,jack-grealish,J. Grealish,M,18,180,58418,M,JGrealish,189061,EUR,810691200,M,10,10,False,28.0,20.0,,,1.0,2.0,2.0,,,,52.0,34.0,6.9,0.035798,0,,,,,19.0,29.0,,,2.0,2.0,1.0,,,,,,12.0,,1.0,,,2.0,3.0,,,,2.0,,,,,,,,,
11352583,home,Manchester City,Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,224894,M,LaAraña,944656,EUR,949276800,F,19,19,False,41.0,40.0,,,2.0,2.0,1.0,,,,90.0,52.0,8.0,0.0590518,4,,,,,38.0,43.0,1.0,2.0,1.0,2.0,,3.0,,,,,5.0,1.191,,,,1.0,4.0,,,,,,1.0,1.0,,0.9822,,,,
