match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,captain,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_wasFouled,stat_totalOffside,stat_blockedScoringAttempt,stat_outfielderBlock,stat_bigChanceMissed,stat_accurateCross,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_errorLeadToAShot,stat_bigChanceCreated
13080875,home,Solihull Moors,Laurie Walker,,,laurie-walker,L. Walker,G,1,196.0,7,M,860501,EUR,624326400,G,1,1,False,19.0,6.0,14.0,2.0,0.0,5.0,6.0,1.0,13.0,3.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,90.0,26.0,6.3,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,
13080875,home,Solihull Moors,Marcel Oakley,,,marcel-oakley,M. Oakley,D,,180.0,14,M,1020642,EUR,1035936000,D,12,12,False,53.0,45.0,3.0,1.0,1.0,16.0,17.0,29.0,37.0,,7.0,,1.0,,2.0,,,90.0,81.0,6.3,20.0,0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,
13080875,home,Solihull Moors,Kyle Morrison,Kyle Morrison,,kyle-morrison,K. Morrison,D,5,183.0,2,M,1423917,EUR,826848000,D,6,6,False,56.0,47.0,9.0,6.0,0.0,26.0,28.0,21.0,28.0,3.0,2.0,4.0,1.0,4.0,1.0,,,90.0,63.0,6.6,10.0,0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
13080875,home,Solihull Moors,Alex Whitmore,,,alex-whitmore,A. Whitmore,D,5,180.0,6,M,827131,EUR,810432000,D,5,5,False,49.0,39.0,13.0,7.0,0.0,24.0,29.0,15.0,20.0,3.0,3.0,4.0,,2.0,7.0,,,90.0,53.0,6.5,11.0,0,,,,,,,1.0,,True,3.0,1.0,,,,,,,,,,,,,
13080875,home,Solihull Moors,Finn Howell,,,finn-howell,F. Howell,D,23,185.0,4,M,1472982,EUR,1107993600,D,23,23,False,31.0,26.0,5.0,1.0,0.0,12.0,14.0,14.0,17.0,1.0,5.0,3.0,1.0,,5.0,,,79.0,49.0,6.3,7.0,0,,,2.0,3.0,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,
13080875,home,Solihull Moors,Oliver Tipton,Oliver Tipton,,oliver-tipton,O. Tipton,M,16,191.0,18,M,1067993,EUR,1064188800,M,16,16,False,30.0,23.0,5.0,2.0,0.0,5.0,8.0,18.0,22.0,1.0,3.0,2.0,1.0,,2.0,,,77.0,36.0,6.4,9.0,1,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
13080875,home,Solihull Moors,Sam Bowen,,,sam-bowen,S. Bowen,M,8,180.0,16,M,1005892,EUR,979430400,M,8,8,False,41.0,37.0,3.0,1.0,0.0,9.0,9.0,28.0,34.0,,8.0,3.0,1.0,1.0,1.0,,,86.0,55.0,6.7,11.0,0,2.0,3.0,,1.0,1.0,1.0,,,,3.0,3.0,3.0,,,,,,,,,,,,
13080875,home,Solihull Moors,Michael Adu-Poku,Michael Adu-Poku,,michael-adu-poku,M. Adu-Poku,M,12,,37,M,1461596,EUR,1127347200,M,28,28,False,23.0,17.0,1.0,,0.0,2.0,4.0,15.0,22.0,2.0,13.0,7.0,,,4.0,,,90.0,45.0,6.3,19.0,1,3.0,8.0,5.0,,1.0,1.0,2.0,4.0,,3.0,1.0,1.0,,,2.0,1.0,,,,,,,,
13080875,home,Solihull Moors,John Bostock,John,Bostock,john-bostock,J. Bostock,M,15,188.0,56,M,31483,EUR,695433600,M,15,15,False,98.0,87.0,11.0,8.0,0.0,41.0,46.0,46.0,55.0,2.0,2.0,4.0,,,11.0,,,90.0,115.0,7.3,16.0,1,3.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,
13080875,home,Solihull Moors,James Gale,James Gale,,james-gale,J. Gale,F,19,192.0,31,M,1148514,EUR,1008806400,M,18,18,False,13.0,6.0,2.0,,0.0,2.0,3.0,4.0,10.0,,8.0,4.0,,1.0,3.0,,,90.0,28.0,6.2,12.0,1,,3.0,3.0,1.0,1.0,2.0,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,
