match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_dispossessed,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_expectedGoals,stat_accurateCross,stat_shotOffTarget,stat_wasFouled,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_goalAssist,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside
11406911,home,Udinese,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197,2162,M,891656,EUR,935798400,G,40,40,False,14.0,7.0,12.0,5.0,2.0,4.0,5.0,10.0,2.0,2.0,2.0,1.0,8.0,3.0,4.0,2.0,90.0,23.0,7.0,7.0,0.00230053,0,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406911,home,Udinese,João Ferreira,,,joao-ferreira,J. Ferreira,D,13,185,384,M,976401,EUR,985219200,D,13,13,False,15.0,10.0,4.0,2.0,5.0,7.0,5.0,9.0,1.0,4.0,2.0,,3.0,,,,90.0,30.0,6.5,7.0,0.00422368,0,,1.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11406911,home,Udinese,Nehuén Pérez,,,nehuen-perez,N. Pérez,D,18,184,3369,M,913401,EUR,961804800,D,18,18,False,16.0,14.0,3.0,1.0,9.0,9.0,5.0,7.0,1.0,1.0,8.0,1.0,2.0,,,,90.0,27.0,6.5,2.0,0.00716929,0,,,4.0,4.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11406911,home,Udinese,Thomas Kristensen,Thomas Kristensen,,thomas-kristensen,T. Kristensen,D,31,197,904,M,1063373,EUR,1011225600,D,31,31,False,16.0,11.0,5.0,3.0,6.0,10.0,5.0,6.0,3.0,5.0,8.0,2.0,2.0,,,,90.0,39.0,6.7,10.0,0.0150688,0,,,1.0,3.0,1.0,,,1.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11406911,home,Udinese,Festy Ebosele,,,festy-ebosele,F. Ebosele,D,36,180,593,M,983059,EUR,1028246400,M,2,2,False,11.0,9.0,1.0,1.0,3.0,3.0,6.0,8.0,,2.0,,,2.0,,,,60.0,25.0,6.3,8.0,0.00532994,1,,,,4.0,,4.0,2.0,,,,2.0,,,3.0,1.0,0.0209,,,,,,,,,,,,,,,,,
11406911,home,Udinese,Sandi Lovrić,,,sandi-lovric,S. Lovrić,M,4,180,807,M,575852,EUR,891043200,M,4,4,False,38.0,25.0,2.0,1.0,9.0,11.0,17.0,29.0,1.0,3.0,1.0,1.0,11.0,,,,90.0,51.0,6.7,18.0,0.0400318,1,,2.0,,4.0,2.0,,,,2.0,1.0,1.0,2.0,1.0,3.0,,0.0194,1.0,1.0,,,,,,,,,,,,,,,
11406911,home,Udinese,Walace,,,walace,Walace,M,5,188,1455,M,553686,EUR,796953600,M,11,11,False,28.0,18.0,8.0,2.0,6.0,7.0,12.0,21.0,1.0,8.0,3.0,2.0,13.0,,,,90.0,52.0,6.7,16.0,0.00883313,0,,,1.0,8.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,
11406911,home,Udinese,Lazar Samardžić,,,lazar-samardzic,L. Samardžić,M,10,183,4807,M,980624,EUR,1014508800,M,24,24,False,14.0,10.0,,,4.0,8.0,7.0,8.0,,4.0,,1.0,5.0,,,,60.0,27.0,7.4,8.0,0.0551182,2,,2.0,1.0,3.0,,4.0,3.0,,1.0,,1.0,1.0,,2.0,,0.1423,1.0,1.0,,lakisamar10,1.0,1.0,0.2803,,,,,,,,,,
11406911,home,Udinese,Hassane Kamara,,,hassane-kamara,H. Kamara,M,11,168,1023,M,351434,EUR,762825600,M,12,12,False,16.0,11.0,2.0,,6.0,8.0,6.0,11.0,,4.0,2.0,2.0,10.0,,,,84.0,44.0,7.1,12.0,0.0708054,2,,3.0,,5.0,,3.0,2.0,,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0367,1.0,,,,1.0,,0.2233,,,,,,,,,,
11406911,home,Udinese,Roberto Pereyra,,,roberto-pereyra,R. Pereyra,M,37,184,1199,M,122701,EUR,663206400,F,37,37,False,18.0,9.0,3.0,,3.0,6.0,6.0,12.0,,,,,2.0,,,,45.0,23.0,6.3,12.0,0.0111448,0,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,True,,,,,,,,,
