match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_fouls,player_firstName,player_lastName,captain,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAShot
11452991,home,Al-Ittihad,Marcelo Grohe,marcelo-grohe,M. Grohe,G,43,188,626,M,39427,EUR,537494400,G,34,34,False,17.0,12.0,6.0,1.0,11.0,13.0,1.0,4.0,1.0,2.0,1.0,2.0,90.0,22.0,6.7,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452991,home,Al-Ittihad,Luiz Felipe,luiz-felipe,L. Felipe,D,5,187,1042,M,850035,EUR,858988800,D,5,5,False,65.0,61.0,3.0,3.0,37.0,40.0,24.0,25.0,3.0,2.0,,,90.0,73.0,6.9,4.0,1,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11452991,home,Al-Ittihad,Ahmed Sharahili,ahmed-sharahili,A. Sharahili,D,20,184,296,M,794331,EUR,768355200,D,20,20,False,67.0,63.0,4.0,3.0,45.0,48.0,18.0,19.0,1.0,12.0,,,74.0,76.0,7.1,5.0,1,,2.0,,3.0,,,,,,,True,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,
11452991,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179,398,M,847235,EUR,712627200,D,15,15,False,56.0,55.0,3.0,2.0,39.0,39.0,16.0,17.0,1.0,6.0,,,90.0,67.0,6.5,2.0,0,,,4.0,1.0,1.0,,,2.0,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,
11452991,home,Al-Ittihad,Madallah Al-Olayan,madallah-al-olayan,M. Al-Olayan,D,33,170,81,M,818813,EUR,777772800,M,33,33,False,58.0,53.0,3.0,,18.0,19.0,37.0,46.0,2.0,9.0,,,90.0,87.0,6.9,15.0,1,,,4.0,4.0,2.0,,2.0,,,,,3.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,,,,,,,,,,
11452991,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187,9249,M,243585,EUR,751334400,M,8,8,False,78.0,71.0,7.0,4.0,36.0,37.0,37.0,45.0,,10.0,,,90.0,93.0,7.7,12.0,0,,,2.0,3.0,,,3.0,2.0,,,,,,,1.0,,4.0,2.0,2.0,2.0,4.0,Fabinho,,,,,,,,,
11452991,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169,44806,M,234148,EUR,670204800,M,7,7,False,76.0,68.0,1.0,,32.0,33.0,36.0,43.0,,8.0,,,90.0,103.0,9.1,17.0,1,,,7.0,9.0,1.0,,5.0,,,,,8.0,3.0,,1.0,1.0,,,2.0,1.0,3.0,nglkante,1.0,1.0,1.0,1.0,1.0,1.0,,,
11452991,home,Al-Ittihad,Romarinho,romarinho,Romarinho,M,,176,1742,M,797619,EUR,660960000,M,90,90,False,39.0,33.0,1.0,1.0,10.0,10.0,23.0,31.0,,5.0,,,89.0,67.0,7.7,14.0,6,1.0,,7.0,8.0,,2.0,2.0,2.0,,,,6.0,3.0,3.0,1.0,3.0,2.0,,1.0,2.0,2.0,,,1.0,,1.0,1.0,,1.0,,
11452991,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173,417,M,894437,EUR,921196800,M,13,13,False,26.0,19.0,1.0,,9.0,11.0,10.0,15.0,,5.0,,,73.0,43.0,6.4,11.0,1,1.0,,7.0,4.0,1.0,,,1.0,,,,4.0,2.0,1.0,2.0,2.0,,,,,,,,2.0,,,,1.0,,,
11452991,home,Al-Ittihad,Haroune Camara,haroune-camara,H. Camara,F,70,187,2967,M,926730,EUR,883612800,F,70,70,False,10.0,8.0,,,2.0,2.0,6.0,9.0,,3.0,,,73.0,24.0,7.0,6.0,2,,1.0,4.0,4.0,1.0,,2.0,1.0,,,,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,
11452991,home,Al-Ittihad,Marwan Alsahafi,alsahafi-marwan,M. Alsahafi,F,9,179,1132,M,1474689,EUR,1076976000,F,17,17,False,19.0,17.0,,,1.0,1.0,16.0,20.0,,1.0,,,59.0,34.0,6.8,9.0,2,,1.0,6.0,5.0,3.0,,1.0,1.0,,,,4.0,2.0,1.0,,1.0,2.0,,,3.0,,,,,,1.0,,1.0,,,
11452991,home,Al-Ittihad,Saleh Al-Amri,saleh-al-amri,S. Al-Amri,M,93,176,147,M,791578,EUR,750556800,F,77,77,True,16.0,13.0,1.0,,6.0,8.0,8.0,12.0,,1.0,,,31.0,29.0,6.6,9.0,0,,,2.0,1.0,,,1.0,1.0,,,,,,,,,4.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,
