match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalClearance,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_keyPass,stat_goalAssist,stat_totalOffside,captain,stat_goals,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,player_sofascoreId,stat_bigChanceMissed
10388365,home,FC Schalke 04,Alexander Schwolow,alexander-schwolow,A. Schwolow,G,25,189,159,M,134778,EUR,707443200,G,13,13,False,34.0,23.0,21.0,10.0,20.0,22.0,3.0,12.0,4.0,1.0,1.0,1.0,90.0,37.0,5.4,11.0,0.0,0.0,0.0249473,0,-1.3863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388365,home,FC Schalke 04,Cédric Brunner,cedric-brunner,C. Brunner,D,26,179,95,M,330689,EUR,761443200,D,27,27,False,33.0,23.0,7.0,5.0,13.0,16.0,11.0,21.0,5.0,,,,90.0,62.0,6.6,17.0,0.0,0.0,0.0840817,0,,Cédric,Brunner,4.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10388365,home,FC Schalke 04,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2107,M,924378,EUR,1008806400,D,5,5,False,53.0,46.0,7.0,4.0,34.0,36.0,12.0,17.0,9.0,,,,90.0,62.0,6.7,8.0,0.0,0.0,0.0112987,0,,,,,,1.0,1.0,2.0,1.0,,,,4.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
10388365,home,FC Schalke 04,Moritz Jenz,jenz-moritz,M. Jenz,D,15,190,340,M,920525,EUR,925430400,D,25,25,False,45.0,30.0,8.0,2.0,20.0,23.0,10.0,22.0,1.0,,,,90.0,60.0,6.6,17.0,0.0961,0.0673,0.00302883,2,,,,,,1.0,4.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10388365,home,FC Schalke 04,Henning Matriciani,henning-matriciani,H. Matriciani,D,41,185,146,M,962577,EUR,952992000,D,41,41,False,31.0,23.0,4.0,2.0,11.0,16.0,12.0,15.0,11.0,,,,90.0,72.0,7.0,22.0,0.0,0.0,0.0247298,0,,,,,,1.0,8.0,8.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,
10388365,home,FC Schalke 04,Alex Král,alex-kral,A. Král,M,33,185,619,M,825740,EUR,895536000,M,30,30,False,23.0,18.0,4.0,2.0,5.0,6.0,13.0,17.0,6.0,,,,90.0,35.0,6.7,8.0,0.0699,0.0,0.28093,2,,,,,,2.0,2.0,5.0,,,4.0,3.0,1.0,,,,,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,
10388365,home,FC Schalke 04,Tom Krauß,tom-krauss,T. Krauß,M,5,182,398,M,930272,EUR,993168000,M,6,6,False,17.0,7.0,2.0,,4.0,7.0,3.0,10.0,3.0,,,,65.0,29.0,6.2,12.0,0.0404,0.0,0.00250714,1,,,,,,,4.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,
10388365,home,FC Schalke 04,Tim Skarke,tim-skarke,T. Skarke,M,21,179,194,M,800252,EUR,842054400,M,20,20,False,17.0,14.0,,,5.0,6.0,9.0,11.0,2.0,,,,55.0,29.0,6.5,6.0,0.0,0.0,0.0234854,0,,,,,,,3.0,4.0,,1.0,1.0,,,3.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
10388365,home,FC Schalke 04,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2797,M,966575,EUR,934416000,M,10,10,False,20.0,13.0,2.0,1.0,4.0,6.0,13.0,26.0,5.0,,,,77.0,50.0,7.3,19.0,0.0601,0.0,0.42026,1,,,,12.0,4.0,2.0,9.0,9.0,1.0,1.0,6.0,4.0,,2.0,1.0,1.0,3.0,,2.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,
10388365,home,FC Schalke 04,Kenan Karaman,kenan-karaman,K. Karaman,F,19,189,1025,M,168943,EUR,762825600,M,19,19,False,18.0,9.0,,,3.0,4.0,6.0,16.0,4.0,,,,90.0,42.0,6.0,20.0,0.0767,0.0855,0.0195039,1,,,,2.0,,4.0,11.0,11.0,1.0,1.0,9.0,4.0,,,,3.0,,1.0,4.0,,1.0,,3.0,,,,1.0,,,,,,,,,
