match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_challengeLost,stat_keyPass,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_dispossessed,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_punches
12436870,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,23.0,16.0,9.0,2.0,0.0,16.0,20.0,3.0,1.0,11.0,2.0,1.0,2.0,2.0,2.0,90.0,34.0,7.3,7.0,0.00013777,0,0.9171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436870,home,Manchester United,Noussair Mazraoui,,,noussair-mazraoui,N. Mazraoui,D,3,183,53635,M,nousmaz97,847030,EUR,879465600,D,3,3,False,38.0,35.0,,,0.0,14.0,14.0,24.0,2.0,5.0,,,,,,81.0,55.0,7.4,4.0,0.0138315,0,,21.0,1.0,3.0,1.0,6.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12436870,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,28057,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,60.0,50.0,5.0,2.0,0.0,35.0,37.0,23.0,5.0,5.0,,,,,,81.0,72.0,7.2,11.0,0.0138249,0,,15.0,1.0,5.0,3.0,6.0,3.0,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12436870,home,Manchester United,Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51689,M,LichaMartínez,859999,EUR,885081600,D,6,6,False,61.0,54.0,6.0,4.0,0.0,25.0,28.0,33.0,2.0,2.0,,,,,,90.0,70.0,7.3,7.0,0.0221258,0,,29.0,1.0,,4.0,3.0,3.0,3.0,2.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
12436870,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,D,20,20,False,52.0,45.0,4.0,3.0,0.0,20.0,22.0,33.0,3.0,6.0,,,,,,90.0,70.0,7.5,11.0,0.0175676,0,,25.0,2.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,3.0,,,,,,,,,,,,,,,
12436870,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,Casemiro,122951,EUR,698803200,M,18,18,False,53.0,43.0,2.0,2.0,0.0,20.0,22.0,34.0,4.0,7.0,,,,,,90.0,81.0,8.4,14.0,0.498426,3,,24.0,2.0,2.0,6.0,7.0,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,0.1628,,,,,,,,,,
12436870,home,Manchester United,Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,53174,M,KobbieM,1142175,EUR,1113868800,M,37,37,False,41.0,37.0,3.0,3.0,0.0,17.0,18.0,23.0,,6.0,,,,,,84.0,66.0,7.6,10.0,0.0135142,1,,20.0,3.0,2.0,12.0,13.0,5.0,3.0,3.0,4.0,5.0,4.0,,3.0,1.0,,,,,1.0,,0.0298,4.0,1.0,,,,,,,,
12436870,home,Manchester United,Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,104228,M,AmadDiallo19,971037,EUR,1026345600,M,16,16,False,29.0,26.0,1.0,,0.0,6.0,6.0,25.0,,6.0,,,,,,61.0,41.0,7.1,9.0,0.132972,0,,21.0,1.0,,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,,,,2.0,2.0,,,,,,,,
12436870,home,Manchester United,Mason Mount,,,mason-mount,M. Mount,M,7,181,41304,M,MMount,836694,EUR,915926400,M,7,7,False,15.0,11.0,,,0.0,3.0,3.0,12.0,,1.0,,,,,,61.0,27.0,6.4,10.0,0.0291336,1,,8.0,,1.0,6.0,5.0,,3.0,1.0,1.0,2.0,,,1.0,,2.0,,,,,,0.2952,3.0,1.0,1.0,1.0,0.2957,,,,,
12436870,home,Manchester United,Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,357139,M,Rashford,814590,EUR,878256000,M,10,10,False,29.0,22.0,2.0,1.0,0.0,4.0,7.0,23.0,1.0,4.0,,,,,,90.0,44.0,6.7,16.0,0.114362,0,,18.0,,1.0,7.0,2.0,1.0,,,1.0,5.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,2.0,,,,,,,,
