match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_hitWoodwork,stat_blockedScoringAttempt,stat_goals,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_goalAssist,player_firstName,player_lastName,stat_bigChanceMissed,stat_totalOffside,stat_outfielderBlock,stat_errorLeadToAShot
11450185,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,39.0,27.0,16.0,4.0,23.0,25.0,4.0,14.0,2.0,11.0,5.0,5.0,3.0,3.0,90.0,51.0,7.9,12.0,0.00092959,0,0.6611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450185,home,Galatasaray,Kaan Ayhan,kaan-ayhan,K. Ayhan,D,23,185,4087,M,,138152,EUR,784425600,D,23,23,False,,51.0,43.0,2.0,,22.0,24.0,23.0,32.0,1.0,3.0,,,,,90.0,71.0,7.7,12.0,0.281607,1,,5.0,2.0,4.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0298,0.2888,4.0,,,,,,,,,,,,,,,,
11450185,home,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187,2642,M,Nelsson,846148,EUR,908323200,D,25,25,False,,64.0,59.0,5.0,3.0,37.0,38.0,22.0,26.0,7.0,2.0,,,,,90.0,80.0,8.1,5.0,0.00874824,2,,,,1.0,7.0,2.0,7.0,,,1.0,7.0,,,1.0,0.0804,0.0272,,1.0,1.0,,,,,,,,,,,,,,
11450185,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,68.0,58.0,8.0,2.0,30.0,31.0,29.0,39.0,1.0,3.0,,,,,90.0,83.0,9.4,11.0,0.0507353,6,,2.0,1.0,2.0,6.0,5.0,8.0,,,2.0,,2.0,2.0,3.0,0.3669,1.0017,2.0,3.0,,1.0,2.0,,,,,,,,,,,,
11450185,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186,13210,M,barisalperyilmaz,904096,EUR,959040000,D,53,53,False,,36.0,24.0,6.0,2.0,13.0,13.0,11.0,25.0,1.0,3.0,,,,,90.0,59.0,7.0,16.0,0.0152328,2,,2.0,,2.0,5.0,7.0,10.0,1.0,,,,3.0,2.0,3.0,0.0455,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
11450185,home,Galatasaray,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185,2104,M,,142619,EUR,741657600,M,8,8,False,,62.0,48.0,9.0,4.0,17.0,20.0,35.0,48.0,1.0,5.0,,,,,89.0,83.0,8.2,18.0,0.237281,4,,6.0,4.0,,2.0,6.0,7.0,,,2.0,2.0,3.0,3.0,4.0,0.1348,0.311,5.0,1.0,,1.0,,2.0,,,2.0,2.0,1.0,,,,,,
11450185,home,Galatasaray,Tanguy Ndombélé,tanguy-ndombele,T. Ndombélé,M,22,181,2703,M,,845486,EUR,851731200,M,91,91,False,,57.0,53.0,1.0,1.0,21.0,21.0,32.0,36.0,2.0,3.0,,,,,89.0,76.0,7.2,7.0,0.0594776,1,,,,1.0,3.0,7.0,10.0,4.0,,,2.0,3.0,2.0,2.0,0.0761,,2.0,,,1.0,,2.0,,2.0,1.0,2.0,,,,,,,
11450185,home,Galatasaray,Wilfried Zaha,wilfried-zaha,W. Zaha,M,10,180,18594,M,wilfriedzaha,111850,EUR,721353600,M,14,14,False,,24.0,18.0,1.0,,5.0,6.0,13.0,20.0,,5.0,,,,,90.0,44.0,7.9,15.0,0.415759,3,,2.0,,1.0,2.0,10.0,9.0,3.0,1.0,2.0,,1.0,1.0,3.0,0.7742,1.1222,2.0,1.0,,,1.0,1.0,5.0,3.0,1.0,3.0,,,,,,,
11450185,home,Galatasaray,Dries Mertens,dries-mertens,D. Mertens,M,,169,10127,M,driesmertens,32493,EUR,547257600,M,10,10,False,,33.0,25.0,5.0,3.0,6.0,8.0,22.0,33.0,,6.0,,,,,71.0,61.0,6.8,19.0,0.243524,4,,8.0,3.0,,,6.0,5.0,3.0,,1.0,2.0,2.0,2.0,1.0,0.2113,0.2087,2.0,1.0,,2.0,,1.0,2.0,1.0,1.0,2.0,,,,1.0,,,
11450185,home,Galatasaray,Kerem Aktürkoğlu,kerem-akturkoglu,K. Aktürkoğlu,F,9,173,24917,M,KAktürkoğlu,903324,EUR,908928000,M,7,7,False,,28.0,16.0,2.0,1.0,3.0,5.0,15.0,28.0,,5.0,,,,,85.0,50.0,7.6,21.0,0.346636,4,,5.0,2.0,,2.0,3.0,6.0,2.0,1.0,,,2.0,2.0,,0.8563,,3.0,4.0,,,,1.0,2.0,2.0,3.0,,,,,1.0,,,
