match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_keyPass,stat_blockedScoringAttempt,stat_wonContest,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside,stat_hitWoodwork
14065145,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,42.0,25.0,22.0,5.0,0.0,21.0,22.0,4.0,20.0,1.0,1.0,12.0,2.0,4.0,5.0,1.0,1.0,90.0,55.0,7.2,17.0,0.00341389,0.8118,0,1.1723,0.1,0.01,0.14,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065145,home,TSG Hoffenheim,Robin Hranáč,robin-hranac,R. Hranáč,D,2,189,292,M,957615,EUR,949104000,D,2,2,False,,40.0,39.0,4.0,3.0,0.0,29.0,29.0,10.0,11.0,3.0,3.0,3.0,,,,,,90.0,51.0,6.7,2.0,0.00546552,,0,,0.12,0.0,-0.08,,1.0,2.0,8.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14065145,home,TSG Hoffenheim,Albian Hajdari,albian-hajdari,A. Hajdari,D,21,189,835,M,1000269,EUR,1053216000,D,21,21,False,,46.0,42.0,8.0,5.0,0.0,27.0,27.0,15.0,19.0,2.0,6.0,9.0,,,,,,90.0,61.0,7.6,4.0,0.00789527,,1,,0.22,0.05,0.16,,3.0,6.0,2.0,2.0,,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.9614,0.9953,0.32,,,,,,,,,,,,,
14065145,home,TSG Hoffenheim,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,13,13,False,,32.0,25.0,5.0,2.0,0.0,11.0,14.0,14.0,18.0,4.0,6.0,4.0,,,,,,87.0,56.0,6.5,10.0,0.00762127,,1,,0.06,0.04,-0.12,,,5.0,5.0,1.0,1.0,3.0,,,2.0,,,,2.0,,,0.069,,-0.2,1.0,,,,,,,,,,,,
14065145,home,TSG Hoffenheim,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1730,M,138024,EUR,714441600,M,34,34,False,,45.0,36.0,3.0,2.0,1.0,15.0,18.0,21.0,27.0,,4.0,4.0,,,,,,90.0,85.0,7.2,27.0,0.10077,,1,,0.25,0.18,0.39,,,7.0,2.0,2.0,1.0,1.0,,,1.0,,,1.0,4.0,3.0,,0.0172,,-0.07,1.0,7.0,1.0,2.0,3.0,1.0,1.0,,,,,,
14065145,home,TSG Hoffenheim,Wouter Burger,wouter-burger,W. Burger,M,18,190,820,M,916946,EUR,982281600,M,18,18,False,,53.0,38.0,4.0,2.0,1.0,12.0,13.0,26.0,40.0,4.0,11.0,5.0,,,,,,90.0,69.0,6.8,21.0,0.0498344,,1,,0.16,0.08,-0.24,,3.0,8.0,,,4.0,3.0,,,2.0,,,,7.0,5.0,,0.0829,,-0.33,1.0,1.0,,,,2.0,3.0,,,,,,
14065145,home,TSG Hoffenheim,Leon Avdullahu,avdullahu-leon,L. Avdullahu,M,7,185,842,M,1493305,EUR,1077494400,M,7,7,False,,45.0,43.0,,,0.0,19.0,20.0,24.0,25.0,1.0,2.0,6.0,,,,,,90.0,60.0,6.8,5.0,0.0252138,,2,,0.18,0.1,0.25,,1.0,4.0,2.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,,,0.0546,,-0.1,1.0,,,1.0,,,,1.0,,,,,
14065145,home,TSG Hoffenheim,Grischa Prömel,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,False,,37.0,31.0,,,0.0,11.0,15.0,20.0,22.0,,4.0,8.0,,,,,,88.0,58.0,7.9,10.0,0.0201203,,2,,0.04,0.06,0.27,,1.0,2.0,2.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,0.2224,0.7378,0.49,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,
14065145,home,TSG Hoffenheim,Bazoumana Touré,bazoumana-toure,B. Touré,M,29,175,3686,M,1568123,EUR,1141257600,M,29,29,False,,24.0,16.0,,,0.0,2.0,4.0,14.0,20.0,3.0,7.0,7.0,,,,,,75.0,43.0,6.2,19.0,0.325033,,0,,0.18,-0.56,-0.09,,2.0,12.0,,,1.0,1.0,Bazoumana Touré,,,,,,3.0,1.0,,,,,,,,2.0,8.0,,2.0,,1.0,,,,
14065145,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,F,27,27,False,,33.0,26.0,2.0,1.0,0.0,8.0,10.0,18.0,23.0,1.0,1.0,3.0,,,,,,67.0,43.0,6.9,11.0,0.106843,,1,,0.32,0.18,0.16,,1.0,2.0,1.0,,1.0,,,,,,,1.0,,,,0.0418,,-0.17,,3.0,1.0,,1.0,,2.0,1.0,,,andrejkramaric,,
