match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_fouls,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_totalCross,stat_unsuccessfulTouch,stat_accurateCross,stat_dispossessed,player_firstName,player_lastName,stat_totalOffside,stat_blockedScoringAttempt,stat_goalAssist,stat_punches,stat_errorLeadToAShot
11396341,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,True,15.0,13.0,4.0,2.0,12.0,14.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,90.0,16.0,6.7,2.0,0.00013467,0,-0.3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396341,home,Eintracht Frankfurt,Tuta,tuta,Tuta,D,3,184,1088,M,964191,EUR,931046400,D,35,35,False,,59.0,48.0,12.0,4.0,23.0,26.0,25.0,33.0,5.0,,,,,83.0,77.0,7.4,12.0,0.0300562,1,,2.0,2.0,3.0,10.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0447,2.0,,,,,,,,,,,,,,,,,,
11396341,home,Eintracht Frankfurt,Robin Koch,robin-koch,R. Koch,D,4,190,1832,M,581302,EUR,837561600,D,4,4,False,,112.0,103.0,13.0,6.0,50.0,53.0,53.0,59.0,9.0,,,,,90.0,122.0,7.9,9.0,0.0239344,3,,1.0,2.0,5.0,4.0,,,,,2.0,,2.0,1.0,1.0,2.0,0.8365,,1.0,1.0,1.0,4.0,0.9446,,,,,,,,,,,,,
11396341,home,Eintracht Frankfurt,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25693,M,979480,EUR,1003190400,D,3,3,False,,106.0,95.0,4.0,3.0,39.0,43.0,56.0,63.0,5.0,,,,,90.0,115.0,7.2,12.0,0.0757233,2,,1.0,1.0,3.0,4.0,,,,,1.0,1.0,1.0,3.0,3.0,,0.2395,,1.0,,,2.0,0.162,pachowilliam,1.0,,,,,,,,,,,
11396341,home,Eintracht Frankfurt,Philipp Max,philipp-max,P. Max,D,,178,608,M,142672,EUR,749347200,D,31,31,False,,41.0,36.0,2.0,1.0,15.0,16.0,21.0,27.0,1.0,,,,,78.0,57.0,6.7,9.0,0.0318766,0,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,
11396341,home,Eintracht Frankfurt,Ansgar Knauff,ansgar-knauff,A. Knauff,M,7,180,2079,M,997012,EUR,1010620800,M,36,36,False,,37.0,21.0,5.0,2.0,5.0,10.0,18.0,30.0,2.0,,,,,83.0,57.0,6.8,20.0,0.11343,0,,,3.0,3.0,9.0,,1.0,,,,,,5.0,3.0,1.0,,,,,,1.0,,,,3.0,,2.0,1.0,,,,,,,
11396341,home,Eintracht Frankfurt,Ellyes Skhiri,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,15,15,False,,80.0,70.0,6.0,2.0,38.0,41.0,32.0,40.0,9.0,,,,,90.0,98.0,7.4,16.0,0.0465287,1,,3.0,2.0,5.0,8.0,,1.0,1.0,,,,1.0,4.0,3.0,1.0,0.0147,1.0,1.0,,,,0.1751,ellyes_skhiri,,1.0,3.0,,2.0,,,,,,,
11396341,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,M,27,27,False,,54.0,43.0,3.0,1.0,16.0,20.0,27.0,34.0,9.0,,,,,77.0,62.0,6.7,13.0,0.0987847,0,,,1.0,3.0,2.0,1.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,MarioGotze,,,,,1.0,,,,,,,
11396341,home,Eintracht Frankfurt,Junior Dina Ebimbe,junior-dina-ebimbe,J. D. Ebimbe,M,7,183,2059,M,904994,EUR,974764800,M,26,26,False,,24.0,19.0,2.0,2.0,7.0,8.0,12.0,16.0,1.0,,,,,60.0,34.0,6.6,9.0,0.0186995,1,,,,5.0,2.0,1.0,3.0,1.0,,1.0,,,1.0,1.0,,0.0433,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,
11396341,home,Eintracht Frankfurt,Farès Chaïbi,fares-chaibi,F. Chaïbi,M,8,183,17688,M,1192318,EUR,1038441600,F,8,8,False,,33.0,23.0,2.0,,6.0,8.0,21.0,39.0,3.0,,,,,90.0,60.0,7.3,25.0,0.206786,2,,,,3.0,1.0,1.0,,,,,,,,,1.0,0.1137,3.0,2.0,,,,0.3679,fareschaibi28,,14.0,3.0,4.0,2.0,,,1.0,,,,
