match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoals,stat_challengeLost,stat_shotOffTarget,stat_wonTackle,stat_fouls,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_wonContest,captain,stat_totalOffside,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_errorLeadToAGoal,player_sofascoreId
12448405,home,RKC Waalwijk,Jeroen Houwen,jeroen-houwen,J. Houwen,G,188,36,M,339367,EUR,824601600,G,1,1,False,32.0,18.0,20.0,7.0,0.0,12.0,13.0,6.0,19.0,10.0,90.0,39.0,6.8,14.0,0.00135368,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448405,home,RKC Waalwijk,Liam van Gelderen,liam-van-gelderen,L. v. Gelderen,D,178,172,M,910049,EUR,985305600,D,4,4,False,33.0,27.0,4.0,2.0,0.0,17.0,20.0,10.0,13.0,7.0,90.0,57.0,7.6,13.0,0.00884414,0,4,1.0,4.0,4.0,8.0,1.0,2.0,6.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12448405,home,RKC Waalwijk,Roshon van Eijma,roshon-van-eijma,R. v. Eijma,D,186,59,M,925930,EUR,897350400,D,17,17,False,48.0,41.0,9.0,5.0,0.0,29.0,32.0,12.0,16.0,4.0,90.0,60.0,7.0,7.0,0.0159366,1,3,1.0,1.0,1.0,2.0,,,7.0,,1.0,,,,1.0,1.0,1.0,0.0076,,,,,,,,,,,,,,,,,,,,,
12448405,home,RKC Waalwijk,Dario Van Den Buijs,dario-van-den-buijs,D. V. D. Buijs,D,188,65,M,783468,EUR,810864000,D,3,3,False,59.0,48.0,9.0,3.0,0.0,38.0,42.0,10.0,17.0,6.0,90.0,72.0,7.4,11.0,0.00578193,2,33,3.0,7.0,5.0,10.0,,,6.0,,1.0,2.0,,,,,1.0,0.1213,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12448405,home,RKC Waalwijk,Juan Familia-Castillo,juan-castillo,J. Familia-Castillo,D,175,185,M,856735,EUR,947721600,D,5,5,False,7.0,5.0,1.0,,0.0,3.0,4.0,3.0,4.0,,17.0,16.0,6.8,3.0,0.0246797,0,5,1.0,1.0,2.0,2.0,1.0,,2.0,,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
12448405,home,RKC Waalwijk,Godfried Roemeratoe,godfried-roemeratoe,G. Roemeratoe,M,178,106,M,825849,EUR,935020800,M,24,24,False,35.0,23.0,5.0,3.0,0.0,12.0,14.0,11.0,21.0,5.0,90.0,48.0,7.3,14.0,0.00952886,1,6,2.0,2.0,3.0,6.0,,,1.0,1.0,,3.0,2.0,1.0,1.0,,1.0,0.0479,,,3.0,2.0,,,,,,,,,,,,,,,,,
12448405,home,RKC Waalwijk,Richard van der Venne,richard-van-der-venne,R. v. d. Venne,M,178,80,M,804489,EUR,705974400,M,23,23,False,28.0,16.0,6.0,2.0,0.0,10.0,13.0,6.0,15.0,8.0,80.0,42.0,7.5,17.0,0.487953,1,10,,1.0,2.0,4.0,1.0,1.0,1.0,,,2.0,3.0,1.0,,,1.0,0.0559,,,2.0,,,,1.0,1.0,0.7859,,,,,,,,,,,,
12448405,home,RKC Waalwijk,Daouda Weidmann,weidmann-daouda,D. Weidmann,M,180,95,M,1142678,EUR,1052006400,M,30,30,False,31.0,25.0,4.0,1.0,0.0,14.0,17.0,13.0,17.0,5.0,90.0,51.0,7.0,15.0,0.107177,1,42,,1.0,2.0,4.0,1.0,2.0,,,,1.0,5.0,1.0,,,1.0,0.0382,,1.0,1.0,1.0,3.0,2.0,,,,,,1.0,,,,,,,,,
12448405,home,RKC Waalwijk,Silvester van der Water,silvester-van-der-water,S. v. d. Water,M,184,93,M,807145,EUR,844041600,F,18,18,False,16.0,10.0,4.0,1.0,0.0,4.0,4.0,7.0,17.0,2.0,74.0,37.0,8.0,12.0,0.0117969,4,,2.0,,3.0,6.0,1.0,2.0,1.0,,,2.0,1.0,,,,2.0,0.4596,,2.0,1.0,,5.0,1.0,2.0,1.0,0.7518,Silvester,van der Water,2.0,,,,,,,,,
12448405,home,RKC Waalwijk,Oskar Zawada,oskar-zawada,O. Zawada,F,192,705,M,318745,EUR,823132800,F,9,9,False,15.0,10.0,1.0,,0.0,5.0,7.0,5.0,8.0,,45.0,22.0,6.7,10.0,0.00239253,0,19,,4.0,2.0,5.0,,,,,,,5.0,1.0,,,1.0,,,,,2.0,,,,,,,,,True,,,,,,,,
