match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_fouls,player_lastName,stat_aerialWon,stat_challengeLost,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed
12624397,home,Al-Riyadh,Milan Borjan,milan-borjan,M. Borjan,G,82,193,807,M,79413,EUR,561945600,G,82,82,False,True,22.0,6.0,18.0,2.0,0.0,4.0,7.0,2.0,15.0,3.0,1.0,18.0,4.0,3.0,5.0,2.0,90.0,49.0,7.6,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12624397,home,Al-Riyadh,Hussain Al-Nuweqi,hussain-al-nuweqi,H. Al-Nuweqi,D,27,170,14,M,1525073,EUR,817948800,D,27,27,False,,21.0,17.0,3.0,2.0,0.0,8.0,9.0,9.0,13.0,4.0,,4.0,,,,,90.0,48.0,6.8,10.0,0,Hussain Al-Nuweqi,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
12624397,home,Al-Riyadh,Marzouq Tambakti,marzouq-tambakti,M. Tambakti,D,87,187,50,M,1544937,EUR,1044921600,D,87,87,False,,20.0,17.0,2.0,1.0,0.0,12.0,13.0,5.0,7.0,5.0,,4.0,,,,,90.0,28.0,6.3,4.0,0,Marzouq Tambakti,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
12624397,home,Al-Riyadh,Yoann Barbet,yoann-barbet,Y. Barbet,D,5,190,128,M,369544,EUR,736992000,D,5,5,False,,19.0,14.0,9.0,5.0,0.0,11.0,11.0,3.0,9.0,5.0,,1.0,,,,,90.0,32.0,6.8,7.0,0,,1.0,,1.0,3.0,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,
12624397,home,Al-Riyadh,Nawaf Al-Hawsawi,nawaf-al-hawsawi,N. Al-Hawsawi,D,50,170,18,M,1048000,EUR,975801600,D,50,50,False,,17.0,11.0,2.0,,0.0,5.0,6.0,6.0,11.0,,,2.0,,,,,89.0,38.0,6.6,11.0,0,Nawaf Al-Hawsawi,,,2.0,8.0,,,,5.0,2.0,2.0,3.0,,,,,2.0,,,,,,,,,
12624397,home,Al-Riyadh,Faïz Selemani,faiz-selemani,F. Selemani,F,7,178,359,M,842745,EUR,754617600,M,17,17,False,,16.0,12.0,,,1.0,2.0,3.0,10.0,14.0,,,,,,,,59.0,26.0,8.1,8.0,2,,1.0,3.0,3.0,3.0,,2.0,,,,2.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,,
12624397,home,Al-Riyadh,Tozé,toze,Tozé,M,20,165,386,M,1089231,EUR,726969600,M,20,20,False,,36.0,31.0,3.0,3.0,0.0,4.0,5.0,28.0,35.0,1.0,,6.0,,,,,90.0,54.0,7.8,12.0,5,,4.0,,4.0,2.0,1.0,3.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,
12624397,home,Al-Riyadh,Lucas Kal,lucas-kal,Lucas Kal,M,21,186,179,M,840118,EUR,826934400,M,21,21,False,,26.0,21.0,3.0,1.0,0.0,9.0,10.0,12.0,16.0,,2.0,4.0,,,,,90.0,36.0,6.9,5.0,1,,,1.0,5.0,2.0,,1.0,2.0,1.0,1.0,,,1.0,2.0,,,2.0,1.0,,,1.0,,,,,
12624397,home,Al-Riyadh,Bernard Mensah,bernard-mensah,B. Mensah,M,43,180,416,M,546220,EUR,782352000,M,43,43,False,,37.0,32.0,3.0,2.0,0.0,7.0,8.0,25.0,29.0,2.0,,4.0,,,,,90.0,54.0,6.8,10.0,3,,,4.0,9.0,2.0,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,
12624397,home,Al-Riyadh,Ibrahim Bayesh,ibrahim-bayesh,I. Bayesh,M,29,177,2466,M,920815,EUR,957139200,M,11,11,False,,36.0,33.0,1.0,,1.0,7.0,7.0,27.0,35.0,1.0,1.0,7.0,,,,,90.0,64.0,7.9,14.0,0,,6.0,4.0,8.0,7.0,,5.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,,1.0,1.0,3.0,1.0,,,,1.0,,,
