match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_goalAssist,captain,stat_accurateCross,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded
11391360,home,Montpellier,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,40,40,False,18.0,11.0,12.0,5.0,8.0,10.0,3.0,8.0,6.0,1.0,1.0,3.0,90.0,26.0,7.3,8.0,0.00033205,0,0.4527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391360,home,Montpellier,Bećir Omeragić,becir-omeragic,B. Omeragić,D,27,187,462,M,940918,EUR,1011484800,D,27,27,False,44.0,36.0,7.0,4.0,21.0,25.0,15.0,19.0,6.0,,,,75.0,54.0,7.2,8.0,0.00939507,0,,2.0,3.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11391360,home,Montpellier,Boubakar Kouyaté,boubakar-kouyate,B. Kouyaté,D,25,192,907,M,848537,EUR,861062400,D,4,4,False,32.0,27.0,5.0,2.0,16.0,17.0,11.0,15.0,1.0,,,,90.0,45.0,7.5,5.0,0.00390548,1,,,5.0,3.0,8.0,1.0,,,5.0,3.0,,3.0,,2.0,1.0,0.0222,,,,,,,,,,,,,,,,,,,,,,,,
11391360,home,Montpellier,Modibo Sagnan,modibo-sagnan,M. Sagnan,D,27,187,581,M,904759,EUR,924048000,D,5,5,False,39.0,31.0,4.0,,9.0,12.0,22.0,27.0,4.0,,,,90.0,60.0,8.2,12.0,0.00818615,2,,,,4.0,6.0,1.0,,,3.0,1.0,2.0,4.0,4.0,2.0,1.0,0.664,1.0,1.0,1.0,2.0,2.0,0.4351,,,,,,,,,,,,,,,,,,
11391360,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,53.0,47.0,4.0,4.0,33.0,35.0,14.0,18.0,6.0,,,,90.0,64.0,8.0,6.0,0.00639248,3,,,2.0,3.0,6.0,1.0,,,1.0,2.0,,2.0,1.0,2.0,,0.1184,,1.0,,,2.0,0.0531,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11391360,home,Montpellier,Silvan Hefti,silvan-hefti,S. Hefti,D,30,182,208,M,814214,EUR,877737600,M,36,36,False,27.0,18.0,4.0,2.0,9.0,10.0,9.0,18.0,4.0,,,,90.0,48.0,7.0,13.0,0.0101609,1,,2.0,,4.0,3.0,,,,,,1.0,2.0,2.0,1.0,1.0,0.0532,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
11391360,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,50.0,44.0,1.0,,17.0,17.0,27.0,36.0,6.0,,,,79.0,62.0,7.5,12.0,0.189414,1,,,,5.0,2.0,,1.0,,1.0,,,1.0,1.0,2.0,1.0,0.0151,2.0,,,,1.0,,1.0,,,2.0,,,3.0,1.0,,,,,,,,,,
11391360,home,Montpellier,Teji Savanier,teji-savanier,T. Savanier,M,11,171,790,M,156682,EUR,693360000,M,11,11,False,44.0,36.0,8.0,3.0,17.0,17.0,23.0,38.0,2.0,,,,89.0,77.0,8.1,23.0,0.58934,3,,2.0,,9.0,4.0,,5.0,2.0,,,3.0,,,1.0,,0.8647,3.0,1.0,1.0,1.0,2.0,0.9925,1.0,2.0,,3.0,,,11.0,1.0,True,4.0,,,,,,,,
11391360,home,Montpellier,Issiaga Sylla,issiaga-sylla,I. Sylla,D,4,180,3382,M,291695,EUR,757382400,M,3,3,False,27.0,21.0,3.0,2.0,10.0,14.0,12.0,15.0,1.0,,,,90.0,52.0,7.2,12.0,0.161449,2,,,1.0,5.0,3.0,1.0,1.0,1.0,,,,,,2.0,,0.6524,2.0,2.0,1.0,,1.0,0.7865,1.0,,,3.0,Issiaga,Sylla,2.0,,,1.0,ISylla,1.0,2.0,,,,,
11391360,home,Montpellier,Arnaud Nordin,nordin-arnaud,A. Nordin,M,70,170,384,M,848458,EUR,900633600,F,7,7,False,16.0,12.0,,,6.0,6.0,6.0,11.0,4.0,,,,79.0,25.0,6.8,9.0,0.0529098,1,,1.0,,6.0,2.0,1.0,1.0,1.0,,,,,,2.0,,0.0139,2.0,,,2.0,1.0,,,1.0,,3.0,,,1.0,,,,,,1.0,,,,,
