match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,stat_keyPass,captain,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot
11352513,away,Luton Town,Ross Barkley,ross-barkley,R. Barkley,M,6,188,2411,M,98435,EUR,755049600,M,6,6,False,17.0,17.0,2.0,2.0,0.0,8.0,8.0,9.0,9.0,,,,,,,,39.0,22.0,6.7,2.0,0.0172222,0,,,,,,,3.0,,,,,,2.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,
11352513,away,Luton Town,Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,521,M,945792,EUR,945734400,M,45,45,False,33.0,26.0,3.0,2.0,1.0,15.0,16.0,13.0,27.0,1.0,2.0,3.0,4.0,,,,87.0,63.0,7.2,19.0,0.173883,0,,,,10.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0
11352513,away,Luton Town,Carlton Morris,carlton-morris,C. Morris,F,9,185,1069,M,358222,EUR,819072000,F,9,9,False,24.0,16.0,2.0,1.0,0.0,9.0,10.0,7.0,17.0,5.0,7.0,3.0,3.0,,,,90.0,35.0,6.6,13.0,0.112743,0,,,,3.0,,9.0,15.0,,3.0,2.0,,,,,,,,True,,,4.0,1.0,,,,,,,,,,,
11352513,away,Luton Town,Tahith Chong,tahith-chong,T. Chong,M,24,185,1632,M,825845,EUR,944265600,F,14,14,False,24.0,20.0,1.0,,0.0,4.0,6.0,16.0,21.0,,5.0,2.0,3.0,1.0,,,90.0,38.0,7.0,9.0,0.02264,0,,,,3.0,,4.0,6.0,2.0,2.0,2.0,,,,2.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,
11352513,away,Luton Town,Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193,980,M,920542,EUR,884131200,F,11,11,False,10.0,7.0,,,0.0,,,7.0,11.0,2.0,6.0,1.0,1.0,2.0,,,90.0,29.0,6.5,11.0,0.00499722,1,,,,1.0,,2.0,8.0,1.0,4.0,1.0,,,,,1.0,0.046,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
11352513,away,Luton Town,Jordan Clark,jordan-clark,J. Clark,M,18,183,134,M,150477,EUR,748656000,M,18,18,True,14.0,10.0,2.0,,0.0,7.0,7.0,3.0,7.0,,6.0,3.0,3.0,3.0,,,51.0,25.0,6.4,5.0,0.00088411,0,,,,,,1.0,5.0,3.0,1.0,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,
11352513,away,Luton Town,Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181,757,M,849309,EUR,862444800,F,7,7,True,4.0,3.0,,,0.0,,,3.0,5.0,1.0,3.0,1.0,1.0,,,,17.0,10.0,6.7,3.0,0.00319144,0,,,,1.0,,,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11352513,away,Luton Town,Luke Berry,luke-berry,L. Berry,M,8,177,75,M,97465,EUR,710899200,M,8,8,True,6.0,4.0,,,0.0,,,4.0,7.0,,1.0,,,,,,10.0,9.0,6.6,3.0,0.00121783,0,,,,1.0,,1.0,3.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
11352513,away,Luton Town,Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184,112,M,140487,EUR,786326400,F,10,10,True,5.0,4.0,,,0.0,1.0,2.0,3.0,4.0,,,,2.0,,,,10.0,9.0,6.6,2.0,0.00086438,0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11352513,away,Luton Town,Tim Krul,tim-krul,T. Krul,G,,193,418,M,18154,EUR,576028800,G,23,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,away,Luton Town,Daiki Hashioka,daiki-hashioka,D. Hashioka,D,4,185,1033,M,897334,EUR,926899200,D,27,27,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,away,Luton Town,Joseph Johnson,joseph-johnson,J. Johnson,D,38,180,86,M,825550,EUR,1140480000,D,38,38,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,away,Luton Town,Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,298,M,387116,EUR,742867200,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,away,Luton Town,Andros Townsend,andros-townsend,A. Townsend,F,30,181,590,M,47992,EUR,679622400,M,30,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
