match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_challengeLost,player_sofascoreId,stat_totalCross,stat_bigChanceCreated,stat_blockedScoringAttempt,player_firstName,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,player_lastName,stat_penaltyMiss
14083207,home,Real Betis,Álvaro Valles,alvaro-valles,Á. Valles,G,1,192.0,931,M,964983,EUR,869788800,G,1,1,False,23.0,17.0,11.0,5.0,0.0,15.0,16.0,2.0,7.0,2.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,90.0,33.0,8.1,6.0,0.00112356,38.481456516548,5.0,18.689107639346,0.9406,0,0.4853,0.02,0.0,-0.02,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083207,home,Real Betis,Aitor Ruibal,aitor-ruibal,A. Ruibal,D,24,176.0,879,M,893062,EUR,827452800,D,24,24,False,59.0,50.0,7.0,2.0,0.0,24.0,25.0,26.0,34.0,1.0,5.0,,,,,,,90.0,78.0,6.9,12.0,0.0250012,159.50204841652,18.0,98.923346238843,,0,,0.21,0.24,-0.34,,1.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,21.865968896038,24.086442327583,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14083207,home,Real Betis,Marc Bartra,marc-bartra,M. Bartra,D,5,183.0,1917,M,99519,EUR,663897600,D,5,5,False,47.0,44.0,5.0,4.0,0.0,31.0,31.0,13.0,16.0,5.0,1.0,,,,,,,90.0,60.0,7.5,5.0,0.0133465,117.83214323097,15.0,57.28474882044,,1,,0.25,0.13,0.65,,1.0,4.0,3.0,,,1.0,,2.0,,,3.0,,17.922509171665,55.511336802794,3.0,,True,2.0,1.0,3.0,1.0,0.0161,-0.07,,,,,,,,,,,,,,,
14083207,home,Real Betis,Diego Llorente,diego-llorente,D. Llorente,D,3,185.0,1146,M,305278,EUR,745459200,D,3,3,False,43.0,40.0,4.0,2.0,0.0,30.0,30.0,10.0,13.0,4.0,1.0,,,,,,,89.0,57.0,6.8,5.0,0.00241842,70.888916982216,12.0,13.596321485732,,0,,0.06,0.01,0.17,,4.0,8.0,7.0,1.0,,,,,,3.0,2.0,,,,,,,4.0,,1.0,,,,1.0,,,,,,,,,,,,,,
14083207,home,Real Betis,Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,12,182.0,1729,M,67769,EUR,714700800,D,12,12,False,44.0,37.0,5.0,,0.0,11.0,14.0,26.0,30.0,2.0,5.0,,,,,,,90.0,56.0,6.2,11.0,0.013314,68.130920567442,11.0,20.152134127529,,0,,0.2,0.02,-0.27,,2.0,5.0,3.0,,,1.0,1.0,,,,1.0,,,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,
14083207,home,Real Betis,Sergi Altimira,sergi-altimira,S. Altimira,M,6,188.0,1049,M,1137814,EUR,998697600,M,6,6,False,30.0,24.0,1.0,1.0,0.0,8.0,12.0,16.0,18.0,1.0,3.0,,,,,,,45.0,33.0,6.6,8.0,0.067149,57.004252406483,11.0,17.73332224984,,0,,0.25,0.09,-0.11,,,3.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
14083207,home,Real Betis,Marc Roca,marc-roca,M. Roca,M,21,184.0,1491,M,847128,EUR,848966400,M,21,21,False,48.0,44.0,3.0,2.0,0.0,20.0,20.0,24.0,28.0,1.0,2.0,,,,,,,90.0,62.0,6.9,8.0,0.119569,224.19221324475,21.0,30.097224909857,,1,,0.15,0.07,-0.05,,,1.0,4.0,,,3.0,2.0,3.0,,1.0,1.0,,,,,1.0,,,1.0,,,0.0149,-0.18,,,,,,,,,,,,,,,
14083207,home,Real Betis,Antony,antony,Antony,M,7,172.0,219783,M,958380,EUR,951350400,M,7,7,False,39.0,27.0,1.0,,0.0,3.0,4.0,24.0,35.0,2.0,2.0,,,,,,,89.0,60.0,6.9,20.0,0.52455,120.83837957965,22.0,36.166855321132,,2,,0.56,-0.29,0.14,,1.0,6.0,4.0,6.0,3.0,,,1.0,,1.0,1.0,,,,,3.0,,,1.0,,2.0,0.0931,-0.25,,1.0,Antony,3.0,1.0,1.0,,,,,,,,,
14083207,home,Real Betis,Nelson Deossa,nelson-deossa,N. Deossa,M,18,185.0,4686,M,1129401,EUR,949795200,M,18,18,False,45.0,40.0,,,0.0,10.0,10.0,30.0,35.0,2.0,4.0,,,,,,,90.0,71.0,7.2,14.0,0.0438437,242.07528341091,27.0,91.094524953265,,4,,0.28,0.2,-0.03,,,7.0,12.0,5.0,4.0,2.0,1.0,2.0,,2.0,1.0,,30.744935730594,37.631104156004,1.0,1.0,,4.0,2.0,,,0.094,-0.31,4.0,1.0,,2.0,,2.0,Nelson Deossa,,,,,,,,
14083207,home,Real Betis,Abdessamad Ezzalzouli,abdessamad-ezzalzouli,A. Ezzalzouli,M,10,177.0,44492,M,1011375,EUR,1008547200,M,10,10,False,41.0,35.0,3.0,3.0,0.0,10.0,10.0,25.0,31.0,,8.0,,,,,,,90.0,64.0,6.9,15.0,0.0580223,281.404857277,26.0,166.43164551984,,3,,0.05,0.49,-0.04,,1.0,6.0,8.0,2.0,,4.0,4.0,4.0,,3.0,1.0,,22.312303884137,148.9779770001,7.0,1.0,,1.0,2.0,,1.0,0.6546,-0.78,1.0,1.0,ez_abde,2.0,,1.0,,1.0,1.0,,,,,,
