match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_interceptionWon,stat_shotOffTarget,stat_outfielderBlock,stat_penaltyConceded,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_penaltyWon
10913362,home,Al Wehda,Munir El Kajoui,munir-mohamedi,M. El Kajoui,G,1,190.0,3804,M,Munir,141967,EUR,610761600.0,G,1,1,False,22.0,11.0,14.0,3.0,8.0,10.0,3.0,12.0,9.0,2.0,1.0,3.0,90.0,28.0,5.6,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913362,home,Al Wehda,Hamad Al-Jayzani,hamad-al-jayzani,H. Al-Jayzani,D,28,176.0,11,M,,802975,EUR,731203200.0,D,28,28,False,27.0,23.0,1.0,,8.0,8.0,15.0,22.0,5.0,,,,83.0,49.0,5.9,11.0,0,,,3.0,1.0,2.0,7.0,8.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,
10913362,home,Al Wehda,Abdullah Al-Hafith,abdullah-al-hafith,A. Al-Hafith,D,17,188.0,29,M,,160901,EUR,725241600.0,D,17,17,False,56.0,47.0,6.0,3.0,33.0,37.0,14.0,19.0,4.0,,,,90.0,67.0,6.1,10.0,1,,,,1.0,5.0,5.0,10.0,4.0,,,,3.0,4.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
10913362,home,Al Wehda,Óscar Duarte,oscar-duarte,Ó. Duarte,D,6,184.0,231,M,,156401,EUR,612835200.0,D,6,6,False,44.0,35.0,8.0,5.0,23.0,25.0,12.0,19.0,4.0,,,,90.0,54.0,6.3,10.0,1,,,,1.0,2.0,2.0,5.0,,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
10913362,home,Al Wehda,Islam Ahmed Hawsawi,islam-ahmed-hawsawi,I. A. Hawsawi,D,27,170.0,30,M,,1106232,EUR,1009411200.0,D,27,27,False,23.0,15.0,4.0,,8.0,9.0,8.0,16.0,3.0,,,,83.0,48.0,6.1,17.0,0,Hawsawi Islam Ahmed,,2.0,1.0,1.0,5.0,3.0,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,,,,,1.0,1.0,2.0,,,,,,,,
10913362,home,Al Wehda,Sultan Al-Sawadi,sultan-al-sawadi,S. Al-Sawadi,M,49,168.0,8,M,,818777,EUR,724291200.0,M,49,49,False,6.0,6.0,,,4.0,4.0,2.0,2.0,3.0,,,,45.0,10.0,6.0,4.0,0,,,,,,3.0,,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
10913362,home,Al Wehda,Ala'a Al-Hejji,alaa-al-hejji,A. Al-Hejji,M,18,173.0,32,M,,826242,EUR,817948800.0,M,88,88,False,53.0,50.0,5.0,4.0,19.0,19.0,31.0,34.0,3.0,,,,90.0,68.0,6.8,4.0,0,,,,,,4.0,10.0,3.0,,,,,5.0,4.0,1.0,5.0,1.0,,2.0,,,,,,,,,,,,,,,
10913362,home,Al Wehda,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,,143786,EUR,586396800.0,M,76,76,False,63.0,60.0,11.0,10.0,17.0,19.0,45.0,50.0,6.0,,,,90.0,82.0,7.8,8.0,1,,,6.0,,,1.0,6.0,1.0,,,,,2.0,2.0,,4.0,,,,1.0,,,1.0,2.0,1.0,4.0,True,,,,,,,
10913362,home,Al Wehda,Hazzaa Al-Ghamdi,hazzaa-al-ghamdi,H. Al-Ghamdi,F,90,174.0,33,M,,1095802,EUR,979171200.0,M,90,90,False,21.0,18.0,1.0,,4.0,4.0,14.0,17.0,9.0,,,,84.0,44.0,7.4,8.0,2,Hazzaa Ahmed Al-Ghamdi,,,1.0,,6.0,9.0,,2.0,8.0,6.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,
10913362,home,Al Wehda,Anselmo,anselmo,Anselmo,M,87,182.0,171,M,,256671,EUR,603936000.0,F,87,87,False,19.0,15.0,1.0,1.0,5.0,6.0,11.0,16.0,3.0,,,,90.0,53.0,6.9,17.0,1,,,3.0,3.0,,13.0,12.0,2.0,2.0,14.0,10.0,,,,4.0,2.0,2.0,,,1.0,,,1.0,1.0,,2.0,,,,1.0,,,,
