match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,player_id,player_name,playerName,reason,rescinded
11204753,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11204753,,,,,90,1.0,,1,,,substitution,121734940.0,False,True,regular,,,,,,
11204753,,,,,90,0.0,,1,,,injuryTime,,,,,5.0,,,,,
11204753,,1.0,0.0,,85,,,6,,,goal,168746918.0,,True,regular,,1127223.0,Arquímides Ordóñez,,,
11204753,,,,,83,,,8,,,substitution,121734927.0,False,True,regular,,,,,,
11204753,,,,,82,,,9,,,substitution,121734925.0,True,False,injury,,,,,,
11204753,,,,,77,,,14,,,substitution,121734921.0,False,True,regular,,,,,,
11204753,,,,,76,,,15,,,substitution,121734920.0,False,True,regular,,,,,,
11204753,,,,,71,,,20,,,substitution,121734917.0,False,False,regular,,,,,,
11204753,,,,,71,,,20,,,substitution,121734916.0,True,False,injury,,,,,,
11204753,,,,,62,,,29,,,substitution,121734900.0,False,False,regular,,,,,,
11204753,,,,,62,,,29,,,substitution,121734899.0,False,False,regular,,,,,,
11204753,,,,,61,,,30,,,substitution,121734897.0,False,True,regular,,,,,,
11204753,,,,,61,,,30,,,substitution,121734898.0,False,True,regular,,,,,,
11204753,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11204753,,,,,45,0.0,,1,,,injuryTime,,,,,3.0,,,,,
11204753,,,,,40,,,6,,,card,120735500.0,,True,yellow,,1428991.0,Stiven Jimenez,Stiven Jimenez,Foul,False
