match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_dispossessed,stat_wasFouled,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_bigChanceCreated,stat_keyPass,captain,stat_interceptionWon,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_clearanceOffLine,stat_bigChanceMissed,stat_hitWoodwork
12437019,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,23,23,False,43.0,33.0,16.0,6.0,0.0,29.0,32.0,4.0,11.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,90.0,51.0,6.8,10.0,0.00155089,0,-0.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437019,home,Aston Villa,Andrés García,andres-garcia,A. García,D,16,183,959,M,,1457536,EUR,1044576000,D,16,16,False,30.0,27.0,1.0,1.0,0.0,11.0,13.0,18.0,22.0,,3.0,1.0,1.0,,2.0,1.0,,,,,,,67.0,51.0,6.0,10.0,0.0439092,0,,Andrés García,,5.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
12437019,home,Aston Villa,Axel Disasi,axel-disasi,A. Disasi,D,4,190,9725,M,axel_disasi,827243,EUR,889574400,D,3,3,False,63.0,59.0,2.0,1.0,0.0,41.0,41.0,18.0,22.0,1.0,4.0,6.0,7.0,,,,,,,,,,90.0,75.0,6.6,5.0,0.00697208,0,,,,,,3.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12437019,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195,1992,M,,303638,EUR,731980800,D,5,5,False,42.0,39.0,1.0,1.0,0.0,24.0,26.0,15.0,16.0,3.0,4.0,5.0,3.0,,,,,,,,,,90.0,53.0,7.0,3.0,0.0542385,1,,,,,,3.0,,1.0,1.0,,,,3.0,,,1.0,2.0,0.1172,,,,,,,,,,,,,
12437019,home,Aston Villa,Lucas Digne,lucas-digne,L. Digne,D,12,178,4442,M,LDigne,96538,EUR,743126400,D,12,12,False,24.0,19.0,1.0,1.0,1.0,8.0,12.0,12.0,13.0,1.0,3.0,3.0,3.0,,2.0,2.0,,,,,,,78.0,41.0,7.1,8.0,0.0965806,0,,,,1.0,1.0,2.0,2.0,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,
12437019,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3895,M,,250223,EUR,782438400,M,7,7,False,42.0,37.0,,,0.0,20.0,23.0,17.0,20.0,1.0,6.0,,1.0,,3.0,2.0,,,,,,,86.0,52.0,6.6,8.0,0.0683308,0,,,,1.0,,3.0,,1.0,,,,1.0,,1.0,2.0,,,,,1.0,True,1.0,1.0,,,,,,,,
12437019,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9789,M,youritielemans,331737,EUR,862963200,M,8,8,False,59.0,50.0,2.0,,0.0,22.0,24.0,28.0,36.0,,8.0,2.0,3.0,,5.0,3.0,,,,,,,90.0,82.0,7.8,13.0,0.0283608,2,,,,1.0,,3.0,1.0,3.0,2.0,,2.0,1.0,,,1.0,,1.0,0.1426,,,,1.0,,1.0,1.0,1.0,0.6145,,,,
12437019,home,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187,13638,M,mrogers,948261,EUR,1027641600,M,27,27,False,30.0,21.0,,,0.0,6.0,6.0,15.0,27.0,1.0,6.0,1.0,,,,,,,,,,,90.0,56.0,6.9,21.0,0.0646796,1,,,,3.0,,6.0,,7.0,4.0,,3.0,,2.0,1.0,1.0,1.0,1.0,0.0336,,,,,,,,,,,,,
12437019,home,Aston Villa,Marco Asensio,marco-asensio,M. Asensio,F,21,182,31005,M,marcoasensio10,361004,EUR,822182400,M,21,21,False,27.0,22.0,1.0,,0.0,5.0,5.0,17.0,22.0,,3.0,,3.0,,2.0,1.0,,,,,,,67.0,33.0,6.5,7.0,0.0119613,0,,,,,,4.0,2.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,
12437019,home,Aston Villa,Marcus Rashford,marcus-rashford,M. Rashford,M,14,185,357139,M,Rashford,814590,EUR,878256000,M,9,9,False,23.0,17.0,1.0,1.0,0.0,4.0,4.0,13.0,24.0,,4.0,,2.0,,1.0,1.0,,,,,,,67.0,39.0,6.9,16.0,0.0526969,1,,,,5.0,,3.0,,4.0,2.0,,1.0,,,1.0,1.0,,,0.0879,,,,,,1.0,,,,1.0,,,
