match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_penaltyConceded,stat_fouls,stat_dispossessed,stat_lastManTackle,stat_blockedScoringAttempt,stat_wasFouled,stat_totalOffside,stat_accurateCross,stat_keyPass,captain,stat_totalContest,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,player_sofascoreId,stat_bigChanceMissed,stat_penaltyWon
10434087,home,Alanyaspor,Rúnar Alex Rúnarsson,runar-alex-runarsson,R. Rúnarsson,G,31,185,415,M,187023,EUR,793065600,G,13,13,False,28.0,10.0,27.0,9.0,2.0,4.0,8.0,24.0,1.0,9.0,2.0,2.0,2.0,90.0,35.0,6.0,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434087,home,Alanyaspor,Daniel Candeias,daniel-candeias,D. Candeias,M,21,177,77,M,41835,EUR,572745600,D,21,21,False,17.0,8.0,6.0,2.0,5.0,10.0,3.0,9.0,1.0,6.0,,,,81.0,31.0,6.1,14.0,0,Daniel,Candeias,2.0,4.0,4.0,4.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10434087,home,Alanyaspor,Furkan Bayır,furkan-bayir,F. Bayır,D,23,188,77,M,1003161,EUR,950054400,D,4,4,False,21.0,16.0,5.0,1.0,13.0,15.0,3.0,6.0,6.0,5.0,,,,90.0,34.0,6.2,5.0,1,,,,5.0,3.0,,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
10434087,home,Alanyaspor,Joher Khadim Rassoul,joher-khadim-rassoul,J. K. Rassoul,D,89,187,111,M,800344,EUR,820368000,D,23,23,False,17.0,12.0,5.0,2.0,7.0,7.0,5.0,10.0,9.0,4.0,,,,90.0,38.0,6.4,9.0,0,Joher,Khadim Rassoul,,3.0,7.0,,3.0,3.0,3.0,1.0,4.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10434087,home,Alanyaspor,Yusuf Özdemir,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,D,88,88,False,27.0,20.0,5.0,1.0,14.0,16.0,6.0,12.0,4.0,7.0,,,,90.0,56.0,6.3,14.0,1,Yusuf Ozdemir,,1.0,4.0,3.0,2.0,2.0,2.0,3.0,,,,1.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,
10434087,home,Alanyaspor,Umut Güneş,umut-gunes,U. Güneş,M,20,177,131,M,876782,EUR,953164800,M,6,6,False,18.0,13.0,4.0,2.0,9.0,11.0,5.0,8.0,1.0,1.0,,,,90.0,28.0,6.8,5.0,0,,,1.0,4.0,5.0,1.0,4.0,2.0,,2.0,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,
10434087,home,Alanyaspor,Arnaud Lusamba,arnaud-lusamba,A. Lusamba,M,11,180,284,M,361342,EUR,852336000,M,97,97,False,27.0,23.0,6.0,4.0,9.0,10.0,14.0,17.0,,5.0,,,,90.0,36.0,6.3,6.0,0,,,,6.0,4.0,3.0,3.0,2.0,,1.0,,,,2.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,
10434087,home,Alanyaspor,Efecan Karaca,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,29.0,18.0,7.0,3.0,8.0,15.0,10.0,14.0,1.0,6.0,,,,90.0,39.0,6.1,14.0,0,,,,5.0,4.0,1.0,2.0,,1.0,,,,,,,2.0,1.0,,,2.0,,,,True,1.0,,,,,,,,
10434087,home,Alanyaspor,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,11,185,168,M,800458,EUR,811036800,M,11,11,False,9.0,9.0,,,6.0,6.0,3.0,3.0,,1.0,,,,65.0,16.0,6.9,1.0,0,,,,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10434087,home,Alanyaspor,Ivan Cavaleiro,ivan-cavaleiro,I. Cavaleiro,F,,175,373,M,110950,EUR,750902400,M,19,19,False,21.0,16.0,1.0,1.0,6.0,9.0,11.0,14.0,1.0,6.0,,,,81.0,39.0,6.9,11.0,0,,,2.0,12.0,6.0,5.0,1.0,1.0,2.0,3.0,1.0,,,1.0,,1.0,2.0,,,1.0,,1.0,2.0,,4.0,1.0,3.0,1.0,,,,,
