match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_interceptionWon,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_accurateCross,stat_fouls,stat_blockedScoringAttempt,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_totalOffside,captain,stat_errorLeadToAShot,stat_goodHighClaim,stat_hitWoodwork
11352441,home,Sheffield United,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,13,13,False,35.0,23.0,18.0,6.0,18.0,20.0,5.0,15.0,1.0,1.0,1.0,13.0,5.0,5.0,1.0,1.0,90.0,49.0,6.6,12.0,0.00805743,0,-0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352441,home,Sheffield United,Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,805,M,929132,EUR,964656000,D,20,20,False,43.0,35.0,6.0,5.0,20.0,23.0,15.0,22.0,1.0,,1.0,7.0,,,,,90.0,59.0,6.8,13.0,0.0339428,2,,2.0,1.0,4.0,8.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,0.1614,0.1737,,,,,,,,,,,,,,,,,,
11352441,home,Sheffield United,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1549,M,825899,EUR,922406400,D,15,15,False,57.0,47.0,6.0,3.0,39.0,45.0,8.0,12.0,1.0,,2.0,4.0,,,,,90.0,64.0,6.4,11.0,0.0104367,0,,,,2.0,3.0,,,,,1.0,1.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,
11352441,home,Sheffield United,Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,817,M,822459,EUR,902880000,D,5,5,False,48.0,41.0,5.0,3.0,35.0,38.0,6.0,10.0,1.0,,,4.0,,,,,90.0,61.0,6.5,9.0,0.0805236,1,,,,2.0,4.0,,,,1.0,1.0,1.0,1.0,0.0463,0.314,1.0,,,1.0,2.0,,,,,,,,,,,,,
11352441,home,Sheffield United,Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,72,M,282665,EUR,776044800,D,23,23,False,46.0,32.0,12.0,3.0,16.0,20.0,17.0,32.0,3.0,,2.0,3.0,,,,,90.0,77.0,6.0,22.0,0.0307932,0,,6.0,1.0,1.0,4.0,,,,,1.0,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,
11352441,home,Sheffield United,Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,21,21,False,25.0,23.0,1.0,,9.0,10.0,14.0,16.0,3.0,,1.0,3.0,,,,,68.0,39.0,6.8,5.0,0.0217954,2,,1.0,,1.0,5.0,1.0,,,1.0,4.0,2.0,,0.1311,0.049,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,
11352441,home,Sheffield United,Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180,217,M,1191153,EUR,1073520000,M,24,24,False,52.0,40.0,5.0,3.0,12.0,16.0,28.0,36.0,5.0,,,2.0,,,,,90.0,63.0,6.7,14.0,0.0652372,0,,,2.0,1.0,6.0,2.0,2.0,,,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,
11352441,home,Sheffield United,James McAtee,,,james-mcatee,J. McAtee,M,24,180,10550,M,1003334,EUR,1034899200,M,28,28,False,43.0,32.0,3.0,2.0,15.0,17.0,19.0,31.0,2.0,1.0,2.0,11.0,,,,,90.0,64.0,7.9,18.0,0.683391,3,,5.0,,1.0,3.0,1.0,,1.0,1.0,2.0,1.0,3.0,0.1572,0.4049,,1.0,5.0,,,2.0,,1.0,jamesmcatee_,1.0,1.0,,,,,,,
11352441,home,Sheffield United,Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1011,M,837495,EUR,867110400,M,8,8,False,34.0,25.0,6.0,2.0,8.0,10.0,18.0,30.0,4.0,1.0,,7.0,,,,,78.0,51.0,7.4,18.0,0.227937,2,,6.0,,,3.0,1.0,1.0,,2.0,1.0,,2.0,0.1908,0.3659,1.0,,3.0,,1.0,1.0,2.0,,,,,1.0,,,,,,
11352441,home,Sheffield United,Ben Brereton Díaz,,,ben-brereton-diaz,B. Brereton Díaz,M,25,188,6380,M,867583,EUR,924393600,M,11,11,False,28.0,24.0,2.0,2.0,4.0,4.0,20.0,25.0,4.0,,4.0,5.0,,,,,90.0,53.0,7.0,11.0,0.0621026,4,,1.0,,1.0,3.0,3.0,,,3.0,2.0,1.0,2.0,0.67,0.8532,1.0,2.0,1.0,,,,,1.0,ben.brereton,,,,1.0,1.0,,,,
