match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_unsuccessfulTouch,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_aerialWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_interceptionWon,stat_wasFouled,stat_dispossessed,stat_shotOffTarget,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_errorLeadToAShot,stat_punches,stat_goalAssist,stat_goals,stat_hitWoodwork
11409124,home,Famalicão,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,31,31,False,23.0,16.0,7.0,1.0,15.0,18.0,1.0,5.0,6.0,1.0,2.0,3.0,1.0,1.0,90.0,34.0,6.3,8.0,0.00014115,14.154904570961,3.0,6.51,4.83,0,-0.9447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409124,home,Famalicão,Nathan,,,nathan,Nathan,D,22,183,482,M,1016912,EUR,999648000,D,22,22,False,19.0,15.0,2.0,,12.0,16.0,4.0,4.0,4.0,,,,,,71.0,30.0,6.4,7.0,0.0527793,71.135423480376,9.0,26.355,24.675,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.875371859133,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11409124,home,Famalicão,Riccieli,,,riccieli,Riccieli,D,5,184,208,M,927166,EUR,905990400,D,15,15,False,44.0,28.0,12.0,4.0,26.0,34.0,2.0,10.0,3.0,,,,,,90.0,58.0,6.6,17.0,0.00039609,67.532734225382,9.0,34.02,8.61,1,,,,2.0,3.0,8.0,,,5.0,,,,,,True,7.0,1.0,1.0,1.0,1.0,1.0,0.0469,,,,,,,,,,,,,,,
11409124,home,Famalicão,Justin De Haas,,,justin-de-haas,J. De Haas,D,16,192,307,M,876255,EUR,949363200,D,16,16,False,51.0,41.0,12.0,5.0,30.0,31.0,11.0,20.0,6.0,,,,,,90.0,57.0,6.3,11.0,0.0507344,97.545038888525,14.0,-21.42,10.605,0,,,,,1.0,4.0,,,2.0,1.0,,,,,,3.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
11409124,home,Famalicão,Francisco Moura,,,francisco-moura,F. Moura,D,74,181,1191,M,985138,EUR,934761600,D,74,74,False,30.0,28.0,6.0,5.0,12.0,12.0,19.0,23.0,4.0,,,,,,90.0,56.0,6.9,10.0,0.137209,87.107557825198,10.0,40.53,15.75,1,,5.0,3.0,2.0,4.0,4.0,,,1.0,2.0,,,,1.0,,,1.0,,3.0,2.0,2.0,0.0442,,1.0,,,,,,,,,,,,,
11409124,home,Famalicão,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183,570,M,862194,EUR,931651200,M,28,28,False,23.0,16.0,8.0,5.0,10.0,12.0,6.0,12.0,6.0,,,,,,80.0,38.0,6.4,11.0,0.00396625,72.931694389307,10.0,-27.93,6.3,2,,1.0,,,4.0,6.0,,,,2.0,,,,,,1.0,,,1.0,,3.0,0.0468,2.0,5.0,1.0,2.0,,,,,,,,,,,
11409124,home,Famalicão,Mirko Topić,,,mirko-topic,M. Topić,M,22,190,486,M,980797,EUR,981331200,M,8,8,False,34.0,28.0,5.0,3.0,20.0,23.0,8.0,11.0,3.0,,,,,,90.0,42.0,6.7,7.0,0.00598528,44.299819132425,6.0,17.115,8.4,2,,,,,3.0,4.0,,,1.0,,,,,,,3.0,,,1.0,1.0,2.0,0.2006,1.0,,1.0,2.0,,,,,,,,,,,
11409124,home,Famalicão,Théo Fonseca,Théo Fonseca,,theo-fonseca,T. Fonseca,F,95,178,41,M,1161023,EUR,960681600,M,95,95,False,12.0,9.0,3.0,1.0,2.0,4.0,7.0,11.0,2.0,,,,,,67.0,28.0,6.7,10.0,0.00305312,58.658852160502,7.0,23.73,18.48,0,,3.0,,1.0,3.0,7.0,,,1.0,3.0,,,,,,2.0,,,3.0,1.0,2.0,,,2.0,,,,,,,,,,,,,
11409124,home,Famalicão,Gustavo Sá,,,gustavo-sa,G. Sá,M,20,186,1268,M,1563665,EUR,1100131200,M,20,20,False,15.0,12.0,6.0,4.0,1.0,3.0,12.0,14.0,4.0,,,,,,67.0,30.0,6.9,8.0,0.268617,29.507583448744,6.0,3.57,4.935,2,,2.0,1.0,,3.0,6.0,4.0,2.0,1.0,2.0,,,,1.0,,1.0,2.0,,,,,0.1682,,3.0,,,1.0,,,,,,,,,,
11409124,home,Famalicão,José Luis Rodríguez,,,jose-luis-rodriguez,J. L. Rodríguez,M,11,180,747,M,842253,EUR,898214400,M,7,7,False,11.0,8.0,1.0,,3.0,3.0,10.0,16.0,5.0,,,,,,86.0,47.0,7.4,18.0,0.642539,117.77655614505,13.0,33.915,15.54,0,,8.0,5.0,1.0,10.0,12.0,15.0,6.0,,3.0,,12.844940210059,1.0,4.0,,1.0,,,2.0,2.0,,,,3.0,,,,1.0,,,,,,,,,
