match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_shotOffTarget,stat_fouls,stat_goals,player_sofascoreId,stat_goalAssist,stat_totalOffside,stat_bigChanceMissed
10408568,home,Real Valladolid,Jordi Masip,jordi-masip,J. Masip,G,180,189,M,128600,EUR,599788800,G,1,1,False,True,28.0,17.0,23.0,12.0,10.0,11.0,7.0,17.0,1.0,10.0,1.0,1.0,4.0,6.0,90.0,38.0,8.3,11.0,0.0,0.0,0.00297512,0,1.5959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408568,home,Real Valladolid,Iván Fresneda,ivan-fresneda,I. Fresneda,D,183,1941,M,1167818,EUR,1096243200,D,27,27,False,,28.0,22.0,4.0,2.0,9.0,9.0,14.0,22.0,3.0,6.0,1.0,,,,90.0,50.0,7.1,13.0,0.0285,0.0,0.0646187,1,,,,22,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
10408568,home,Real Valladolid,Joaquín Fernández,joaquin-fernandez,J. Fernández,D,190,92,M,822923,EUR,833500800,D,24,24,False,,31.0,25.0,2.0,,17.0,19.0,8.0,12.0,9.0,3.0,2.0,,,,90.0,45.0,7.3,6.0,0.0,0.0,0.00611273,0,,,,24,,,1.0,3.0,,,4.0,4.0,1.0,,3.0,2.0,2.0,,,,,,,,,,,,,
10408568,home,Real Valladolid,Jawad El Yamiq,jawad-el-yamiq,J. E. Yamiq,D,190,4375,M,877103,EUR,699321600,D,15,15,False,,35.0,24.0,6.0,,13.0,20.0,11.0,15.0,4.0,5.0,1.0,,,,64.0,47.0,6.8,12.0,0.0335,0.0,0.003014,1,,,,18,,,1.0,1.0,,1.0,3.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
10408568,home,Real Valladolid,Sergio Escudero,sergio-escudero,S. Escudero,D,176,182,M,88859,EUR,620697600,D,18,18,False,,26.0,18.0,4.0,1.0,6.0,7.0,13.0,23.0,4.0,7.0,,,,,71.0,42.0,7.1,11.0,0.031,0.5882,0.061218,1,,,,18,4.0,1.0,,1.0,,,4.0,1.0,,,2.0,1.0,,1.0,1.0,,,1.0,,,,,,,,
10408568,home,Real Valladolid,Kike Pérez,kike-perez,K. Pérez,M,184,312,M,857178,EUR,855878400,M,4,4,False,,44.0,35.0,6.0,3.0,13.0,17.0,23.0,28.0,3.0,9.0,1.0,,,,90.0,54.0,7.2,9.0,0.0348,0.0,0.230179,1,,,,71,1.0,1.0,1.0,8.0,,,1.0,1.0,1.0,5.0,1.0,3.0,2.0,,,,,,1.0,1.0,4.0,,,,,
10408568,home,Real Valladolid,Martin Hongla,martin-hongla,M. Hongla,M,183,1195,M,856062,EUR,890006400,M,20,20,False,,35.0,29.0,5.0,,25.0,28.0,4.0,7.0,1.0,7.0,,,,,90.0,47.0,6.8,9.0,0.0,0.0,0.0014395,0,,,,78,,,1.0,2.0,,,6.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,
10408568,home,Real Valladolid,Monchu,monchu,Monchu,M,173,615,M,859774,EUR,937180800,M,8,8,False,,31.0,25.0,5.0,3.0,16.0,18.0,9.0,15.0,2.0,7.0,,,,,71.0,38.0,7.3,10.0,0.2026,0.619,0.0123026,1,,,,6,2.0,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,1.0,,,,
10408568,home,Real Valladolid,Gonzalo Plata,gonzalo-plata,G. Plata,M,178,20323,M,937937,EUR,973036800,F,11,11,False,,20.0,16.0,,,4.0,7.0,12.0,13.0,10.0,5.0,1.0,,,,89.0,51.0,7.5,8.0,0.0723,0.138,0.17286,3,,,,19,,,,11.0,1.0,2.0,,6.0,3.0,2.0,,5.0,3.0,5.0,3.0,,,1.0,,,3.0,,gonzaloplata,1.0,1.0,
10408568,home,Real Valladolid,Cyle Larin,cyle-larin,C. Larin,F,187,1609,M,790179,EUR,798076800,F,25,25,False,,19.0,13.0,1.0,,6.0,6.0,7.0,13.0,3.0,5.0,1.0,,,,90.0,40.0,6.4,12.0,0.6195,0.7381,0.0179703,5,,,,9,,,5.0,11.0,2.0,1.0,1.0,,,1.0,2.0,,,1.0,,,3.0,1.0,,3.0,3.0,,,,,1.0
