match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_interceptionWon,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_challengeLost,player_sofascoreId,stat_goals,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_lastManTackle
12499819,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,True,32.0,24.0,14.0,6.0,0.0,20.0,21.0,4.0,11.0,7.0,2.0,1.0,1.0,90.0,40.0,7.1,8.0,0.00091226,0,0.0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499819,home,Eintracht Frankfurt,Nnamdi Collins,nnamdi-collins,N. Collins,D,34,191,1316,M,1048569,EUR,1073692800,D,34,34,False,,47.0,41.0,6.0,3.0,0.0,25.0,26.0,16.0,25.0,6.0,,,,90.0,80.0,7.4,16.0,0.0181557,0,,Nnamdi Collins,,4.0,2.0,6.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12499819,home,Eintracht Frankfurt,Robin Koch,robin-koch,R. Koch,D,4,190,1832,M,581302,EUR,837561600,D,4,4,False,,59.0,53.0,2.0,,0.0,39.0,41.0,14.0,18.0,3.0,,,,90.0,70.0,7.1,6.0,0.00648727,0,,,,,,1.0,2.0,,,8.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
12499819,home,Eintracht Frankfurt,Arthur Theate,arthur-theate,A. Theate,D,3,186,2196,M,965778,EUR,959212800,D,3,3,False,,74.0,59.0,13.0,5.0,0.0,34.0,41.0,25.0,34.0,10.0,,,,90.0,89.0,7.8,16.0,0.147748,2,,,,1.0,,2.0,4.0,,,6.0,,2.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,0.0589,0.049,1.0,,,,,,,,,,
12499819,home,Eintracht Frankfurt,Nathaniel Brown,nathaniel-brown,N. Brown,D,21,179,1784,M,1159759,EUR,1055721600,D,21,21,False,,29.0,22.0,4.0,1.0,0.0,15.0,18.0,8.0,13.0,4.0,,,,90.0,54.0,7.2,12.0,0.11899,0,,,,2.0,,5.0,6.0,,2.0,2.0,,6.0,5.0,1.0,,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,
12499819,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,M,27,27,False,,48.0,34.0,,,0.0,9.0,13.0,25.0,36.0,7.0,,,,81.0,58.0,7.7,16.0,0.260925,1,,,,1.0,,1.0,2.0,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,0.2708,0.6892,2.0,,,MarioGotze,1.0,,,,,,
12499819,home,Eintracht Frankfurt,Tuta,tuta,Tuta,D,3,184,1088,M,964191,EUR,931046400,M,35,35,False,,45.0,40.0,1.0,,0.0,20.0,21.0,20.0,24.0,6.0,,,,90.0,60.0,6.9,7.0,0.0260541,2,,,,,1.0,5.0,5.0,,2.0,5.0,1.0,2.0,1.0,1.0,,2.0,2.0,,,,,0.0422,,,,1.0,,,1.0,2.0,,,,
12499819,home,Eintracht Frankfurt,Ellyes Skhiri,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,15,15,False,,61.0,55.0,2.0,2.0,0.0,26.0,29.0,29.0,32.0,5.0,,,,90.0,70.0,7.6,8.0,0.409956,1,,,,,1.0,3.0,7.0,,1.0,1.0,,,,2.0,2.0,2.0,4.0,,1.0,,,0.0322,,3.0,,,ellyes_skhiri,,1.0,1.0,,,,
12499819,home,Eintracht Frankfurt,Ansgar Knauff,ansgar-knauff,A. Knauff,M,7,180,2079,M,997012,EUR,1010620800,M,36,36,False,,22.0,16.0,,,0.0,6.0,7.0,10.0,16.0,,,,,66.0,32.0,6.6,13.0,0.0634849,0,,,,1.0,1.0,6.0,5.0,2.0,2.0,,,1.0,,2.0,2.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,
12499819,home,Eintracht Frankfurt,Hugo Ekitiké,hugo-ekitike,H. Ekitiké,F,22,190,97147,M,1048422,EUR,1024531200,F,11,11,False,,22.0,19.0,,,1.0,5.0,5.0,14.0,17.0,4.0,,,,89.0,35.0,7.2,6.0,0.349438,4,,Hugo Ekitiké,,,3.0,4.0,7.0,,4.0,,,,,2.0,1.0,1.0,2.0,,1.0,,1.0,0.5386,0.5329,3.0,,,hekitike,,4.0,3.0,2.0,1.0,,
