match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_dispossessed,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_shotOffTarget,stat_wasFouled,stat_keyPass,stat_challengeLost,player_firstName,player_lastName,stat_goals,stat_punches,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside
11407418,away,Napoli,Mário Rui,mario-rui,M. Rui,D,,168,1034,M,99546,EUR,675302400,D,6,6,False,43.0,38.0,10.0,6.0,14.0,14.0,26.0,33.0,1.0,,,67.0,57.0,6.8,8.0,0.152073,0,,4.0,1.0,4.0,,,,,4.0,,,,,1.0,,,,,1.0,,2.0,,,2.0,2.0,,,,,,,,,,,
11407418,away,Napoli,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180,18478,M,138605,EUR,769392000,M,20,20,False,46.0,39.0,5.0,1.0,17.0,18.0,22.0,30.0,5.0,,,84.0,57.0,7.2,11.0,0.17281,0,,2.0,1.0,3.0,2.0,2.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,1.0,,,,,2.0,1.0,,,,,zielu_94,1.0,,,,,
11407418,away,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,58.0,53.0,,,33.0,35.0,20.0,24.0,11.0,,,90.0,76.0,7.2,11.0,0.013368,0,,1.0,3.0,5.0,6.0,1.0,1.0,,1.0,,1.0,4.0,3.0,,,,,2.0,2.0,,,,1.0,,,,,,,StanLobotka,,,,,,
11407418,away,Napoli,Jens Cajuste,jens-cajuste,J. Cajuste,M,12,188,1162,M,857671,EUR,934243200,M,24,24,False,36.0,33.0,2.0,2.0,8.0,9.0,25.0,27.0,1.0,,,90.0,53.0,6.4,6.0,0.0184781,2,,,4.0,9.0,6.0,3.0,,1.0,2.0,,,4.0,4.0,,0.5147,0.1695,1.0,,,,,1.0,1.0,,2.0,,,,,,,2.0,1.0,,,
11407418,away,Napoli,Matteo Politano,matteo-politano,M. Politano,F,21,171,4493,M,235672,EUR,744336000,F,21,21,False,35.0,33.0,5.0,5.0,6.0,6.0,27.0,30.0,6.0,,,84.0,48.0,9.5,5.0,0.103811,6,,1.0,1.0,6.0,2.0,2.0,1.0,2.0,,,,1.0,1.0,2.0,0.4779,0.8862,,,1.0,,,2.0,,4.0,2.0,,,1.0,,,1.0,,,2.0,2.0,
11407418,away,Napoli,Giacomo Raspadori,giacomo-raspadori,G. Raspadori,F,18,172,8190,M,865651,EUR,950832000,F,81,81,False,18.0,12.0,3.0,2.0,2.0,2.0,11.0,18.0,1.0,,,66.0,32.0,8.2,9.0,0.247201,6,,2.0,,1.0,2.0,,,3.0,,,,,,1.0,0.3246,0.6801,,,1.0,,1.0,,2.0,2.0,,,,,,giacomo.raspadori,2.0,,,1.0,3.0,
11407418,away,Napoli,Khvicha Kvaratskhelia,khvicha-kvaratskhelia,K. Kvaratskhelia,F,7,183,97764,M,889259,EUR,981936000,F,77,77,False,29.0,24.0,2.0,2.0,5.0,6.0,20.0,24.0,1.0,,,77.0,43.0,8.9,8.0,0.156155,3,,1.0,,3.0,4.0,2.0,1.0,2.0,,,,,,,0.3553,0.8813,,,2.0,,1.0,1.0,3.0,2.0,2.0,,,2.0,,Kvaradona,,,,,,
11407418,away,Napoli,Giovanni Simeone,giovanni-simeone,G. Simeone,F,18,179,9782,M,341143,EUR,804902400,F,18,18,True,6.0,5.0,1.0,1.0,,,5.0,6.0,,,,24.0,11.0,6.7,2.0,0.00648776,1,,,2.0,3.0,2.0,,,,,,,,,,0.3439,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,simeonegiovanni,,,,,,2.0
11407418,away,Napoli,Alessandro Zanoli,zanoli-alessandro,A. Zanoli,M,59,186,923,M,922928,EUR,970531200,D,59,59,True,20.0,19.0,,,10.0,10.0,9.0,11.0,1.0,,,23.0,23.0,6.5,3.0,0.00620042,0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,away,Napoli,Jesper Lindstrøm,jesper-lindstrom,J. Lindstrøm,M,19,182,2672,M,947929,EUR,951782400,M,29,29,True,11.0,10.0,1.0,,1.0,1.0,9.0,10.0,,,,13.0,14.0,6.6,2.0,0.215835,1,,,,3.0,1.0,2.0,1.0,,,,,,,1.0,0.0977,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,
11407418,away,Napoli,Gianluca Gaetano,gaetano-gianluca,G. Gaetano,M,10,183,1108,M,902019,EUR,957484800,M,70,70,True,3.0,3.0,,,1.0,1.0,2.0,2.0,1.0,,,10.0,7.0,6.8,1.0,0.00148466,1,,,,1.0,,,,1.0,1.0,,,,,,0.1024,0.1277,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
11407418,away,Napoli,Alessio Zerbin,alessio-zerbin,A. Zerbin,M,7,182,1060,M,869888,EUR,920419200,F,23,23,True,3.0,3.0,,,,,3.0,3.0,,,,10.0,7.0,6.5,1.0,0.00088509,1,,,,3.0,1.0,,,1.0,,,,,,,0.0786,0.0252,,,1.0,,,,1.0,,3.0,,,,,,,,,,,
11407418,away,Napoli,Pierluigi Gollini,pierluigi-gollini,P. Gollini,G,95,194,1254,M,329175,EUR,795484800,G,95,95,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,away,Napoli,Nikita Contini,nikita-contini,N. Contini,G,14,190,976,M,352728,EUR,832636800,G,14,14,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,away,Napoli,Luigi D'Avino,davino-luigi,L. D'Avino,D,15,186,137,M,1154899,EUR,1134000000,D,50,50,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Luigi D'Avino,,,,,,,,,,
11407418,away,Napoli,Leo Østigård,leo-ostigard,L. Østigård,D,5,182,1809,M,879746,EUR,943747200,D,55,55,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,away,Napoli,Mathías Olivera,mathias-olivera,M. Olivera,D,17,184,3517,M,805078,EUR,878256000,D,17,17,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,away,Napoli,Diego Demme,diego-demme,D. Demme,M,6,170,333,M,124318,EUR,690681600,M,4,4,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
