match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalCross,stat_shotOffTarget,captain,stat_onTargetScoringAttempt,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,player_firstName,player_lastName,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork
11204740,home,New Mexico United,Ford Parker,ford-parker,F. Parker,G,33,188,3,M,1019852,EUR,840153600.0,G,12,12,False,21.0,9.0,19.0,7.0,4.0,5.0,5.0,16.0,5.0,3.0,3.0,90.0,25.0,6.8,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11204740,home,New Mexico United,Harry Swartz,harry-swartz,H. Swartz,M,33,175,8,M,983871,EUR,827193600.0,D,33,33,False,23.0,20.0,3.0,2.0,14.0,16.0,6.0,7.0,5.0,,,67.0,51.0,7.2,10.0,0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11204740,home,New Mexico United,Kalen Ryden,kalen-ryden,K. Ryden,D,22,188,2,M,791537,EUR,671414400.0,D,22,22,False,35.0,30.0,9.0,5.0,21.0,22.0,9.0,13.0,4.0,,,90.0,45.0,7.3,5.0,0,1.0,2.0,1.0,6.0,,,2.0,,3.0,3.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
11204740,home,New Mexico United,Will Seymore,seymore-will,W. Seymore,D,16,180,3,M,1019912,EUR,699321600.0,D,16,16,False,51.0,41.0,5.0,1.0,30.0,36.0,11.0,15.0,9.0,,,90.0,65.0,6.9,11.0,0,1.0,3.0,4.0,9.0,1.0,,5.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11204740,home,New Mexico United,Josh Suggs,josh-suggs,J. Suggs,D,,183,1,M,881672,EUR,609552000.0,D,5,5,False,40.0,29.0,7.0,1.0,14.0,17.0,15.0,25.0,8.0,,,90.0,61.0,6.4,20.0,1,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,
11204740,home,New Mexico United,Sam Hamilton,sam-hamilton,S. Hamilton,D,12,184,1,M,867774,EUR,806716800.0,M,4,4,False,22.0,17.0,2.0,,11.0,12.0,6.0,10.0,3.0,,,90.0,37.0,6.4,8.0,1,2.0,2.0,7.0,4.0,2.0,2.0,3.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,True,1.0,,,,,,,,,,,
11204740,home,New Mexico United,Justin Portillo,justin-portillo,J. Portillo,M,43,170,3,M,881498,EUR,715996800.0,M,43,43,False,51.0,43.0,13.0,7.0,21.0,24.0,23.0,28.0,3.0,,,90.0,58.0,6.9,8.0,1,,1.0,,1.0,,,3.0,1.0,,,,,,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,
11204740,home,New Mexico United,Daniel Bruce,daniel-bruce,D. Bruce,F,25,168,5,M,983867,EUR,831945600.0,M,25,25,False,17.0,8.0,5.0,1.0,2.0,3.0,6.0,14.0,7.0,,,74.0,28.0,6.9,13.0,1,,1.0,3.0,6.0,,1.0,,1.0,2.0,,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,1.0,,,,,,,,,
11204740,home,New Mexico United,Greg Hurst,greg-hurst,G. Hurst,F,17,180,9,M,818317,EUR,860457600.0,M,17,17,False,10.0,7.0,3.0,2.0,1.0,2.0,6.0,8.0,3.0,,,57.0,17.0,7.3,4.0,3,2.0,2.0,4.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,2.0,,,1.0,,,,,,,,
11204740,home,New Mexico United,Santi Moar,santi-moar,S. Moar,M,,177,10,M,983902,EUR,747187200.0,M,11,11,False,42.0,36.0,5.0,3.0,12.0,12.0,25.0,35.0,8.0,,,90.0,65.0,7.3,13.0,4,2.0,1.0,5.0,7.0,,1.0,,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,5.0,1.0,,,1.0,3.0,,,,,,,,,
