match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,captain,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_goals,stat_fouls,player_sofascoreId,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_errorLeadToAGoal,stat_errorLeadToAShot
14053834,away,SC Heerenveen,Bernt Klaverboer,klaverboer-bernt,B. Klaverboer,G,22,190.0,124,M,1195719,EUR,1127692800,G,22,22,False,41.0,25.0,26.0,10.0,0.0,18.0,23.0,7.0,18.0,,10.0,,,90.0,55.0,6.8,16.0,0.0106566,28.609284829138,5.0,3.4918858339343,,,,0,0.16,-0.03,-0.51,Bernt Klaverboer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,0.4005,-0.6426,0.25,,
14053834,away,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,45,174.0,214,M,1150061,EUR,1077321600,D,45,45,False,29.0,21.0,3.0,1.0,0.0,13.0,16.0,8.0,13.0,3.0,4.0,,,90.0,53.0,6.0,14.0,0.0180976,164.67347595878,14.0,42.217102752551,30.247590980437,63.544174659357,2.0,0,-0.04,-0.09,-0.66,Oliver Braude,,,1.0,1.0,6.0,7.0,1.0,,,,1.0,1.0,3.0,2.0,2.0,,,,,,1.0,,2.0,3.0,2.0,,1.0,,,,,,,,,,,
14053834,away,SC Heerenveen,Sam Kersten,sam-kersten,S. Kersten,D,4,191.0,83,M,847072,EUR,886118400,D,4,4,False,28.0,21.0,5.0,2.0,0.0,16.0,22.0,5.0,6.0,7.0,1.0,,,61.0,41.0,5.5,8.0,0.00375453,68.646833552178,7.0,19.434912297339,,,,0,0.0,-0.02,-0.79,,,,,,2.0,3.0,1.0,,,,,,2.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,
14053834,away,SC Heerenveen,Maas Willemsen,maas-willemsen,M. Willemsen,D,3,190.0,70,M,1132765,EUR,1051574400,D,3,3,False,45.0,36.0,5.0,1.0,0.0,29.0,33.0,7.0,12.0,4.0,6.0,,,90.0,63.0,5.7,11.0,0.00741809,188.44247206146,19.0,-2.1459910106752,,,,0,0.01,0.02,-0.59,Maas Willemsen,,,2.0,,5.0,4.0,,,,,2.0,1.0,2.0,1.0,,,,,,,,,2.0,2.0,2.0,,1.0,,,,,,,,,,,1.0
14053834,away,SC Heerenveen,Vasilios Zagaritis,vassilis-zagaritis,V. Zagaritis,D,19,178.0,227,M,1064426,EUR,988934400,D,19,19,False,21.0,15.0,,,0.0,10.0,12.0,5.0,9.0,2.0,,,,79.0,40.0,5.5,12.0,0.291138,32.464064988221,6.0,-1.6015408323551,,,,0,0.26,0.12,-0.74,,,2.0,1.0,3.0,3.0,5.0,1.0,,,,,2.0,,,3.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,
14053834,away,SC Heerenveen,Marcus Linday,marcus-linday,M. Linday,M,16,186.0,207,M,1627623,EUR,1054512000,M,16,16,False,33.0,27.0,,,0.0,9.0,10.0,18.0,23.0,1.0,6.0,,,90.0,42.0,6.2,7.0,0.0325483,94.835674478432,14.0,2.1222670406549,,,,0,-0.11,0.01,-0.18,Marcus Linday,,,2.0,,5.0,4.0,1.0,,,,,1.0,3.0,2.0,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,
14053834,away,SC Heerenveen,Joris van Overeem,joris-van-overeem,J. v. Overeem,M,6,181.0,103,M,138842,EUR,770428800,M,6,6,False,47.0,33.0,4.0,1.0,0.0,15.0,20.0,18.0,27.0,1.0,4.0,,,90.0,56.0,6.4,19.0,0.032397,121.33017733515,18.0,55.171543766813,,,,0,0.18,0.06,-0.25,,,1.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Jacob Trenskow,trenskow-jacob,J. Trenskow,M,20,178.0,432,M,1015627,EUR,975196800,M,20,20,False,19.0,17.0,,,0.0,4.0,5.0,13.0,14.0,,1.0,,,61.0,27.0,6.5,6.0,0.115798,87.339259807407,10.0,36.619956825535,19.093192476473,48.887130237359,3.0,2,-0.07,0.29,-0.17,,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,2.0,0.0649,,1.0,-0.18,,,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Luuk Brouwers,luuk-brouwers,L. Brouwers,M,8,180.0,141,M,794014,EUR,894153600,M,8,8,False,25.0,25.0,4.0,4.0,0.0,11.0,11.0,14.0,14.0,3.0,3.0,,,69.0,30.0,6.7,,0.0374791,81.196841015755,11.0,37.648863783183,8.7703350038359,9.3650183662393,1.0,0,0.18,0.16,-0.15,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Ringo Meerveld,ringo-meerveld,R. Meerveld,M,10,177.0,424,M,992018,EUR,1040428800,M,10,10,False,24.0,16.0,3.0,1.0,0.0,7.0,9.0,9.0,15.0,3.0,5.0,,,90.0,37.0,6.5,9.0,0.0407381,60.767477640777,8.0,7.4456870491177,11.311307736059,11.370868216631,1.0,1,-0.38,0.16,-0.05,,,,1.0,1.0,2.0,5.0,,1.0,,,,,2.0,1.0,,0.0956,,,-0.2,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Amourricho van Axel-Dongen,amourricho-van-axel-dongen,A. v. Axel-Dongen,F,26,175.0,482,M,1022376,EUR,1096416000,F,26,26,False,5.0,4.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,,2.0,,,45.0,18.0,6.2,7.0,0.0025707,20.540170926632,4.0,-1.3295061208224,,,,1,0.03,-0.07,0.18,,,1.0,5.0,1.0,11.0,3.0,,1.0,,,1.0,,,,2.0,0.1744,,,-0.55,,1.0,,1.0,3.0,1.0,,3.0,,1.0,,,,,,,,,
