match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_aerialWon,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_goalAssist,stat_errorLeadToAShot,stat_errorLeadToAGoal
11368751,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189,6832,M,unai_simon,797291,EUR,865987200,G,1,1,False,23.0,11.0,21.0,9.0,5.0,5.0,6.0,18.0,1.0,2.0,1.0,3.0,3.0,90.0,28.0,6.7,12.0,0.00337326,0,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368751,home,Athletic Club,Íñigo Lekue,inigo-lekue,Í. Lekue,D,15,180,388,M,,801837,EUR,736473600,D,15,15,False,12.0,8.0,1.0,1.0,6.0,7.0,2.0,5.0,,1.0,,,,31.0,16.0,6.4,5.0,0.00137719,0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368751,home,Athletic Club,Daniel Vivian,daniel-vivian,D. Vivian,D,3,183,3110,M,,910978,EUR,931132800,D,3,3,False,35.0,32.0,5.0,4.0,28.0,29.0,4.0,6.0,1.0,5.0,1.0,,,90.0,47.0,7.3,3.0,0.00234248,0,,4.0,,2.0,,,2.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11368751,home,Athletic Club,Yeray Álvarez,yeray-alvarez,Y. Álvarez,D,5,183,811,M,,807648,EUR,790905600,D,5,5,False,41.0,34.0,13.0,8.0,27.0,28.0,7.0,13.0,3.0,6.0,,,,86.0,49.0,7.2,7.0,0.0115834,1,,2.0,,2.0,,,,2.0,,,3.0,3.0,1.0,0.0515,0.3397,,,,,,,,,,,,,,,,,,,
11368751,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181,1146,M,,84531,EUR,634608000,D,17,17,False,26.0,21.0,5.0,2.0,7.0,8.0,15.0,19.0,6.0,4.0,3.0,,,90.0,46.0,7.1,7.0,0.0865821,0,,4.0,,3.0,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,
11368751,home,Athletic Club,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174,944,M,,96365,EUR,744595200,M,16,16,False,31.0,24.0,2.0,1.0,5.0,8.0,19.0,24.0,8.0,7.0,3.0,,,90.0,44.0,6.7,11.0,0.0289499,0,,8.0,,4.0,,,,,,,1.0,1.0,,,,1.0,,1.0,2.0,1.0,,3.0,2.0,,2.0,,,,,,,,,
11368751,home,Athletic Club,Beñat Prados,benat-prados,B. Prados,M,24,179,600,M,,1012409,EUR,981590400,M,24,24,False,22.0,20.0,1.0,,8.0,8.0,12.0,14.0,7.0,5.0,2.0,,,86.0,34.0,7.0,3.0,0.0257557,0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,5.0,4.0,1.0,,,,,,,,,,
11368751,home,Athletic Club,Iñaki Williams,inaki-williams,I. Williams,M,9,186,20741,M,IñakiWill,783374,EUR,771638400,M,9,9,False,33.0,20.0,1.0,1.0,5.0,8.0,15.0,25.0,5.0,4.0,,,,90.0,55.0,7.1,19.0,0.0493793,6,,5.0,3.0,1.0,,,,,,,1.0,1.0,3.0,1.0799,1.0708,,,2.0,2.0,1.0,,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,
11368751,home,Athletic Club,Unai Gómez,unai-gomez,U. Gómez,M,20,183,803,M,,1391375,EUR,1053820800,M,30,30,False,7.0,6.0,,,1.0,1.0,5.0,6.0,9.0,4.0,2.0,,,74.0,20.0,7.1,4.0,0.0314339,1,,4.0,,,,,1.0,,,,,2.0,,0.0565,,,,,2.0,2.0,,3.0,3.0,1.0,3.0,,1.0,,,,,,,
11368751,home,Athletic Club,Álex Berenguer,alex-berenguer,Á. Berenguer,M,7,175,1919,M,,592012,EUR,804816000,M,7,7,False,20.0,13.0,,,5.0,7.0,10.0,17.0,3.0,4.0,,,,90.0,38.0,8.2,13.0,0.132762,3,,8.0,1.0,1.0,,,3.0,,,,,1.0,3.0,0.4719,1.5217,4.0,2.0,1.0,1.0,,,2.0,1.0,2.0,2.0,1.0,,,,2.0,2.0,,,
