match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_interceptionWon,stat_keyPass,captain,stat_aerialLost,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_sofascoreId,stat_challengeLost,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,stat_wonContest,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_goalAssist
10407462,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1319,M,599114,EUR,802569600,G,1,1,False,32.0,25.0,17.0,10.0,18.0,18.0,7.0,14.0,1.0,1.0,1.0,1.0,16.0,1.0,3.0,1.0,2.0,90.0,48.0,5.4,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407462,home,Royal Antwerp FC,Ritchie De Laet,ritchie-de-laet,R. De Laet,D,,186,91,M,30420,EUR,596678400,D,2,2,False,39.0,24.0,6.0,1.0,11.0,12.0,14.0,29.0,1.0,,1.0,,,,,,,90.0,51.0,6.3,16.0,2,,,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10407462,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1451,M,44575,EUR,604800000,D,23,23,False,55.0,42.0,20.0,13.0,28.0,32.0,14.0,24.0,5.0,2.0,7.0,,2.0,,,,,90.0,70.0,7.4,14.0,5,,,1.0,,1.0,,,True,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10407462,home,Royal Antwerp FC,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25491,M,979480,EUR,1003190400,D,51,51,False,38.0,34.0,3.0,1.0,31.0,33.0,3.0,5.0,,3.0,3.0,,4.0,,,,,61.0,44.0,6.6,6.0,0,,,,,,,,,1.0,,,,1.0,3.0,2.0,,1.0,pachowilliam,1.0,1.0,,,,,,,,
10407462,home,Royal Antwerp FC,Sam Vines,sam-vines,S. Vines,D,3,178,116,M,894157,EUR,928108800,D,21,21,False,37.0,32.0,4.0,1.0,21.0,21.0,12.0,18.0,,2.0,4.0,,1.0,,,,,90.0,53.0,6.4,8.0,0,,,2.0,1.0,,,,,1.0,,,1.0,,4.0,2.0,,,,1.0,1.0,,,,,,,,
10407462,home,Royal Antwerp FC,Pieter Gerkens,pieter-gerkens,P. Gerkens,M,18,180,176,M,190401,EUR,808272000,M,16,16,False,26.0,20.0,3.0,2.0,6.0,7.0,14.0,20.0,3.0,2.0,5.0,,5.0,,,,,90.0,34.0,6.8,10.0,1,,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,,2.0,1.0,1.0,,,,,,
10407462,home,Royal Antwerp FC,Alhassan Yusuf,alhassan-yusuf,A. Yusuf,M,80,175,922,M,943114,EUR,963878400,M,8,8,False,54.0,46.0,4.0,3.0,24.0,27.0,22.0,27.0,1.0,4.0,11.0,4.0,9.0,,,,,90.0,77.0,7.1,11.0,0,,,,,,3.0,1.0,,,,,,,6.0,4.0,2.0,2.0,,,1.0,,,2.0,,,,,
10407462,home,Royal Antwerp FC,Calvin Stengs,calvin-stengs,C. Stengs,M,23,187,1745,M,857480,EUR,913939200,M,14,14,False,27.0,22.0,2.0,,7.0,7.0,18.0,28.0,1.0,10.0,4.0,3.0,1.0,,,,,86.0,51.0,6.7,20.0,1,,,8.0,3.0,,,5.0,,2.0,1.0,,1.0,,1.0,,,1.0,,1.0,3.0,5.0,,2.0,,,,,
10407462,home,Royal Antwerp FC,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1146,M,904887,EUR,954892800,M,24,24,False,16.0,14.0,,,4.0,4.0,10.0,12.0,,2.0,6.0,1.0,2.0,,,,,76.0,28.0,7.0,3.0,3,,,,,,1.0,,,2.0,2.0,,,,3.0,2.0,2.0,,,,1.0,,1.0,1.0,,,,,
10407462,home,Royal Antwerp FC,Michel Ange Balikwisha,michel-ange-balikwisha,M. A. Balikwisha,M,10,177,4176,M,923969,EUR,989452800,M,10,10,False,22.0,20.0,1.0,1.0,9.0,9.0,14.0,17.0,,3.0,6.0,2.0,3.0,,,,,76.0,39.0,7.6,5.0,0,,,4.0,3.0,,3.0,4.0,,,,,,,1.0,1.0,4.0,,,2.0,1.0,,,1.0,,,,,
