match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_shotValueNormalized,stat_interceptionWon,stat_errorLeadToAGoal,stat_fouls,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId
14053598,home,Go Ahead Eagles,Jari De Busser,jari-de-busser,J. D. Busser,G,22,190.0,278,M,837072,EUR,940464000,G,22,22,False,37.0,29.0,12.0,4.0,0.0,27.0,28.0,2.0,9.0,1.0,13.0,1.0,5.0,9.0,90.0,51.0,6.9,8.0,0.00181993,0.2398,0,0.6501,0.06,-0.03,-0.12,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053598,home,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180.0,335,M,794013,EUR,868924800,D,2,2,False,39.0,33.0,8.0,3.0,0.0,21.0,22.0,12.0,17.0,,5.0,,,,90.0,56.0,6.7,7.0,0.00906556,,1,,0.06,0.13,-0.14,,,,True,1.0,1.0,1.0,6.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0872,-0.49,,,,,,,,,,,,,,,,,,
14053598,home,Go Ahead Eagles,Gerrit Nauber,gerrit-nauber,G. Nauber,D,3,185.0,75,M,133168,EUR,703123200,D,3,3,False,63.0,57.0,6.0,3.0,0.0,43.0,44.0,14.0,19.0,3.0,4.0,,,,90.0,71.0,6.3,7.0,0.0175962,,0,,0.24,0.13,-0.47,,,,,1.0,2.0,3.0,2.0,,1.0,,,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,
14053598,home,Go Ahead Eagles,Joris Kramer,joris-kramer,J. Kramer,D,4,190.0,140,M,793742,EUR,838944000,D,4,4,False,89.0,83.0,3.0,1.0,0.0,56.0,58.0,27.0,31.0,5.0,3.0,,,,90.0,96.0,6.4,6.0,0.0232982,,1,,0.12,0.27,-0.4,,,,,1.0,,1.0,1.0,,,,,,,,0.109,-0.14,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14053598,home,Go Ahead Eagles,Dean James,dean-james,D. James,D,5,177.0,6680,M,1046722,EUR,957052800,D,5,5,False,31.0,24.0,4.0,1.0,0.0,9.0,9.0,15.0,22.0,,3.0,,,,80.0,50.0,6.0,18.0,0.162511,,0,,-0.11,0.0,-0.33,,,,,,,1.0,3.0,,,2.0,2.0,1.0,1.0,,,,,,1.0,,,,,11.0,1.0,,,,,,,,,
14053598,home,Go Ahead Eagles,Melle Meulensteen,melle-meulensteen,M. Meulensteen,M,21,185.0,202,M,891795,EUR,931046400,M,21,21,False,45.0,43.0,5.0,4.0,0.0,15.0,16.0,28.0,29.0,1.0,,,,,66.0,62.0,8.3,9.0,0.064118,,1,,0.29,0.1,-0.1,,,,,2.0,2.0,5.0,4.0,,,1.0,,5.0,1.0,,0.1729,0.51,,,1.0,1.0,,,,,,1.0,1.0,1.0,0.8301,,,,,
14053598,home,Go Ahead Eagles,Evert Linthorst,evert-linthorst,E. Linthorst,M,8,187.0,120,M,932555,EUR,952041600,M,8,8,False,50.0,45.0,4.0,1.0,0.0,18.0,19.0,27.0,31.0,,3.0,,,,90.0,56.0,7.6,7.0,0.0756134,,2,,0.33,0.1,-0.13,,,,,1.0,,5.0,1.0,,,1.0,,,,,0.1402,0.51,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,0.63,1.0,1.0,,,
14053598,home,Go Ahead Eagles,Richonell Margaret,richonell-margaret,R. Margaret,F,18,191.0,382,M,973716,EUR,968284800,M,18,18,False,14.0,10.0,,,0.0,1.0,1.0,9.0,13.0,2.0,4.0,,,,80.0,36.0,6.4,15.0,0.00699022,,1,,-0.18,0.15,-0.11,,,,,1.0,,6.0,4.0,1.0,,3.0,,2.0,,,0.0083,0.0,,,,2.0,1.0,,,3.0,,1.0,,,,3.0,,,,
14053598,home,Go Ahead Eagles,Jakob Breum,jakob-breum,J. Breum,M,7,173.0,870,M,1029724,EUR,1069027200,M,7,7,False,26.0,23.0,1.0,1.0,0.0,7.0,8.0,16.0,18.0,,2.0,,,,66.0,30.0,6.6,7.0,0.155058,,0,,0.45,0.05,-0.16,,,,,,,4.0,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,,,1.0,1.0,,,
14053598,home,Go Ahead Eagles,Mathis Suray,mathis-suray,M. Suray,M,17,173.0,312,M,909960,EUR,996105600,M,17,17,False,29.0,20.0,5.0,2.0,0.0,4.0,4.0,16.0,25.0,,2.0,,,,90.0,43.0,6.7,13.0,0.0605096,,0,,0.03,0.3,-0.05,,,,,1.0,1.0,3.0,6.0,,,2.0,1.0,1.0,2.0,,,,,,2.0,1.0,1.0,,,3.0,1.0,,,,,,,,,
