match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_aerialLost,stat_challengeLost,stat_wonTackle,stat_keyPass,stat_outfielderBlock,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_accurateCross,captain,stat_penaltyConceded,stat_bigChanceCreated,stat_shotOffTarget,player_sofascoreId,stat_goodHighClaim,stat_bigChanceMissed,stat_hitWoodwork
12624455,home,Al-Khaleej,Raed Ozaybi,Ozaybi Raed,,ozaybi-raed,O. Raed,G,50,181.0,31,M,1089085,EUR,1001116800.0,G,22,22,False,28.0,16.0,17.0,5.0,0.0,16.0,23.0,5.0,1.0,1.0,4.0,8.0,1.0,1.0,1.0,6.0,1.0,7.0,2.0,1.0,1.0,90.0,44.0,6.9,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624455,home,Al-Khaleej,Mansour Hamzi,,,mansour-hamzi,M. Hamzi,M,15,170.0,31,M,818581,EUR,738892800.0,D,15,15,False,25.0,20.0,7.0,3.0,0.0,8.0,9.0,17.0,,5.0,3.0,3.0,,,,,,,,,,90.0,39.0,6.3,8.0,1,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
12624455,home,Al-Khaleej,Abdullah Al-Fahad,,,al-fahad-abdullah,A. Al-Fahad,D,19,177.0,20,M,817947,EUR,771638400.0,D,20,20,False,38.0,31.0,4.0,2.0,0.0,21.0,24.0,14.0,3.0,8.0,8.0,2.0,,,1.0,,,,,,,90.0,55.0,6.6,8.0,0,10.0,,2.0,,,,,,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,
12624455,home,Al-Khaleej,Ali Al Shaafi,Ali Al Shaafi,,ali-al-shaafi,A. A. Shaafi,D,94,178.0,8,M,1521166,EUR,1010793600.0,D,14,14,False,19.0,15.0,5.0,3.0,0.0,11.0,14.0,5.0,,1.0,,4.0,,,,,,,,,,45.0,22.0,6.7,4.0,0,4.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
12624455,home,Al-Khaleej,Pedro Rebocho,,,pedro-rebocho,P. Rebocho,D,5,172.0,204,M,190139,EUR,790819200.0,D,5,5,False,26.0,22.0,3.0,3.0,0.0,10.0,12.0,16.0,1.0,4.0,10.0,4.0,,,1.0,,,,,,,90.0,50.0,6.2,7.0,1,12.0,2.0,2.0,,2.0,2.0,1.0,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,
12624455,home,Al-Khaleej,Khaled Al-Semeiry,,,khaled-al-semeiry,K. Al-Semeiry,M,88,170.0,35,M,857390,EUR,852076800.0,M,8,8,False,28.0,20.0,4.0,1.0,0.0,10.0,11.0,17.0,,6.0,2.0,6.0,,,,,,,,,,66.0,42.0,6.8,9.0,1,10.0,,2.0,,1.0,,,1.0,4.0,2.0,1.0,,4.0,,,,1.0,,,,,,,,,,,
12624455,home,Al-Khaleej,Dimitrios Kourbelis,,,dimitrios-kourbelis,D. Kourbelis,M,21,182.0,579,M,128089,EUR,752198400.0,M,21,21,False,37.0,29.0,5.0,1.0,0.0,19.0,21.0,16.0,2.0,7.0,1.0,9.0,,,1.0,,,,,,,90.0,56.0,7.0,12.0,1,10.0,,9.0,1.0,,,,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,
12624455,home,Al-Khaleej,Thomas Murg,Thomas,Murg,thomas-murg,T. Murg,M,94,173.0,283,M,149677,EUR,784771200.0,M,99,99,False,13.0,10.0,,,0.0,5.0,5.0,9.0,,,,1.0,,,2.0,,,,,,,66.0,21.0,6.4,7.0,1,5.0,1.0,4.0,,1.0,,,,,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,
12624455,home,Al-Khaleej,Kostas Fortounis,,,kostas-fortounis,K. Fortounis,M,10,183.0,2903,M,115577,EUR,719193600.0,M,17,17,False,43.0,38.0,6.0,5.0,0.0,15.0,16.0,34.0,,3.0,,1.0,,,,,,,,,,90.0,60.0,6.9,12.0,1,25.0,7.0,3.0,,3.0,1.0,1.0,,,2.0,,1.0,,4.0,,,,,,2.0,,,,,,,,
12624455,home,Al-Khaleej,Fábio Martins,,,fabio-martins,F. Martins,M,10,178.0,359,M,193064,EUR,743472000.0,M,10,10,False,18.0,12.0,1.0,,0.0,6.0,9.0,11.0,1.0,4.0,,4.0,,,3.0,,,,,,,66.0,38.0,5.7,16.0,1,6.0,2.0,7.0,3.0,3.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,1.0,,True,1.0,,,,,,
