match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_wonContest,captain,stat_keyPass,stat_totalOffside,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim
12421060,home,RSC Anderlecht,Colin Coosemans,,,colin-coosemans,C. Coosemans,G,26,185,265,M,122399,EUR,712800000,G,26,26,False,46.0,41.0,5.0,1.0,0.0,41.0,42.0,4.0,4.0,3.0,3.0,90.0,52.0,7.2,5.0,0.00028763,0,1.1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421060,home,RSC Anderlecht,Killian Sardella,,,killian-sardella,K. Sardella,D,54,177,482,M,909964,EUR,1020297600,D,54,54,False,38.0,32.0,2.0,2.0,0.0,13.0,14.0,28.0,6.0,,,90.0,62.0,7.1,14.0,0.0225478,2,,20.0,4.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0899,0.2055,,,,,,,,,,,,
12421060,home,RSC Anderlecht,Jan-Carlo Simić,Jan-Carlo Simić,,jan-carlo-simic,J. Simić,D,4,185,1987,M,1214992,EUR,1114992000,D,4,4,False,60.0,51.0,5.0,,0.0,37.0,39.0,21.0,1.0,,,90.0,69.0,7.2,9.0,0.0103255,0,,14.0,,,,1.0,,2.0,,,,,4.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,
12421060,home,RSC Anderlecht,Zanka,,,zanka,Zanka,D,,189,459,M,26404,EUR,640828800,D,13,13,False,86.0,78.0,9.0,6.0,0.0,53.0,57.0,29.0,4.0,,,90.0,92.0,7.0,9.0,0.0203081,0,,25.0,,,3.0,1.0,4.0,1.0,,,,,3.0,,,,,1.0,,,1.0,,,,,,,,,,,
12421060,home,RSC Anderlecht,Moussa Ndiaye,,,moussa-ndiaye,M. Ndiaye,D,16,181,1546,M,982315,EUR,1024358400,D,5,5,False,51.0,39.0,5.0,,0.0,24.0,28.0,25.0,6.0,,,86.0,88.0,6.8,20.0,0.0146815,1,,15.0,2.0,,3.0,,6.0,6.0,,2.0,,1.0,4.0,1.0,1.0,4.0,4.0,2.0,0.0491,0.0272,,1.0,1.0,1.0,,,,,,,,
12421060,home,RSC Anderlecht,Leander Dendoncker,,,leander-dendoncker,L. Dendoncker,M,20,188,1662,M,190405,EUR,797904000,M,32,32,False,53.0,48.0,,,0.0,26.0,27.0,26.0,4.0,,,90.0,61.0,7.2,6.0,0.0410681,1,,22.0,,,2.0,2.0,5.0,5.0,,1.0,,1.0,,2.0,2.0,1.0,,,0.0264,0.0285,,1.0,3.0,1.0,True,2.0,,,,,,
12421060,home,RSC Anderlecht,Mats Rits,,,mats-rits,M. Rits,M,23,180,216,M,70961,EUR,742953600,M,23,23,False,24.0,20.0,1.0,1.0,0.0,10.0,11.0,17.0,5.0,,,72.0,33.0,7.1,6.0,0.133771,0,,13.0,4.0,3.0,1.0,,1.0,2.0,,,,,1.0,2.0,1.0,,,,,,,1.0,,,,2.0,,,,,,
12421060,home,RSC Anderlecht,Yari Verschaeren,,,verschaeren-yari,Y. Verschaeren,M,10,172,1145,M,901898,EUR,994896000,M,10,10,False,20.0,17.0,2.0,1.0,0.0,3.0,4.0,20.0,3.0,,,72.0,39.0,7.3,13.0,0.0743165,1,,14.0,4.0,,,,4.0,6.0,2.0,3.0,1.0,,,2.0,2.0,2.0,2.0,,0.0952,,,,1.0,2.0,,1.0,1.0,,,,,
12421060,home,RSC Anderlecht,Mario Stroeykens,Mathieu,Stroeykens,mario-stroeykens,M. Stroeykens,M,29,177,3682,M,1101702,EUR,1096416000,M,29,29,False,51.0,44.0,1.0,,0.0,11.0,11.0,41.0,3.0,,,90.0,62.0,6.9,12.0,0.504631,1,,33.0,1.0,,1.0,,4.0,2.0,2.0,2.0,,,1.0,,,,1.0,,0.152,,,,,1.0,,1.0,,1.0,,,,
12421060,home,RSC Anderlecht,Samuel Edozie,Samuel Edozie,,samuel-edozie,S. Edozie,M,23,181,774,M,1065214,EUR,1043712000,M,27,27,False,25.0,23.0,,,0.0,9.0,9.0,17.0,5.0,,,86.0,43.0,6.8,10.0,0.0284847,2,,14.0,1.0,,,,6.0,4.0,2.0,4.0,1.0,1.0,,,,2.0,3.0,2.0,0.0963,0.5811,,,,1.0,,1.0,1.0,,,,,
