match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_clearanceOffLine,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyConceded,stat_totalOffside,stat_goodHighClaim,stat_ownGoals,stat_penaltyWon,stat_hitWoodwork,stat_penaltyMiss
12764145,home,Fenerbahçe,Dominik Livaković,dominik-livakovic,D. Livaković,G,40,186,12815,M,Livakovic40,190419,EUR,789609600,G,40,40,False,40.0,23.0,18.0,1.0,0.0,22.0,26.0,1.0,14.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,1.0,5.0,1.0,90.0,51.0,7.7,17.0,0.00023362,0,0.6799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764145,home,Fenerbahçe,Mert Müldür,mert-muldur,M. Müldür,D,18,184,2870,M,,836683,EUR,923097600,D,16,16,False,44.0,30.0,12.0,6.0,0.0,20.0,23.0,10.0,21.0,2.0,6.0,3.0,3.0,,,,,,,65.0,74.0,7.1,20.0,0.331239,0,,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12764145,home,Fenerbahçe,Rodrigo Becão,rodrigo-becao,R. Becão,D,50,191,1867,M,,880207,EUR,822009600,D,50,50,False,52.0,45.0,3.0,2.0,1.0,40.0,44.0,5.0,8.0,6.0,15.0,4.0,2.0,5.0,,,,,,90.0,76.0,7.7,9.0,0.00163362,1,,3.0,,,,3.0,4.0,3.0,2.0,1.0,,,1.0,1.0,1.0,2.0,0.0298,,,,,,,,,,,,,,,,,,
12764145,home,Fenerbahçe,Çağlar Söyüncü,caglar-soyuncu,Ç. Söyüncü,D,4,187,4168,M,soyuncu_caglar,758608,EUR,832809600,D,4,4,False,51.0,48.0,2.0,1.0,0.0,37.0,38.0,11.0,13.0,5.0,10.0,,2.0,,,,,,,90.0,60.0,7.5,4.0,0.00322796,1,,4.0,,,,,5.0,,1.0,,,,2.0,,1.0,1.0,0.2167,1.0,1.0,1.0,0.3203,,,,,,,,,,,,,,
12764145,home,Fenerbahçe,Jayden Oosterwolde,jayden-oosterwolde,J. Oosterwolde,D,24,189,3123,M,,1048324,EUR,988243200,D,24,24,False,33.0,24.0,6.0,3.0,0.0,16.0,18.0,9.0,18.0,2.0,7.0,3.0,3.0,1.0,,,,,,90.0,64.0,7.6,19.0,0.028038,0,,5.0,,5.0,3.0,,1.0,1.0,1.0,1.0,Jayden Oosterwolde,,,,2.0,3.0,,2.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,,
12764145,home,Fenerbahçe,Fred,fred,Fred,M,7,169,11619,M,fred08,243623,EUR,731289600,M,13,13,False,51.0,43.0,3.0,3.0,0.0,22.0,25.0,21.0,26.0,,4.0,1.0,3.0,1.0,,,,,,86.0,64.0,6.8,12.0,0.0240555,0,,5.0,1.0,,,1.0,3.0,2.0,1.0,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,
12764145,home,Fenerbahçe,Sofyan Amrabat,sofyan-amrabat,S. Amrabat,M,34,183,27456,M,sofyanamrabat,359272,EUR,840585600,M,34,34,False,63.0,60.0,3.0,2.0,0.0,34.0,36.0,26.0,27.0,,1.0,1.0,4.0,1.0,,,,,,90.0,74.0,6.7,6.0,0.0198035,0,,2.0,,,,1.0,,,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,
12764145,home,Fenerbahçe,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174,10874,M,szymanski_11,847983,EUR,926294400,M,53,53,False,32.0,19.0,2.0,,0.0,5.0,9.0,15.0,26.0,1.0,4.0,,5.0,2.0,,,,,,90.0,44.0,6.5,20.0,0.197351,0,,3.0,1.0,2.0,,,1.0,1.0,,2.0,,,,,,2.0,,,,,,3.0,1.0,,,,,,,,,,,,
12764145,home,Fenerbahçe,İrfan Can Kahveci,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4224,M,irfankahveci,226986,EUR,805766400,F,17,17,False,25.0,15.0,4.0,2.0,0.0,11.0,12.0,5.0,18.0,1.0,5.0,1.0,4.0,2.0,,,,,,65.0,57.0,5.9,27.0,0.0323959,1,,12.0,2.0,10.0,2.0,,,,,1.0,,,2.0,,1.0,2.0,0.0538,,,,,5.0,1.0,,,True,1.0,1.0,,,,,,,
12764145,home,Fenerbahçe,Youssef En-Nesyri,youssef-en-nesyri,Y. En-Nesyri,F,21,190,34492,M,ennesyri15,846470,EUR,865123200,F,19,19,False,10.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,7.0,5.0,7.0,1.0,3.0,3.0,,,,,,77.0,22.0,6.9,5.0,0.00248982,4,,16.0,1.0,,,,,,2.0,,,,13.0,,,2.0,0.8912,,2.0,,0.2863,,,,,,1.0,2.0,,,,,,,
