match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_hitWoodwork,stat_interceptionWon,stat_unsuccessfulTouch,stat_wonContest,stat_keyPass,stat_fouls,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,player_sofascoreId,stat_totalOffside,captain,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11031190,home,Leicester City,Daniel Iversen,,,daniel-iversen,D. Iversen,G,1,193.0,283,M,796986,EUR,869270400,G,31,31,False,31.0,24.0,10.0,4.0,23.0,27.0,1.0,4.0,1.0,1.0,1.0,6.0,1.0,3.0,4.0,1.0,90.0,43.0,6.9,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11031190,home,Leicester City,Ricardo Pereira,,,ricardo-pereira,R. Pereira,D,21,175.0,980,M,221200,EUR,749865600,D,21,21,False,52.0,43.0,3.0,2.0,25.0,29.0,18.0,25.0,1.0,6.0,,5.0,,,,,73.0,75.0,6.4,16.0,3,2.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,
11031190,home,Leicester City,Daniel Amartey,,,daniel-amartey,D. Amartey,M,,188.0,1214,M,308526,EUR,787968000,D,18,18,False,84.0,80.0,3.0,1.0,55.0,57.0,25.0,27.0,3.0,5.0,,11.0,,,,,90.0,98.0,7.1,5.0,4,,2.0,2.0,,,,2.0,2.0,,2.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,
11031190,home,Leicester City,Wout Faes,,,wout-faes,W. Faes,D,25,185.0,1764,M,361696,EUR,891561600,D,3,3,False,83.0,80.0,9.0,8.0,52.0,52.0,28.0,31.0,1.0,3.0,1.0,7.0,,,,,90.0,93.0,6.9,6.0,1,,1.0,3.0,,1.0,2.0,1.0,,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,
11031190,home,Leicester City,Luke Thomas,,,luke-thomas,L. Thomas,D,33,178.0,488,M,991584,EUR,992131200,D,33,33,False,33.0,21.0,4.0,,9.0,14.0,12.0,20.0,1.0,1.0,3.0,3.0,,,,,57.0,51.0,5.6,16.0,0,1.0,1.0,6.0,2.0,2.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
11031190,home,Leicester City,Dennis Praet,,,dennis-praet,D. Praet,M,8,181.0,722,M,135647,EUR,768873600,M,26,26,False,26.0,22.0,2.0,,12.0,12.0,14.0,23.0,,2.0,,1.0,,,,,58.0,43.0,6.9,11.0,1,9.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,,,,,,,,,
11031190,home,Leicester City,Boubakary Soumaré,,,boubakary-soumare,B. Soumaré,M,34,188.0,1035,M,887581,EUR,920073600,M,42,42,False,55.0,49.0,7.0,5.0,27.0,29.0,22.0,26.0,2.0,6.0,1.0,4.0,,,,,74.0,65.0,6.9,8.0,0,,1.0,4.0,1.0,2.0,1.0,,,1.0,3.0,3.0,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,
11031190,home,Leicester City,Kiernan Dewsbury-Hall,,,dewsbury-hall-kiernan,K. Dewsbury-Hall,M,22,178.0,10585,M,861970,EUR,905040000,M,22,22,False,48.0,33.0,7.0,2.0,13.0,13.0,22.0,41.0,,9.0,,12.0,,,,,90.0,75.0,7.0,26.0,0,6.0,,7.0,2.0,1.0,5.0,,,,3.0,1.0,3.0,,1.0,4.0,3.0,3.0,2.0,2.0,,,,kdh_8,1.0,,,,,,
11031190,home,Leicester City,Tetê,,,tete,Tetê,F,21,175.0,4004,M,980327,EUR,950572800,F,37,37,False,20.0,16.0,2.0,1.0,9.0,9.0,7.0,13.0,,3.0,,1.0,,,,,74.0,37.0,6.4,12.0,3,2.0,,8.0,1.0,3.0,5.0,1.0,1.0,,,,1.0,,,,2.0,,1.0,,,1.0,,Tete,,,,,,,
11031190,home,Leicester City,Jamie Vardy,,,jamie-vardy,J. Vardy,F,10,178.0,22954,M,173827,EUR,537321600,F,9,9,False,13.0,10.0,,,2.0,2.0,8.0,12.0,3.0,3.0,1.0,1.0,,,,,90.0,19.0,6.9,5.0,2,1.0,3.0,3.0,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,Vardy7,1.0,True,,,,,
