match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,captain,stat_dispossessed,stat_bigChanceCreated,stat_lastManTackle,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon,stat_goalAssist
11409169,home,Boavista,João Gonçalves,joao-goncalves,J. Gonçalves,G,188,61,M,987596,EUR,974246400,G,99,99,False,18.0,14.0,9.0,5.0,11.0,11.0,3.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,90.0,22.0,6.6,4.0,0.0,0.0,0.00026797,0,-0.8172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409169,home,Boavista,Salvador Agra,salvador-agra,S. Agra,M,166,97,M,587416,EUR,689817600,D,7,7,False,39.0,30.0,4.0,1.0,14.0,15.0,19.0,30.0,,2.0,,,,,81.0,57.0,7.6,14.0,0.0902,0.601,0.126226,2,,11,6.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11409169,home,Boavista,Chidozie Awaziem,chidozie-awaziem,C. Awaziem,D,189,1826,M,804764,EUR,852076800,D,5,5,False,68.0,56.0,12.0,4.0,40.0,43.0,16.0,25.0,2.0,9.0,,,,,90.0,83.0,6.4,14.0,0.0,0.0,0.00648986,0,,6,,,7.0,7.0,1.0,2.0,1.0,,,,2.0,3.0,,,,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11409169,home,Boavista,Rodrigo Abascal,rodrigo-abascal,R. Abascal,D,190,156,M,846416,EUR,758505600,D,26,26,False,69.0,62.0,13.0,6.0,45.0,46.0,17.0,23.0,1.0,7.0,,,,,90.0,78.0,6.4,8.0,0.0,0.0,0.0357451,0,,26,,,3.0,1.0,,,,,,,,3.0,,,,,,,2.0,1.0,,1.0,,True,,,,,,,,,,,
11409169,home,Boavista,Bruno Onyemaechi,bruno-onyemaechi,B. Onyemaechi,D,182,5807,M,1134441,EUR,923097600,D,70,70,False,38.0,26.0,7.0,2.0,13.0,17.0,14.0,26.0,,8.0,,,,,90.0,74.0,7.2,25.0,0.0,0.0,0.166342,0,,70,5.0,1.0,3.0,9.0,,4.0,2.0,,,,4.0,,1.0,,,,1.0,1.0,1.0,2.0,2.0,4.0,,,1.0,1.0,,,,,,,,,
11409169,home,Boavista,Gaius Makouta,makouta-gaius,G. Makouta,M,180,299,M,847013,EUR,869788800,M,42,42,False,43.0,35.0,5.0,4.0,15.0,16.0,21.0,30.0,2.0,6.0,,,,,89.0,68.0,7.0,16.0,0.0906,0.0567,0.125674,1,,42,3.0,1.0,7.0,10.0,1.0,3.0,1.0,1.0,,,4.0,1.0,2.0,,,1.0,4.0,,3.0,1.0,1.0,1.0,,,2.0,,1.0,,,,,,,,
11409169,home,Boavista,Ilija Vukotić,ilija-vukotic,I. Vukotić,M,191,158,M,891881,EUR,915667200,M,18,18,False,43.0,41.0,1.0,1.0,29.0,31.0,13.0,13.0,,5.0,,,,,82.0,47.0,6.7,2.0,0.0,0.0,0.0144316,0,,8,1.0,1.0,4.0,2.0,1.0,2.0,2.0,,,,,2.0,1.0,Ilija,Vukotić,1.0,,,,,,,,,,,,,,,,,,,
11409169,home,Boavista,Miguel Reisinho,miguel-reisinho,M. Reisinho,M,184,1041,M,892309,EUR,923616000,M,10,10,False,37.0,26.0,2.0,2.0,13.0,14.0,13.0,23.0,1.0,7.0,,,,,90.0,49.0,7.7,12.0,0.0857,0.4611,0.0122343,1,,7,,,3.0,9.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,,2.0,3.0,,,3.0,2.0,,,,,,,,,,,,,,
11409169,home,Boavista,Bruno Lourenço,bruno-lourenco,B. Lourenço,M,179,99,M,984810,EUR,886377600,F,8,8,False,14.0,11.0,2.0,1.0,4.0,4.0,7.0,12.0,1.0,3.0,,,,,81.0,26.0,6.7,9.0,0.0087,0.0765,0.0716378,1,,8,2.0,,5.0,1.0,3.0,,,1.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,,4.0,,,,,,1.0,,,,,,,
11409169,home,Boavista,Róbert Boženík,robert-bozenik,R. Boženík,F,188,1028,M,912033,EUR,942883200,F,9,9,False,6.0,4.0,,,4.0,4.0,1.0,3.0,,1.0,,,,,89.0,15.0,6.4,6.0,0.4511,0.269,0.0257629,3,,11,1.0,1.0,8.0,1.0,1.0,,,2.0,1.0,,,4.0,,,,2.0,,,,1.0,1.0,3.0,,,1.0,,,,1.0,,,,,,
