match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_lastName,stat_keyPass,stat_wasFouled,player_sofascoreId,stat_dispossessed,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_errorLeadToAShot,stat_fouls,stat_penaltyWon,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_penaltyFaced,stat_clearanceOffLine,stat_penaltyConceded
14064408,home,Stade Rennais,Brice Samba,brice-samba,B. Samba,G,30,186.0,2098,M,164055,EUR,767232000,G,30,30,False,38.0,30.0,10.0,2.0,0.0,29.0,32.0,1.0,6.0,1.0,11.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,46.0,6.1,8.0,0.00025326,0.0851,0,-0.6291,0.03,0.02,-0.07,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064408,home,Stade Rennais,Abdelhamid Ait Boudlal,abdelhamid-ait-boudlal,A. A. Boudlal,D,48,190.0,4716,M,1597145,EUR,1145145600,D,48,48,False,54.0,45.0,5.0,,0.0,29.0,33.0,16.0,21.0,2.0,7.0,,,,,,,90.0,69.0,8.0,11.0,0.0336556,,1,,0.24,0.32,0.17,,Abdelhamid Ait Boudlal,1.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5741,0.9384,0.51,,,,,,,,,,,,,,,,,,
14064408,home,Stade Rennais,Jérémy Jacquet,jeremy-jacquet,J. Jacquet,D,97,191.0,9015,M,1445625,EUR,1121212800,D,97,97,False,41.0,35.0,4.0,1.0,0.0,23.0,25.0,12.0,16.0,4.0,4.0,,,,,,,90.0,54.0,7.8,6.0,0.00788826,,0,,0.25,0.17,0.7,,,,,,1.0,,5.0,,,,,,3.0,,4.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
14064408,home,Stade Rennais,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184.0,576,M,988907,EUR,941500800,D,3,3,False,54.0,47.0,4.0,2.0,0.0,26.0,27.0,21.0,27.0,2.0,5.0,,,,,,,90.0,80.0,7.5,13.0,0.00751935,,0,,0.07,0.15,0.51,,,2.0,,2.0,,2.0,7.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,5.0,,,,,,,,,,,,,,,
14064408,home,Stade Rennais,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176.0,5767,M,286909,EUR,797644800,M,95,95,False,52.0,39.0,3.0,1.0,1.0,17.0,21.0,22.0,31.0,3.0,3.0,,,,,,,89.0,76.0,7.9,18.0,0.5534,,0,,0.71,-0.33,0.15,,,4.0,2.0,,1.0,2.0,5.0,,,,,,,2.0,3.0,2.0,,,,,5.0,1.0,przemek.franek_,2.0,1.0,1.0,,,,,,,,,,,
14064408,home,Stade Rennais,Mahdi Camara,camara-mahdi,M. Camara,M,45,178.0,964,M,916041,EUR,899164800,M,45,45,False,32.0,26.0,2.0,1.0,1.0,9.0,12.0,17.0,20.0,,1.0,,,,,,,90.0,48.0,8.4,8.0,0.288877,,2,,0.3,0.38,-0.15,,,1.0,1.0,,,2.0,5.0,,2.0,1.0,2.0,1.0,1.0,,1.0,,0.7824,1.3335,0.31,,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
14064408,home,Stade Rennais,Valentin Rongier,valentin-rongier,V. Rongier,M,21,172.0,1149,M,581314,EUR,786758400,M,21,21,False,92.0,84.0,5.0,3.0,0.0,35.0,36.0,49.0,56.0,2.0,3.0,,,,,,,90.0,107.0,7.2,13.0,0.044929,,1,,0.25,0.33,0.24,,,,,1.0,,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,0.1026,,-0.07,,1.0,1.0,,1.0,,3.0,,,,True,1.0,,,,,,
14064408,home,Stade Rennais,Djaoui Cissé,djaoui-cisse,D. Cissé,M,6,188.0,1161,M,1445628,EUR,1075507200,M,6,6,False,44.0,37.0,2.0,1.0,0.0,18.0,20.0,19.0,24.0,,2.0,,,,,,,74.0,61.0,6.5,14.0,0.0211165,,4,,-0.21,0.13,-0.09,,,5.0,1.0,,,1.0,2.0,1.0,,,,,,,2.0,,0.0983,,-0.24,,,,,,,3.0,,,,,2.0,2.0,,,,,
14064408,home,Stade Rennais,Mousa Tamari,mousa-al-taamari,M. Tamari,F,11,175.0,5388,M,876600,EUR,865900800,M,11,11,False,22.0,18.0,1.0,,0.0,2.0,3.0,16.0,19.0,1.0,4.0,,,,,,,85.0,44.0,6.9,16.0,0.0184083,,3,,-0.12,0.5,0.13,,,2.0,,1.0,,5.0,3.0,,2.0,,3.0,,,1.0,2.0,2.0,0.1937,0.3052,-0.49,,2.0,1.0,,2.0,,6.0,,,,,,,,,,,
14064408,home,Stade Rennais,Esteban Lepaul,lepaul-esteban,E. Lepaul,F,9,177.0,1997,M,966621,EUR,956016000,F,9,9,False,8.0,6.0,,,0.0,3.0,3.0,3.0,5.0,1.0,2.0,,,,,,,75.0,20.0,7.0,4.0,0.0393598,,3,,0.27,0.05,0.17,,,,,1.0,1.0,2.0,4.0,,1.0,1.0,,,,,,,0.1232,,-0.14,,2.0,2.0,,1.0,,1.0,,,,,,3.0,1.0,,,,
