match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,player_lastName,stat_totalCross,stat_accurateCross,captain,stat_blockedScoringAttempt,stat_expectedGoals,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_shotOffTarget,stat_totalOffside,stat_savedShotsFromInsideTheBox
12441720,home,SC Heerenveen,Andries Noppert,andries-noppert,A. Noppert,G,44,203,437,M,339339,EUR,765676800,G,44,44,False,33.0,25.0,9.0,1.0,0.0,25.0,30.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,41.0,6.6,8.0,0.00022331,0,-0.6761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441720,home,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,45,174,210,M,1150061,EUR,1077321600,D,45,45,False,66.0,58.0,13.0,9.0,0.0,20.0,22.0,44.0,3.0,5.0,,,,,90.0,94.0,8.0,12.0,0.114602,0,,Oliver Braude,38.0,1.0,4.0,11.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,
12441720,home,SC Heerenveen,Sam Kersten,sam-kersten,S. Kersten,D,4,191,85,M,847072,EUR,886118400,D,4,4,False,87.0,84.0,2.0,2.0,0.0,59.0,60.0,27.0,1.0,4.0,,,,,90.0,92.0,7.1,3.0,0.0242727,0,,,25.0,2.0,3.0,2.0,1.0,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
12441720,home,SC Heerenveen,Nikolai Soyset Hopland,hopland-nikolai-soyset,N. S. Hopland,D,17,186,225,M,1121247,EUR,1090627200,D,17,17,False,87.0,83.0,6.0,5.0,0.0,44.0,44.0,44.0,5.0,3.0,,,,,90.0,95.0,7.3,4.0,0.101357,0,,,40.0,1.0,5.0,2.0,,,,,,,,1.0,1.0,1.0,4.0,1.0,,,1.0,1.0,,,,,,,,,,,
12441720,home,SC Heerenveen,Mats Köhlert,mats-kohlert,M. Köhlert,D,27,168,172,M,794998,EUR,894067200,D,11,11,False,74.0,69.0,1.0,,1.0,31.0,33.0,56.0,2.0,7.0,,,,,90.0,115.0,7.5,22.0,0.244198,1,,,41.0,,4.0,2.0,3.0,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,15.0,3.0,True,1.0,0.1131,,,,,,,,
12441720,home,SC Heerenveen,Espen Van Ee,van-ee-espen,E. v. Ee,M,22,179,72,M,1126965,EUR,1057363200,M,21,21,False,47.0,38.0,4.0,1.0,0.0,13.0,14.0,33.0,,5.0,,,,,90.0,60.0,7.0,11.0,0.0282097,1,,,25.0,3.0,3.0,11.0,1.0,1.0,,,5.0,4.0,1.0,3.0,1.0,,,,,,,,,1.0,0.0399,,,,,,,,
12441720,home,SC Heerenveen,Marcus Linday,marcus-linday,M. Linday,M,16,186,209,M,1627623,EUR,1054512000,M,16,16,False,48.0,41.0,2.0,1.0,0.0,19.0,19.0,31.0,,9.0,,,,,90.0,61.0,7.7,11.0,0.100076,2,,Marcus Linday,24.0,,6.0,4.0,1.0,3.0,1.0,,,,,3.0,2.0,1.0,,,,,2.0,2.0,,1.0,0.2837,1.0,1.0,1.0,0.4662,,,,
12441720,home,SC Heerenveen,Alireza Jahanbakhsh,alireza-jahanbakhsh,A. Jahanbakhsh,M,27,180,3843,M,331837,EUR,745027200,M,30,30,False,45.0,33.0,3.0,1.0,0.0,8.0,9.0,39.0,1.0,5.0,,,,,90.0,65.0,6.9,22.0,0.150817,4,,,26.0,4.0,6.0,6.0,,2.0,,,2.0,1.0,4.0,,,2.0,3.0,,,,3.0,1.0,,3.0,0.2886,1.0,,,,alirezajb,1.0,,
12441720,home,SC Heerenveen,Levi Smans,levi-smans,L. Smans,M,14,175,136,M,1133678,EUR,1048550400,M,14,14,False,33.0,25.0,3.0,2.0,0.0,6.0,7.0,31.0,,6.0,,,,,90.0,55.0,6.5,20.0,0.0280277,2,,Levi Smans,19.0,,5.0,4.0,2.0,5.0,3.0,,,,4.0,1.0,,,,,,,5.0,,,1.0,0.0928,1.0,1.0,,0.0794,,,,
12441720,home,SC Heerenveen,Ilias Sebaoui,ilias-sebaoui,I. Sebaoui,M,10,180,681,M,1154586,EUR,1002153600,M,10,10,False,29.0,27.0,2.0,2.0,0.0,9.0,9.0,25.0,2.0,3.0,,,,,82.0,54.0,6.7,14.0,0.087496,4,,Ilias Sebaoui,20.0,,7.0,2.0,,5.0,,,,,2.0,2.0,,1.0,1.0,,,,5.0,2.0,,2.0,0.1209,1.0,,,,,2.0,1.0,
