match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_penaltyConceded,stat_outfielderBlock,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_wasFouled,stat_keyPass,captain,stat_goals,player_firstName,player_lastName,player_sofascoreId,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_penaltyWon,stat_goalAssist,stat_bigChanceMissed
11409168,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,32.0,12.0,31.0,11.0,2.0,3.0,10.0,29.0,7.0,4.0,2.0,8.0,90.0,43.0,8.0,20.0,0.0,0.0,0.00158251,0,1.0729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409168,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,D,28,28,False,20.0,14.0,4.0,1.0,10.0,11.0,4.0,11.0,8.0,,,,90.0,49.0,6.0,15.0,0.0156,0.0,0.0216779,1,,2.0,2.0,1.0,7.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11409168,home,SC Farense,Gonçalo Silva,goncalo-silva,G. Silva,D,37,184,75,M,169729,EUR,675993600,D,37,37,False,7.0,7.0,1.0,1.0,6.0,6.0,1.0,1.0,,,,,18.0,7.0,3.0,,0.0,0.0,0.00011954,0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11409168,home,SC Farense,Artur Jorge,artur-jorge,A. Jorge,D,44,186,53,M,310800,EUR,776822400,D,4,4,False,22.0,14.0,7.0,2.0,11.0,12.0,3.0,10.0,5.0,,,,90.0,44.0,6.7,9.0,0.0,0.0,0.00104646,0,,,2.0,2.0,5.0,5.0,1.0,1.0,,10.0,2.0,3.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,,,,
11409168,home,SC Farense,Talocha,talocha,Talocha,D,31,180,43,M,778216,EUR,620438400,D,31,31,False,27.0,23.0,,,12.0,12.0,13.0,17.0,3.0,,,,90.0,54.0,7.4,6.0,0.013,0.136,0.0289529,1,,2.0,2.0,,3.0,8.0,1.0,,,7.0,1.0,6.0,4.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
11409168,home,SC Farense,Fabrício Isidoro,fabricio-isidoro,F. Isidoro,M,14,172,31,M,915638,EUR,696556800,M,14,14,False,15.0,11.0,2.0,1.0,8.0,11.0,3.0,4.0,4.0,,,,61.0,32.0,6.6,7.0,0.0,0.0,0.00097592,0,,,,1.0,3.0,6.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,,2.0,1.0,,3.0,,True,,,,,,,,,,
11409168,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,M,29,29,False,27.0,17.0,9.0,3.0,12.0,16.0,5.0,11.0,8.0,,,,90.0,39.0,6.8,10.0,0.0388,0.0,0.00296049,1,,,2.0,,2.0,2.0,,,1.0,3.0,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,
11409168,home,SC Farense,Mattheus,mattheus,Mattheus,M,,182,151,M,243575,EUR,773539200,M,27,27,False,29.0,22.0,3.0,3.0,11.0,14.0,11.0,18.0,6.0,,,,90.0,46.0,8.8,13.0,0.2171,0.7769,0.0509342,3,,3.0,,2.0,3.0,6.0,,1.0,,,1.0,1.0,1.0,2.0,2.0,,,,,,3.0,3.0,2.0,,2.0,,,,,,,,,
11409168,home,SC Farense,Mohamed Belloumi,mohamed-belloumi,M. Belloumi,F,10,174,4940,M,1125839,EUR,1022889600,F,62,62,False,17.0,10.0,1.0,1.0,4.0,5.0,6.0,12.0,3.0,,,,77.0,26.0,6.3,12.0,0.0,0.0,0.0111789,0,,,,,3.0,3.0,1.0,,,,,2.0,2.0,4.0,1.0,,,,1.0,,,1.0,,,,,,b.m.belooumi.10,1.0,,,,,
11409168,home,SC Farense,Bruno Duarte,bruno-duarte,B. Duarte,F,17,182,1470,M,878830,EUR,827625600,F,9,9,False,14.0,8.0,1.0,,4.0,6.0,4.0,9.0,,,,,61.0,25.0,6.6,9.0,0.0,0.0,0.00094883,0,,1.0,8.0,3.0,9.0,6.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
