match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_wasFouled,stat_totalOffside,player_sofascoreId,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_shotOffTarget,captain,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_blockedScoringAttempt,stat_goodHighClaim,stat_lastManTackle,stat_errorLeadToAGoal
11407467,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,25.0,22.0,7.0,5.0,22.0,24.0,1.0,5.0,2.0,2.0,1.0,90.0,30.0,7.3,3.0,0.00013923,0,0.5756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407467,home,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173,753,M,273405,EUR,754531200,D,29,29,False,57.0,47.0,2.0,,20.0,26.0,35.0,2.0,,,,90.0,80.0,7.6,16.0,0.567097,0,,1.0,27.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11407467,home,Lazio,Patric,patric,Patric,D,4,184,495,M,217784,EUR,735004800,D,4,4,False,93.0,83.0,16.0,11.0,39.0,39.0,54.0,7.0,,,,90.0,102.0,7.8,10.0,0.0197986,0,,,44.0,,2.0,2.0,4.0,,4.0,,1.0,3.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11407467,home,Lazio,Mario Gila Fuentes,mario-gila-fuentes,M. Gila,D,34,183,1766,M,965828,EUR,967507200,D,34,34,False,83.0,79.0,8.0,5.0,40.0,41.0,42.0,6.0,,,,90.0,92.0,7.4,4.0,0.0129988,0,,,39.0,,1.0,1.0,7.0,,3.0,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,
11407467,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,False,52.0,47.0,3.0,2.0,19.0,21.0,33.0,5.0,,,,90.0,73.0,7.4,9.0,0.0100532,0,,,28.0,2.0,,1.0,2.0,,1.0,,5.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
11407467,home,Lazio,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185,7016,M,852404,EUR,924048000,M,8,8,False,51.0,41.0,5.0,3.0,19.0,21.0,32.0,6.0,,,,90.0,59.0,6.8,13.0,0.00723158,0,,,22.0,2.0,1.0,3.0,3.0,,,,,1.0,,,1.0,1.0,,,,,2.0,,MatteoGuendouzi,1.0,,,,,,,,,,,,,,,
11407467,home,Lazio,Nicolò Rovella,nicolo-rovella,N. Rovella,M,6,179,2966,M,937324,EUR,1007424000,M,65,65,False,49.0,43.0,1.0,1.0,22.0,25.0,24.0,4.0,,,,45.0,57.0,6.8,7.0,0.0137491,0,,,21.0,,,4.0,1.0,,,,3.0,,,,,3.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
11407467,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182,1864,M,111416,EUR,717638400,M,10,10,False,44.0,37.0,1.0,,17.0,19.0,27.0,6.0,,,,56.0,55.0,7.2,11.0,0.107846,1,,,20.0,2.0,,1.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,1.0,0.0752,0.4113,,,,,,,,,,
11407467,home,Lazio,Gustav Isaksen,gustav-isaksen,G. Isaksen,M,18,181,3333,M,976381,EUR,987638400,F,18,18,False,19.0,13.0,,,2.0,2.0,21.0,1.0,,,,83.0,38.0,7.0,16.0,0.17769,1,,,12.0,4.0,,5.0,5.0,,,,,1.0,1.0,,3.0,2.0,1.0,,,,2.0,1.0,,,5.0,2.0,,0.0465,,1.0,1.0,,,,,,,,
11407467,home,Lazio,Ciro Immobile,ciro-immobile,C. Immobile,F,36,185,15127,M,45923,EUR,635472000,F,17,17,False,17.0,13.0,,,2.0,4.0,13.0,1.0,,,,70.0,28.0,7.4,7.0,0.157887,2,,,11.0,,1.0,3.0,5.0,1.0,,,1.0,2.0,2.0,,,,2.0,,,1.0,2.0,1.0,ciroimmobile17,,2.0,,,0.1876,,,2.0,True,,,,,,,
11407467,home,Lazio,Pedro,pedro,Pedro,F,9,167,5026,M,35428,EUR,554428800,F,9,9,False,33.0,28.0,1.0,1.0,8.0,8.0,25.0,2.0,,,,70.0,49.0,6.9,12.0,0.010752,2,,,20.0,,,5.0,2.0,,,,,1.0,,,3.0,1.0,,,,,,1.0,Pedro,,3.0,1.0,2.0,0.9229,1.2308,,,,2.0,1.0,1.0,,,,
