match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_bigChanceCreated,stat_fouls,stat_totalOffside,stat_keyPass,stat_totalContest,stat_wonContest,stat_accurateCross,stat_dispossessed,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,player_firstName,player_lastName,player_sofascoreId,captain,stat_bigChanceMissed,stat_goals,stat_goalAssist,stat_lastManTackle,stat_penaltyWon,stat_blockedScoringAttempt,stat_hitWoodwork,stat_ownGoals
11396400,home,FC Augsburg,Finn Dahmen,finn-dahmen,F. Dahmen,G,1,188,564,M,822564,EUR,890956800,G,1,1,False,43.0,33.0,22.0,12.0,21.0,21.0,12.0,22.0,1.0,1.0,12.0,1.0,2.0,1.0,4.0,90.0,50.0,7.4,11.0,0.00877563,0,-0.2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396400,home,FC Augsburg,Robert Gumny,robert-gumny,R. Gumny,D,20,182,1253,M,834986,EUR,896918400,D,2,2,False,13.0,9.0,,,4.0,6.0,5.0,9.0,1.0,5.0,2.0,,,,,78.0,31.0,6.9,8.0,0.00927014,0,,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11396400,home,FC Augsburg,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,J. Gouweleeuw,D,6,187,229,M,146853,EUR,679104000,D,6,6,False,56.0,47.0,13.0,5.0,30.0,30.0,17.0,28.0,,,7.0,,,,,90.0,67.0,7.0,13.0,0.0371372,0,,2.0,,2.0,,4.0,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396400,home,FC Augsburg,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1726,M,792142,EUR,873763200,D,19,19,False,52.0,44.0,9.0,5.0,33.0,35.0,11.0,17.0,1.0,4.0,6.0,,,,,87.0,62.0,6.3,8.0,0.0135668,0,,,1.0,5.0,,5.0,,1.0,1.0,,1.0,,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11396400,home,FC Augsburg,Mads Pedersen,mads-pedersen,M. Pedersen,D,3,179,157,M,809219,EUR,841536000,D,3,3,False,12.0,6.0,2.0,1.0,3.0,6.0,4.0,8.0,,1.0,4.0,,,,,63.0,26.0,6.3,10.0,0.0614971,0,,2.0,,2.0,,2.0,,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11396400,home,FC Augsburg,Elvis Rexhbeçaj,elvis-rexhbecaj,E. Rexhbeçaj,M,8,178,483,M,842188,EUR,878342400,M,8,8,False,34.0,28.0,4.0,2.0,10.0,11.0,18.0,23.0,1.0,5.0,7.0,,,,,90.0,46.0,6.5,8.0,0.0282686,0,,,,3.0,1.0,,,1.0,,,4.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
11396400,home,FC Augsburg,Niklas Dorsch,dorsch-niklas,N. Dorsch,M,30,175,332,M,794995,EUR,884822400,M,30,30,False,34.0,32.0,3.0,2.0,19.0,19.0,13.0,15.0,1.0,2.0,5.0,,,,,63.0,40.0,6.1,3.0,0.0115225,0,,,,4.0,1.0,2.0,,,1.0,,1.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
11396400,home,FC Augsburg,Fredrik Jensen,fredrik-jensen,F. Jensen,M,97,183,325,M,846356,EUR,873763200,M,24,24,False,16.0,13.0,3.0,2.0,7.0,8.0,8.0,18.0,1.0,2.0,2.0,,,,,78.0,32.0,6.9,13.0,0.0930625,1,,10.0,,1.0,1.0,2.0,,,1.0,1.0,,,,,1.0,,,2.0,,,1.0,1.0,0.1323,0.287,,,,,,,,,,,,,
11396400,home,FC Augsburg,Sven Michel,sven-michel,S. Michel,F,11,178,166,M,246431,EUR,648000000,M,20,20,False,15.0,8.0,1.0,,3.0,4.0,5.0,11.0,1.0,6.0,3.0,,,,,63.0,28.0,6.8,11.0,0.0151691,1,,,3.0,6.0,,3.0,,,1.0,2.0,,,2.0,,,5.0,4.0,,1.0,,,1.0,0.056,,1.0,,,,,,,,,,,,
11396400,home,FC Augsburg,Ermedin Demirović,ermedin-demirovic,E. Demirović,F,9,184,5628,M,878081,EUR,890784000,M,9,9,False,16.0,9.0,,,4.0,4.0,5.0,14.0,3.0,5.0,1.0,,,,,90.0,32.0,6.8,11.0,0.0291707,1,,2.0,2.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,,,,1.0,0.0402,,1.0,,,e.demirovic29,True,,,,,,,,
