match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,captain,stat_aerialWon,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,stat_totalCross,stat_outfielderBlock,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_blockedScoringAttempt,stat_punches,stat_errorLeadToAShot,stat_totalOffside
12448363,home,NEC Nijmegen,Robin Roefs,robin-roefs,R. Roefs,G,22,193,2142,M,1012928,EUR,1042761600,G,22,22,False,36.0,16.0,27.0,7.0,0.0,9.0,12.0,7.0,24.0,1.0,9.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,90.0,48.0,7.0,21.0,0.00173132,0,0.3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448363,home,NEC Nijmegen,Brayann Pereira,brayann-pereira,B. Pereira,D,2,172,178,M,1012639,EUR,1053475200,D,2,2,False,22.0,17.0,4.0,3.0,0.0,12.0,16.0,5.0,6.0,2.0,3.0,,2.0,,,,,,89.0,54.0,7.1,11.0,0.115093,0,,,,2.0,6.0,12.0,2.0,1.0,2.0,2.0,8.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
12448363,home,NEC Nijmegen,Iván Márquez,ivan-marquez,I. Márquez,D,44,191,78,M,862479,EUR,771120000,D,4,4,False,38.0,33.0,7.0,3.0,0.0,33.0,33.0,,5.0,10.0,2.0,,,,,,,,90.0,52.0,6.9,5.0,0.0003267,1,,,,1.0,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,2.0,0.0967,,,,,,,,,,,,,,,,,
12448363,home,NEC Nijmegen,Bram Nuytinck,bram-nuytinck,B. Nuytinck,D,17,190,135,M,70930,EUR,641779200,D,17,17,False,36.0,29.0,8.0,3.0,0.0,25.0,27.0,4.0,9.0,6.0,1.0,,1.0,,,,,,90.0,50.0,7.0,8.0,0.109627,1,,,,1.0,1.0,5.0,,,,,,,,,,1.0,0.0744,True,5.0,1.0,0.1592,1.0,,,,,,,,,,,,
12448363,home,NEC Nijmegen,Calvin Verdonk,calvin-verdonk,C. Verdonk,D,24,174,14345,M,361780,EUR,862012800,D,24,24,False,32.0,22.0,8.0,5.0,0.0,9.0,12.0,13.0,21.0,6.0,2.0,,,,,,,,90.0,65.0,7.1,13.0,0.011905,0,,,,2.0,8.0,5.0,4.0,,,,4.0,4.0,,2.0,,1.0,,,1.0,,,,c.verdonk,1.0,1.0,,,,,,,,,
12448363,home,NEC Nijmegen,Mees Hoedemakers,mees-hoedemakers,M. Hoedemakers,M,4,181,102,M,893748,EUR,887760000,M,6,6,False,33.0,21.0,5.0,,0.0,14.0,22.0,7.0,11.0,1.0,5.0,,,,,,,,90.0,45.0,6.8,13.0,0.0640814,0,,,,2.0,7.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,3.0,,4.0,,,,,,1.0,,,1.0,,,,,,,,,
12448363,home,NEC Nijmegen,Dirk Proper,dirk-proper,D. Proper,M,71,167,193,M,961685,EUR,1014508800,M,71,71,False,14.0,8.0,,,0.0,8.0,11.0,,3.0,,3.0,,,,,,,,45.0,19.0,6.6,6.0,0.00010605,0,,,,2.0,2.0,4.0,,,,,2.0,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,
12448363,home,NEC Nijmegen,Thomas Ouwejan,thomas-ouwejan,T. Ouwejan,D,5,184,243,M,798180,EUR,844041600,M,5,5,False,15.0,8.0,3.0,1.0,0.0,4.0,7.0,7.0,13.0,4.0,3.0,,2.0,,,,,,90.0,38.0,7.6,13.0,0.334966,0,,,,1.0,5.0,8.0,1.0,1.0,1.0,,6.0,5.0,1.0,1.0,,,,,1.0,,,4.0,,5.0,,3.0,1.0,,,,,,,
12448363,home,NEC Nijmegen,Rober González,rober-gonzalez,R. González,M,11,169,147,M,910022,EUR,978739200,M,7,7,False,18.0,12.0,,,0.0,5.0,8.0,7.0,10.0,1.0,6.0,,2.0,,,,,,70.0,31.0,6.7,10.0,0.0821774,1,,,,,5.0,3.0,1.0,,2.0,,2.0,1.0,1.0,2.0,,2.0,0.0484,,,1.0,0.6832,,,,,,,,,,,,,
12448363,home,NEC Nijmegen,Sontje Hansen,sontje-hansen,S. Hansen,M,27,172,611,M,1199057,EUR,1021680000,F,10,10,False,5.0,3.0,1.0,,0.0,2.0,3.0,1.0,2.0,,2.0,,1.0,,,,,,58.0,18.0,7.4,6.0,0.0144191,2,,,,3.0,5.0,4.0,,1.0,3.0,2.0,,,1.0,,1.0,1.0,0.1726,,1.0,1.0,0.2106,,,,,,,1.0,,,,,,
12448363,home,NEC Nijmegen,Koki Ogawa,koki-ogawa,K. Ogawa,F,18,186,1469,M,831860,EUR,870998400,F,18,18,False,18.0,9.0,,,0.0,6.0,8.0,3.0,10.0,,3.0,,3.0,,,,,,90.0,34.0,7.2,12.0,0.00296323,4,,,,7.0,8.0,9.0,1.0,,,,4.0,1.0,1.0,,3.0,1.0,0.6755,,4.0,1.0,0.8044,,,,,,,,1.0,1.0,,,,
