match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_bigChanceMissed,player_firstName,player_lastName,player_sofascoreId,captain,stat_aerialLost,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_goals,stat_hitWoodwork,stat_punches,stat_lastManTackle,stat_totalOffside
13472706,home,Palmeiras,Carlos Miguel,carlos-miguel,C. Miguel,G,1,204,5473,M,973738,EUR,907891200,G,1,1,False,23.0,18.0,10.0,5.0,0.0,14.0,14.0,4.0,9.0,1.0,13.0,1.0,1.0,2.0,90.0,38.0,7.3,5.0,0.00163684,0,0.1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472706,home,Palmeiras,Khellven,khellven,Khellven,D,12,176,2672,M,984896,EUR,983059200,D,12,12,False,31.0,28.0,4.0,3.0,0.0,10.0,10.0,18.0,21.0,,3.0,,,,86.0,51.0,7.1,7.0,0.0666827,1,,4.0,2.0,7.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,0.025,0.1243,,,,,,,,,,,,,,,,,,,,,
13472706,home,Palmeiras,Bruno Fuchs,bruno-fuchs,B. Fuchs,D,3,190,3790,M,973737,EUR,922924800,D,3,3,False,57.0,46.0,18.0,10.0,0.0,24.0,27.0,22.0,30.0,3.0,4.0,,,,90.0,74.0,7.7,12.0,0.0171197,1,,1.0,,2.0,7.0,2.0,,1.0,2.0,5.0,4.0,,,0.1315,0.4077,2.0,1.0,,,,,,,,,,,,,,,,,,,
13472706,home,Palmeiras,Gustavo Gómez,gustavo-gomez,G. Gómez,D,15,185,8380,M,220833,EUR,736646400,D,15,15,False,43.0,33.0,5.0,1.0,0.0,24.0,28.0,9.0,15.0,6.0,2.0,,,,90.0,56.0,7.9,10.0,0.134367,1,,,,4.0,7.0,1.0,,,,2.0,2.0,,1.0,0.0536,,5.0,,,,gustavogomez,True,2.0,1.0,1.0,1.0,,,,,,,,,,,
13472706,home,Palmeiras,Joaquín Piquerez,joaquin-piquerez,J. Piquerez,D,22,183,6392,M,881110,EUR,903916800,D,22,22,False,37.0,32.0,7.0,4.0,0.0,17.0,19.0,15.0,18.0,3.0,3.0,,,,90.0,53.0,7.6,10.0,0.292701,1,,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,,0.0385,0.1306,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
13472706,home,Palmeiras,Mauricio,mauricio,Mauricio,M,18,174,5655,M,986233,EUR,993168000,M,18,18,False,17.0,12.0,2.0,1.0,0.0,5.0,6.0,7.0,11.0,,2.0,,,,56.0,26.0,7.0,7.0,0.0702799,2,,1.0,,1.0,1.0,,,2.0,1.0,,,1.0,,0.0893,0.1459,,,,,,,,,,,,,1.0,1.0,,,,,,,
13472706,home,Palmeiras,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14310,M,285949,EUR,820454400,M,8,8,False,41.0,34.0,10.0,7.0,0.0,18.0,20.0,16.0,21.0,2.0,4.0,,,,90.0,66.0,7.8,16.0,0.249189,2,,12.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,,,,,0.0623,0.111,1.0,,,,andreaspereira,,,,,,,,8.0,1.0,1.0,1.0,,,,,
13472706,home,Palmeiras,Emiliano Martínez,emiliano-martinez,E. Martínez,M,32,184,3839,M,973533,EUR,934848000,M,32,32,False,43.0,39.0,2.0,1.0,0.0,19.0,20.0,20.0,23.0,2.0,5.0,,,,62.0,52.0,6.8,6.0,0.0121153,2,,,,5.0,3.0,2.0,,1.0,,1.0,1.0,,1.0,0.0575,0.2311,2.0,,,,,,2.0,,,,,1.0,,,,1.0,,,,,
13472706,home,Palmeiras,Ramón Sosa,ramon-sosa,R. Sosa,F,19,178,8325,M,1015733,EUR,936057600,M,19,19,False,12.0,10.0,1.0,1.0,0.0,3.0,3.0,7.0,9.0,,4.0,,,,56.0,25.0,7.2,5.0,0.147248,4,,1.0,1.0,3.0,3.0,,2.0,,,,,1.0,2.0,0.1217,,1.0,,,,,,,3.0,,,,1.0,,1.0,1.0,1.0,,,,,
13472706,home,Palmeiras,Vitor Roque,vitor-roque,V. Roque,F,9,174,72751,M,1150391,EUR,1109548800,F,9,9,False,15.0,11.0,,,0.0,2.0,2.0,9.0,13.0,,,,,,87.0,38.0,9.1,12.0,0.152754,6,,,,8.0,7.0,,5.0,3.0,,1.0,1.0,2.0,1.0,0.8339,0.9289,2.0,,Vitor Roque,,VRoque,,3.0,,,,1.0,3.0,3.0,1.0,2.0,3.0,2.0,,,,
