match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_wonTackle,stat_wonContest,stat_fouls,stat_goalAssist,captain,stat_hitWoodwork,stat_wasFouled,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,player_sofascoreId,stat_errorLeadToAGoal
11067296,home,Red Bull Bragantino,Lucão,lucao,Lucão,G,40,190,225,M,981586,EUR,983145600,G,40,40,False,25.0,19.0,10.0,4.0,17.0,18.0,2.0,7.0,4.0,8.0,3.0,3.0,90.0,35.0,7.0,6.0,0.0,0.0,0.00040522,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067296,home,Red Bull Bragantino,Luan Patrick,luan-patrick,Luan Patrick,D,30,190,250,M,1002565,EUR,1011484800,D,30,30,False,54.0,48.0,6.0,2.0,26.0,27.0,22.0,27.0,2.0,6.0,,,90.0,61.0,7.0,8.0,0.0365,0.0,0.0127066,1,,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067296,home,Red Bull Bragantino,Eduardo Santos,eduardo-santos,Eduardo,D,3,196,161,M,925189,EUR,880675200,D,26,26,False,40.0,37.0,4.0,3.0,26.0,27.0,11.0,14.0,2.0,6.0,,,90.0,55.0,8.0,7.0,0.2975,0.3369,0.00479673,4,,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11067296,home,Red Bull Bragantino,Juninho Capixaba,juninho-capixaba,J. Capixaba,D,29,176,909,M,870556,EUR,868147200,D,29,29,False,72.0,62.0,10.0,8.0,34.0,37.0,29.0,36.0,2.0,12.0,,,90.0,97.0,8.2,17.0,0.15,0.4824,0.1117,3,,,1.0,5.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,7.0,2.0,1.0,1.0,,,5.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,
11067296,home,Red Bull Bragantino,Jadsom,jadsom,Jadsom,M,25,176,193,M,964127,EUR,990316800,M,5,5,False,33.0,30.0,3.0,2.0,9.0,11.0,21.0,25.0,1.0,5.0,,,63.0,61.0,7.3,11.0,0.1278,0.1008,0.0372655,2,,,1.0,2.0,,,2.0,1.0,2.0,3.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,
11067296,home,Red Bull Bragantino,Matheus Fernandes,matheus-fernandes,M. Fernandes,M,35,183,759,M,840150,EUR,899164800,M,35,35,False,51.0,34.0,10.0,4.0,21.0,28.0,13.0,24.0,,8.0,,,90.0,67.0,7.4,21.0,0.0,0.0,0.0241099,0,,,,4.0,2.0,,1.0,2.0,1.0,1.0,3.0,10.0,3.0,,,,,5.0,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,
11067296,home,Red Bull Bragantino,Henry Mosquera,henry-mosquera,H. Mosquera,F,30,175,705,M,1170680,EUR,1005782400,F,16,16,False,46.0,36.0,1.0,,9.0,9.0,27.0,40.0,,9.0,,,90.0,69.0,8.8,20.0,0.3205,1.3321,0.0586944,5,Henry Mosquera,,,5.0,1.0,1.0,,3.0,2.0,3.0,,5.0,7.0,,4.0,2.0,,2.0,,,,1.0,3.0,,,,,,,,,,,,,
11067296,home,Red Bull Bragantino,Lucas Evangelista,lucas-evangelista,L. Evangelista,M,30,181,3216,M,331397,EUR,799718400,M,8,8,False,56.0,48.0,8.0,5.0,12.0,12.0,42.0,61.0,,2.0,,,84.0,88.0,8.3,21.0,0.1576,0.0,0.646435,3,,,3.0,7.0,2.0,1.0,1.0,,8.0,17.0,2.0,7.0,3.0,2.0,,,,,6.0,1.0,,,2.0,,1.0,True,1.0,3.0,,,,,,,,
11067296,home,Red Bull Bragantino,Eric Ramires,eric-ramires,E. Ramires,M,7,172,386,M,950545,EUR,965865600,M,7,7,False,31.0,27.0,4.0,2.0,5.0,5.0,22.0,26.0,,5.0,,,83.0,41.0,6.6,10.0,0.1634,0.0,0.0934566,1,,,,4.0,1.0,,,3.0,2.0,,1.0,2.0,2.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,
11067296,home,Red Bull Bragantino,Vitinho,vitinho,Vitinho,M,28,181,1064,M,982405,EUR,922924800,F,28,28,False,21.0,19.0,2.0,1.0,2.0,2.0,17.0,24.0,,4.0,,,63.0,45.0,6.5,15.0,0.307,0.0365,0.0702198,8,,,1.0,8.0,2.0,5.0,,2.0,,5.0,,2.0,4.0,2.0,1.0,,,,,3.0,,,2.0,,,,,,1.0,,,,,,,
