match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_fouls,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_totalContest,stat_wonContest,stat_wasFouled,stat_dispossessed,stat_bigChanceMissed,captain,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_goodHighClaim,stat_punches,stat_outfielderBlock
11352353,home,Arsenal,David Raya,david-raya,D. Raya,G,1,183,26174,M,d_raya1,581310,EUR,811123200,G,22,22,False,20.0,13.0,10.0,3.0,11.0,11.0,2.0,9.0,9.0,2.0,4.0,90.0,30.0,7.2,7.0,0.00181726,0,0.0843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352353,home,Arsenal,Takehiro Tomiyasu,tomiyasu-takehiro,T. Tomiyasu,D,32,188,10753,M,tomiyasu_t,804434,EUR,910224000,D,18,18,False,74.0,63.0,8.0,2.0,24.0,28.0,39.0,48.0,7.0,,,90.0,90.0,7.0,14.0,0.0959441,1,,,,2.0,2.0,3.0,3.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0184,,,,,,,,,,,,,,,,,,,,,
11352353,home,Arsenal,William Saliba,william-saliba,W. Saliba,D,2,193,43258,M,WSaliba4,941168,EUR,985392000,D,2,2,False,91.0,84.0,3.0,2.0,51.0,57.0,33.0,34.0,3.0,,,90.0,97.0,7.4,7.0,0.0304481,1,,,,,1.0,4.0,2.0,6.0,,,3.0,,2.0,1.0,,0.6443,1.0,1.0,1.0,1.0,0.9763,,,,,,,,,,,,,,,,
11352353,home,Arsenal,Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,60.0,53.0,7.0,3.0,27.0,30.0,26.0,30.0,4.0,,,90.0,69.0,7.1,8.0,0.0338773,3,,,,,3.0,3.0,4.0,5.0,,1.0,3.0,,2.0,1.0,,0.1891,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,
11352353,home,Arsenal,Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,47,175,18055,M,OZinchenko,287643,EUR,850608000,D,35,35,False,95.0,83.0,7.0,7.0,26.0,31.0,59.0,69.0,4.0,,,90.0,117.0,8.9,17.0,0.239399,1,,,,5.0,1.0,7.0,2.0,14.0,,,1.0,,5.0,3.0,2.0,0.0372,1.0,1.0,,1.0,0.4566,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,
11352353,home,Arsenal,Kai Havertz,kai-havertz,K. Havertz,F,29,193,67778,M,KaiHav,836705,EUR,929059200,M,29,29,False,22.0,17.0,,,4.0,4.0,13.0,19.0,1.0,,,59.0,31.0,7.0,8.0,0.0508316,2,,,,1.0,4.0,3.0,6.0,4.0,,,,,,,,0.3256,,,,,,2.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,
11352353,home,Arsenal,Jorginho,jorginho,Jorginho,M,21,180,32466,M,jorginhofrello,132874,EUR,693187200,M,20,20,False,51.0,45.0,2.0,,16.0,18.0,29.0,34.0,4.0,,,89.0,57.0,7.1,7.0,0.0491538,0,,,,1.0,,,2.0,3.0,1.0,,,1.0,2.0,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,True,,,,,,
11352353,home,Arsenal,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,38.0,33.0,4.0,2.0,8.0,9.0,25.0,29.0,5.0,,,90.0,46.0,6.9,7.0,0.031504,1,,,,,3.0,1.0,4.0,3.0,,,1.0,1.0,1.0,,,0.0328,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,
11352353,home,Arsenal,Bukayo Saka,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,35.0,27.0,1.0,,5.0,8.0,24.0,33.0,2.0,,,81.0,51.0,7.9,15.0,0.395296,3,,,,6.0,,4.0,2.0,6.0,,1.0,,,,,1.0,0.1281,1.0,,,2.0,0.1991,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,
11352353,home,Arsenal,Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31477,M,leandrotrossard,135666,EUR,786499200,F,19,19,False,28.0,22.0,,,4.0,4.0,19.0,32.0,,,,81.0,52.0,8.9,16.0,0.224095,3,,,,8.0,2.0,1.0,5.0,4.0,,1.0,,,,,,0.4516,2.0,1.0,,,1.2166,,,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,
